date,pm25_beaco2n_blackstone,pm25_beaco2n_carnevale,pm25_beaco2n_ccri,pm25_beaco2n_cfs,pm25_beaco2n_dpw,pm25_beaco2n_ecubed,pm25_beaco2n_gym,pm25_beaco2n_martialarts,pm25_beaco2n_medschool,pm25_beaco2n_mtpleasant,pm25_beaco2n_myron,pm25_beaco2n_pema,pm25_beaco2n_pha,pm25_beaco2n_prek,pm25_beaco2n_provcollege,pm25_beaco2n_reservoir,pm25_beaco2n_ricollege,pm25_beaco2n_rochambeau,pm25_beaco2n_rocklib,pm25_beaco2n_silverlake,pm25_beaco2n_smithhill,pm25_beaco2n_southprovlib,pm25_beaco2n_unitedway,pm25_beaco2n_wecc,pm25_beaco2n_zuccolo,pm25_quantaq_dpw,pm25_quantaq_pema,pm25_quantaq_pha
2022-03-08 22:00:00+00:00,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
2022-03-08 23:00:00+00:00,,,,,,,,,,0.0,0.13043,,,,,,,,,,,,,,,,,
2022-03-09 00:00:00+00:00,,,,,,,,,,6.96067,1.25882,,,,,,,,,,,,,,,,,
2022-03-09 01:00:00+00:00,,,,,,,,,,0.2381,0.0,,,,,,,,,,,,,,,,,
2022-03-09 02:00:00+00:00,,,,,,,,,,0.59048,0.0,,,,,,,,,,,,,,,,,
2022-03-09 03:00:00+00:00,,,,,,,,,,0.94258,0.04567,,,,,,,,,,,,,,,,,
2022-03-09 04:00:00+00:00,,,,,,,,,,1.07177,0.15202,,,,,,,,,,,,,,,,,
2022-03-09 05:00:00+00:00,,,,,,,,,,0.65072,0.04067,,,,,,,,,,,,,,,,,
2022-03-09 06:00:00+00:00,,,,,,,,,,0.41232,0.0,,,,,,,,,,,,,,,,,
2022-03-09 07:00:00+00:00,,,,,,,,,,0.95694,0.24286,,,,,,,,,,,,,,,,,
2022-03-09 08:00:00+00:00,,,,,,,,,,0.91429,0.08592,,,,,,,,,,,,,,,,,
2022-03-09 09:00:00+00:00,,,,,,,,,,0.3,0.03095,,,,,,,,,,,,,,,,,
2022-03-09 10:00:00+00:00,,,,,,,,,,0.46411,0.01667,,,,,,,,,,,,,,,,,
2022-03-09 11:00:00+00:00,,,,,,,,,,0.4,0.0,,,,,,,,,,,,,,,,,
2022-03-09 12:00:00+00:00,,,,,,,,,,0.3445,0.0,,,,,,,,,,,,,,,,,
2022-03-09 13:00:00+00:00,,,,,,,,,,0.45714,0.0,,,,,,,,,,,,,,,,,
2022-03-09 14:00:00+00:00,,,,,,,,,,0.5381,0.04988,,,,,,,,,,,,,,,,,
2022-03-09 15:00:00+00:00,,,,,,,,,,0.64286,0.22619,,,,,,,,,,,,,,,,,
2022-03-09 16:00:00+00:00,,,,,,,,,,1.0,0.09785,,,,,,,,,,,,,,,,,
2022-03-09 17:00:00+00:00,,,,,,,,,,1.51196,0.07895,,,,,,,,,,,,,,,,,
2022-03-09 18:00:00+00:00,,,,,,,,,,0.94301,0.05455,,,,,,,,,,,,,,,,,
2022-03-09 19:00:00+00:00,,,,,,,,,,0.84689,0.0,,,,,,,,,,,,,,,,,
2022-03-09 20:00:00+00:00,,,,,,,,,,1.27488,0.08789,,,,,,,,,,,,,,,,,
2022-03-09 21:00:00+00:00,,,,,,,,,,2.78095,0.38186,,,,,,,,,,,,,,,,,
2022-03-09 22:00:00+00:00,,,,,,,,,,0.98558,0.04276,,,,,,,,,,,,,,,,,
2022-03-09 23:00:00+00:00,,,,,,,,,,0.6872,0.01663,,,,,,,,,,,,,,,,,
2022-03-10 00:00:00+00:00,,,,,,,,,,0.53589,0.00242,,,,,,,,,,,,,,,,,
2022-03-10 01:00:00+00:00,,,,,,,,,,0.98565,0.09026,,,,,,,,,,,,,,,,,
2022-03-10 02:00:00+00:00,,,,,,,,,,0.35238,0.16667,,,,,,,,,,,,,,,,,
2022-03-10 03:00:00+00:00,,,,,,,,,,0.70813,0.06938,,,,,,,,,,,,,,,,,
2022-03-10 04:00:00+00:00,,,,,,,,,,0.79426,0.01188,,,,,,,,,,,,,,,,,
2022-03-10 05:00:00+00:00,,,,,,,,,,0.72857,0.09809,,,,,,,,,,,,,,,,,
2022-03-10 06:00:00+00:00,,,,,,,,,,0.32536,0.0,,,,,,,,,,,,,,,,,
2022-03-10 07:00:00+00:00,,,,,,,,,,0.38278,0.0,,,,,,,,,,,,,,,,,
2022-03-10 08:00:00+00:00,,,,,,,,,,0.58571,0.03571,,,,,,,,,,,,,,,,,
2022-03-10 09:00:00+00:00,,,,,,,,,,0.22381,0.01217,,,,,,,,,,,,,,,,,
2022-03-10 10:00:00+00:00,,,,,,,,,,0.01435,0.09314,,,,,,,,,,,,,,,,,
2022-03-10 11:00:00+00:00,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
2022-03-10 12:00:00+00:00,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
2022-03-10 13:00:00+00:00,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
2022-03-10 14:00:00+00:00,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
2022-03-10 15:00:00+00:00,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
2022-03-10 16:00:00+00:00,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
2022-03-10 17:00:00+00:00,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
2022-03-10 18:00:00+00:00,,,,,,,,,,0.0,0.0219,,,,,,,,,,,,,,,,,
2022-03-10 19:00:00+00:00,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
2022-03-10 20:00:00+00:00,,,,,,,,,,0.01429,0.0,,,,,,,,,,,,,,,,,
2022-03-10 21:00:00+00:00,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
2022-03-10 22:00:00+00:00,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
2022-03-10 23:00:00+00:00,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
2022-03-11 00:00:00+00:00,,,,,,,,,,0.00476,0.0,,,,,,,,,,,,,,,,,
2022-03-11 01:00:00+00:00,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
2022-03-11 02:00:00+00:00,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
2022-03-11 03:00:00+00:00,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
2022-03-11 04:00:00+00:00,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
2022-03-11 05:00:00+00:00,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
2022-03-11 06:00:00+00:00,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
2022-03-11 07:00:00+00:00,,,,,,,,,,0.0,0.06118,,,,,,,,,,,,,,,,,
2022-03-11 08:00:00+00:00,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
2022-03-11 09:00:00+00:00,,,,,,,,,,0.0,0.11164,,,,,,,,,,,,,,,,,
2022-03-11 10:00:00+00:00,,,,,,,,,,0.0,0.01651,,,,,,,,,,,,,,,,,
2022-03-11 11:00:00+00:00,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
