"date","co_aqs_cranston","co_quantaq_dpw","rh_quantaq_dpw","temp_quantaq_dpw","co_quantaq_pema","rh_quantaq_pema","temp_quantaq_pema","co_quantaq_pha","rh_quantaq_pha","temp_quantaq_pha"
2024-12-06 22:00:00,0.353,0.768974,35.264,-0.438,0.90568,34.893,-0.848,NA,NA,NA
2024-12-06 23:00:00,0.458,0.777078,39.242,-0.76,0.874297,39.52,-1.34,NA,NA,NA
2024-12-07,0.442,0.807844,42.065,-0.767,0.875225,41.432,-1.232,NA,NA,NA
2024-12-07 01:00:00,0.438,0.790003,41.7,-0.625,0.868544,41.875,-1.19,NA,NA,NA
2024-12-07 02:00:00,0.381,0.798589,41.507,-0.568,0.856388,42.295,-1.273,NA,NA,NA
2024-12-07 03:00:00,0.318,0.793044,43.343,-0.587,0.83521,43.345,-1.2,NA,NA,NA
2024-12-07 04:00:00,0.296,0.787578,46.978,-0.667,0.813424,46.412,-1.257,NA,NA,NA
2024-12-07 05:00:00,0.228,0.781793,48.69,-0.957,0.837524,49.9,-1.76,NA,NA,NA
2024-12-07 06:00:00,0.225,0.788259,48.13,-1.128,0.841537,50.442,-2.123,NA,NA,NA
2024-12-07 07:00:00,0.189,0.798325,47.355,-1.257,0.872012,50.343,-2.497,NA,NA,NA
2024-12-07 08:00:00,0.184,0.793883,46.365,-0.99,0.830086,49.343,-2.407,NA,NA,NA
2024-12-07 09:00:00,0.192,0.800093,47.26,-1.12,0.813153,49.015,-2.248,NA,NA,NA
2024-12-07 10:00:00,0.247,0.800481,49.765,-1.192,0.813774,50.393,-2.033,NA,NA,NA
2024-12-07 11:00:00,0.366,0.809777,53.29,-1.587,0.831247,53.507,-2.23,NA,NA,NA
2024-12-07 12:00:00,0.418,0.816743,54.182,-1.468,0.840733,52.53,-1.482,NA,NA,NA
2024-12-07 13:00:00,0.401,0.818165,52.518,-0.605,0.857727,47.967,0.18,NA,NA,NA
2024-12-07 14:00:00,0.424,0.813979,45.633,1.972,0.850961,39.955,3.263,NA,NA,NA
2024-12-07 15:00:00,0.406,0.851672,40.09,4.163,0.848093,34.83,5.532,NA,NA,NA
