"date","co_aqs_cranston","co_quantaq_dpw","rh_quantaq_dpw","temp_quantaq_dpw","co_quantaq_pema","rh_quantaq_pema","temp_quantaq_pema","co_quantaq_pha","rh_quantaq_pha","temp_quantaq_pha","residual"
2024-11-22 22:00:00,0.208,0.947548,72.505,8.022,NA,NA,NA,NA,NA,NA,0.739548
2024-11-22 23:00:00,0.493,0.920345,76.882,7.738,NA,NA,NA,NA,NA,NA,0.427345
2024-11-23,0.429,0.910243,77.368,7.668,NA,NA,NA,NA,NA,NA,0.481243
2024-11-23 01:00:00,0.424,0.830922,79.982,7.185,NA,NA,NA,NA,NA,NA,0.406922
2024-11-23 02:00:00,0.438,0.806717,82.123,7.112,NA,NA,NA,NA,NA,NA,0.368717
2024-11-23 03:00:00,0.564,0.884791,78.298,7.45,NA,NA,NA,NA,NA,NA,0.320791
2024-11-23 04:00:00,0.44,0.864609,80.793,7.337,NA,NA,NA,NA,NA,NA,0.424609
2024-11-23 05:00:00,0.372,0.827601,82.445,7.193,NA,NA,NA,NA,NA,NA,0.455601
2024-11-23 06:00:00,0.314,0.831412,84.738,7.137,NA,NA,NA,NA,NA,NA,0.517412
2024-11-23 07:00:00,0.255,0.844991,86.093,7.043,NA,NA,NA,NA,NA,NA,0.589991
2024-11-23 08:00:00,0.285,0.770527,85.562,6.898,NA,NA,NA,NA,NA,NA,0.485527
2024-11-23 09:00:00,0.219,0.743804,82.66,6.842,NA,NA,NA,NA,NA,NA,0.524804
2024-11-23 10:00:00,0.271,0.734208,82.382,6.623,NA,NA,NA,NA,NA,NA,0.463208
2024-11-23 11:00:00,0.269,0.739975,83.772,6.58,NA,NA,NA,NA,NA,NA,0.470975
2024-11-23 12:00:00,0.307,0.730089,83.555,6.33,NA,NA,NA,NA,NA,NA,0.423089
2024-11-23 13:00:00,0.321,0.736561,83.835,6.26,NA,NA,NA,NA,NA,NA,0.415561
2024-11-23 14:00:00,0.335,0.740033,82.545,6.302,NA,NA,NA,NA,NA,NA,0.405033
2024-11-23 15:00:00,0.34,0.751287,82.92,6.485,NA,NA,NA,NA,NA,NA,0.411287
2024-11-23 16:00:00,0.338,0.753892,83.163,6.833,NA,NA,NA,NA,NA,NA,0.415892
2024-11-23 17:00:00,0.341,0.735008,78.937,7.443,NA,NA,NA,NA,NA,NA,0.394008
2024-11-23 18:00:00,0.304,0.721955,69.723,8.703,NA,NA,NA,NA,NA,NA,0.417955
2024-11-23 19:00:00,0.336,0.709315,61.227,9.918,NA,NA,NA,NA,NA,NA,0.373315
2024-11-23 20:00:00,0.31,0.694866,56.465,10.418,NA,NA,NA,NA,NA,NA,0.384866
2024-11-23 21:00:00,0.322,0.695242,57.382,9.772,NA,NA,NA,NA,NA,NA,0.373242
2024-11-23 22:00:00,0.284,0.704935,59.123,9.268,NA,NA,NA,NA,NA,NA,0.420935
2024-11-23 23:00:00,0.334,0.715157,59.208,8.97,NA,NA,NA,NA,NA,NA,0.381157
2024-11-24,0.326,0.725306,60.18,8.73,NA,NA,NA,NA,NA,NA,0.399306
2024-11-24 01:00:00,0.259,0.716618,59.163,8.328,NA,NA,NA,NA,NA,NA,0.457618
2024-11-24 02:00:00,0.297,0.719352,58.432,7.8,NA,NA,NA,NA,NA,NA,0.422352
2024-11-24 03:00:00,0.305,0.728318,59.942,7.218,NA,NA,NA,NA,NA,NA,0.423318
2024-11-24 04:00:00,0.369,0.727341,60.868,6.885,NA,NA,NA,NA,NA,NA,0.358341
2024-11-24 05:00:00,0.307,0.729187,63.647,6.462,NA,NA,NA,NA,NA,NA,0.422187
2024-11-24 06:00:00,0.225,0.739687,65.29,6.843,NA,NA,NA,NA,NA,NA,0.514687
2024-11-24 07:00:00,0.157,0.723857,65.148,7.855,NA,NA,NA,NA,NA,NA,0.566857
2024-11-24 08:00:00,0.139,0.699944,58.577,8.278,NA,NA,NA,NA,NA,NA,0.560944
2024-11-24 09:00:00,0.144,0.683692,51.747,8.01,NA,NA,NA,NA,NA,NA,0.539692
2024-11-24 10:00:00,0.157,0.679376,50.647,7.655,NA,NA,NA,NA,NA,NA,0.522376
2024-11-24 11:00:00,0.176,0.686063,48.46,7.417,NA,NA,NA,NA,NA,NA,0.510063
2024-11-24 12:00:00,0.19,0.691257,43.253,7.833,NA,NA,NA,NA,NA,NA,0.501257
2024-11-24 13:00:00,0.211,0.69542,39.75,8.96,NA,NA,NA,NA,NA,NA,0.48442
2024-11-24 14:00:00,0.217,0.692892,36.787,9.993,NA,NA,NA,NA,NA,NA,0.475892
2024-11-24 15:00:00,0.246,0.695335,35.403,10.7,NA,NA,NA,NA,NA,NA,0.449335
2024-11-24 16:00:00,0.232,0.691888,34.21,11.018,NA,NA,NA,NA,NA,NA,0.459888
2024-11-24 17:00:00,0.233,0.698795,33.765,11.427,NA,NA,NA,NA,NA,NA,0.465795
2024-11-24 18:00:00,0.237,0.69487,34.322,11.307,NA,NA,NA,NA,NA,NA,0.45787
2024-11-24 19:00:00,0.284,0.708439,36.608,10.747,NA,NA,NA,NA,NA,NA,0.424439
2024-11-24 20:00:00,0.284,0.713554,38.38,10.578,NA,NA,NA,NA,NA,NA,0.429554
2024-11-24 21:00:00,0.293,0.725107,43.457,9.333,NA,NA,NA,NA,NA,NA,0.432107
2024-11-24 22:00:00,0.27,0.727505,46.848,8.785,NA,NA,NA,NA,NA,NA,0.457505
2024-11-24 23:00:00,0.266,0.732882,48.322,8.385,NA,NA,NA,NA,NA,NA,0.466882
2024-11-25,0.279,0.728702,47.687,7.942,NA,NA,NA,NA,NA,NA,0.449702
2024-11-25 01:00:00,0.244,0.723863,47.388,7.472,NA,NA,NA,NA,NA,NA,0.479863
2024-11-25 02:00:00,0.244,0.720977,50.252,6.897,NA,NA,NA,NA,NA,NA,0.476977
2024-11-25 03:00:00,0.243,0.723191,51.942,6.225,NA,NA,NA,NA,NA,NA,0.480191
2024-11-25 04:00:00,0.22,0.724649,52.103,5.863,NA,NA,NA,NA,NA,NA,0.504649
2024-11-25 07:00:00,0.148,0.717388,53.392,4.985,NA,NA,NA,NA,NA,NA,0.569388
2024-11-25 08:00:00,0.231,0.720652,54.828,4.302,NA,NA,NA,NA,NA,NA,0.489652
2024-11-25 09:00:00,0.263,0.734887,55.353,3.928,NA,NA,NA,NA,NA,NA,0.471887
2024-11-25 10:00:00,0.437,0.764434,54.632,3.762,NA,NA,NA,NA,NA,NA,0.327434
2024-11-25 11:00:00,0.563,0.808848,53.583,3.602,NA,NA,NA,NA,NA,NA,0.245848
2024-11-25 12:00:00,0.527,0.817829,50.022,4.083,NA,NA,NA,NA,NA,NA,0.290829
2024-11-25 13:00:00,0.404,0.782307,43.528,5.96,NA,NA,NA,NA,NA,NA,0.378307
2024-11-25 14:00:00,0.347,0.758499,38.41,7.988,NA,NA,NA,NA,NA,NA,0.411499
2024-11-25 15:00:00,0.327,0.737466,36.38,9.497,NA,NA,NA,NA,NA,NA,0.410466
2024-11-25 16:00:00,0.302,0.730192,34.938,10.785,NA,NA,NA,NA,NA,NA,0.428192
2024-11-25 17:00:00,0.329,0.757685,33.047,12.262,NA,NA,NA,NA,NA,NA,0.428685
2024-11-25 18:00:00,0.332,0.750202,31.752,13.078,NA,NA,NA,NA,NA,NA,0.418202
2024-11-25 19:00:00,0.415,0.725318,31.708,13.24,NA,NA,NA,NA,NA,NA,0.310318
2024-11-25 20:00:00,0.506,0.759506,33.658,12.513,NA,NA,NA,NA,NA,NA,0.253506
2024-11-25 21:00:00,0.574,0.883036,38.547,10.368,NA,NA,NA,NA,NA,NA,0.309036
2024-11-25 22:00:00,0.708,0.929815,41.538,9.175,NA,NA,NA,NA,NA,NA,0.221815
2024-11-25 23:00:00,0.768,0.962362,44.132,8.315,NA,NA,NA,NA,NA,NA,0.194362
2024-11-26,0.759,1.019482,45.812,7.897,NA,NA,NA,NA,NA,NA,0.260482
2024-11-26 01:00:00,0.742,1.073031,51.035,6.664,NA,NA,NA,NA,NA,NA,0.331031
2024-11-26 02:00:00,0.965,1.148225,55.31,5.355,NA,NA,NA,NA,NA,NA,0.183225
