date,co_aqs_cranston,co_quantaq_pha,rh_quantaq_pha,temp_quantaq_pha,co_quantaq_pema,rh_quantaq_pema,temp_quantaq_pema,co_quantaq_dpw,rh_quantaq_dpw,temp_quantaq_dpw,co_aqs_myron
2024-12-17 12:00:00+00:00,0.389,0.754405,85.778,13.992,0.744122,84.795,14.302,0.701595,87.588,14.107,
2024-12-17 13:00:00+00:00,0.391,0.740072,82.692,13.952,0.754683,81.717,14.182,0.716186,84.245,14.078,
2024-12-17 14:00:00+00:00,0.373,0.734513,78.917,14.158,0.762251,77.933,14.407,0.71717,81.24,14.04,
2024-12-17 15:00:00+00:00,0.369,0.753998,68.56,16.053,0.777728,70.332,15.668,0.725462,73.32,15.345,
2024-12-17 16:00:00+00:00,0.378,0.744177,58.175,18.155,0.788258,60.38,17.843,0.746952,63.165,17.423,
2024-12-17 17:00:00+00:00,0.423,0.733827,51.633,19.552,0.779123,51.445,19.982,0.760826,55.582,19.197,
2024-12-17 18:00:00+00:00,0.412,0.696873,43.153,20.518,0.747855,45.722,19.613,0.723502,50.362,19.265,
2024-12-17 19:00:00+00:00,0.444,0.688329,42.412,19.163,0.752917,42.702,18.957,0.705034,44.093,17.942,
2024-12-17 20:00:00+00:00,0.439,0.7675,43.372,17.188,0.810157,43.388,17.653,0.783868,47.267,16.818,
2024-12-17 21:00:00+00:00,0.512,0.818007,52.295,13.685,0.805255,48.65,14.692,0.958273,54.778,14.313,
2024-12-17 22:00:00+00:00,0.571,1.068073,64.115,10.475,0.975242,55.795,12.347,0.947486,57.403,12.543,
2024-12-17 23:00:00+00:00,0.625,0.889508,67.882,9.428,1.110885,63.843,10.502,0.980601,61.23,11.272,
2024-12-18 00:00:00+00:00,0.569,0.860083,67.747,9.303,1.034046,66.942,9.747,1.021244,65.937,10.073,
2024-12-18 01:00:00+00:00,0.544,0.80847,68.192,9.293,0.980859,69.945,9.188,0.853025,64.923,10.44,
2024-12-18 02:00:00+00:00,0.432,0.865254,70.8,8.788,0.900091,71.532,8.868,0.834457,65.087,10.485,
2024-12-18 03:00:00+00:00,0.433,0.797615,70.792,7.622,0.9312,70.388,8.173,0.798401,64.527,9.343,
2024-12-18 04:00:00+00:00,0.381,0.742066,69.145,6.31,0.870612,70.67,6.897,0.781595,64.332,8.167,
2024-12-18 05:00:00+00:00,0.411,0.758598,71.045,5.35,1.037963,75.642,5.447,0.80409,66.185,6.99,
2024-12-18 07:00:00+00:00,0.469,0.845487,80.445,2.932,1.272826,88.08,2.63,0.879703,74.303,4.805,
2024-12-18 08:00:00+00:00,0.476,0.906106,86.545,1.767,1.222501,88.702,1.958,0.971593,82.12,3.708,
2024-12-18 15:00:00+00:00,0.446,0.732591,35.615,15.163,0.820575,40.373,13.767,1.10299,47.628,13.075,
2024-12-18 16:00:00+00:00,0.376,0.676558,34.162,15.572,0.754599,37.263,14.377,0.814807,40.638,13.732,
2024-12-18 17:00:00+00:00,0.42,0.681471,35.422,14.835,0.748782,36.423,14.893,0.748659,38.16,14.128,
2024-12-18 18:00:00+00:00,0.408,0.709093,36.088,15.13,0.758428,36.978,14.897,0.737954,39.462,14.157,
2024-12-18 19:00:00+00:00,0.23,0.733046,37.508,14.885,0.7669,39.235,14.697,1.088953,47.362,13.162,
2024-12-18 20:00:00+00:00,0.257,0.777223,43.217,12.815,0.789429,48.083,12.265,1.131336,53.725,11.42,
2024-12-18 21:00:00+00:00,0.249,0.815328,54.972,9.802,0.900675,57.188,9.855,1.10309,68.933,8.582,
2024-12-18 22:00:00+00:00,0.342,0.916529,64.763,8.013,0.882239,65.88,8.35,1.124827,75.732,7.332,
2024-12-18 23:00:00+00:00,0.293,0.914875,66.46,7.813,0.893437,65.222,8.238,0.753714,70.588,7.757,
2024-12-19 00:00:00+00:00,0.413,0.881614,68.083,8.238,0.8768,67.467,8.38,0.834917,70.022,8.162,
2024-12-19 01:00:00+00:00,0.525,0.906229,83.023,7.163,0.967402,81.135,7.43,0.83067,84.117,7.232,
2024-12-19 02:00:00+00:00,0.455,0.852185,87.53,6.667,0.864147,86.002,6.9,0.784716,89.12,6.615,
2024-12-19 03:00:00+00:00,0.388,0.818808,89.073,6.583,0.827154,87.102,6.87,0.773561,90.037,6.67,
2024-12-19 04:00:00+00:00,0.352,0.790773,89.235,6.775,0.877183,87.433,7.077,0.76564,89.553,6.873,
