mos_into_deployment,pdf_resolution,statistic,plottype,value
0,5,mean,meas,0.0937818233999065
0,5,mean,ref,0.09276012658227849
0,5,sd,meas,0.032147245671630346
0,5,sd,ref,0.02015245498526325
0,5,kurtosis,meas,5.910203904996043
0,5,kurtosis,ref,19.01572948629099
0,5,skewness,meas,1.4812625460591389
0,5,skewness,ref,2.8729969248219738
0,5,KL,NA,0.044276962277495426
0,5,hellinger,NA,0.12103095441664766
0,5,euclidean,NA,0.12298344709119731
1,2,mean,meas,0.08619526218037651
1,2,mean,ref,0.07699317073170732
1,2,sd,meas,0.01864331633485065
1,2,sd,ref,0.007960679757101272
1,2,kurtosis,meas,3.0563464996616534
1,2,kurtosis,ref,2.17574975526216
1,2,skewness,meas,0.6477055983540062
1,2,skewness,ref,0.5430868527929927
1,2,KL,NA,0.2535903166436033
1,2,hellinger,NA,0.3450961868496816
1,2,euclidean,NA,0.31678383797157317
2,8,mean,meas,0.13002516051124546
2,8,mean,ref,0.1591028125
2,8,sd,meas,0.0503050964874213
2,8,sd,ref,0.05681996764857867
2,8,kurtosis,meas,3.6294573610974177
2,8,kurtosis,ref,4.62768661843181
2,8,skewness,meas,0.8166481027975344
2,8,skewness,ref,1.0260372274072063
2,8,KL,NA,0.2692390130228256
2,8,hellinger,NA,0.2425734682922133
2,8,euclidean,NA,0.2301303458152977
3,12,mean,meas,0.16941442114699415
3,12,mean,ref,0.19515163043478262
3,12,sd,meas,0.061134726925005274
3,12,sd,ref,0.08454286730135668
3,12,kurtosis,meas,12.23735153577555
3,12,kurtosis,ref,9.40024116301001
3,12,skewness,meas,1.8893957735477505
3,12,skewness,ref,2.263742449605255
3,12,KL,NA,0.3805437906206457
3,12,hellinger,NA,0.2142725116020165
3,12,euclidean,NA,0.09558787628073827
4,18,mean,meas,0.18730035557321623
4,18,mean,ref,0.17669591639871382
4,18,sd,meas,0.09121825447234488
4,18,sd,ref,0.10064085803575819
4,18,kurtosis,meas,5.6317539771412735
4,18,kurtosis,ref,16.08496391248662
4,18,skewness,meas,1.3737371295949241
4,18,skewness,ref,3.278817194069609
4,18,KL,NA,0.4525846827280086
4,18,hellinger,NA,0.3701095333230883
4,18,euclidean,NA,0.40822888641143706
5,22,mean,meas,0.23865610026006115
5,22,mean,ref,0.21995782352941176
5,22,sd,meas,0.10302490440025232
5,22,sd,ref,0.12340312652466852
5,22,kurtosis,meas,2.9208421299668577
5,22,kurtosis,ref,16.31709025928724
5,22,skewness,meas,0.30336472458725605
5,22,skewness,ref,2.7076323219667753
5,22,KL,NA,0.4650661828731543
5,22,hellinger,NA,0.35497186291101424
5,22,euclidean,NA,0.33691167554907053
6,16,mean,meas,0.23837841945970434
6,16,mean,ref,0.20015826086956523
6,16,sd,meas,0.07683520525677891
6,16,sd,ref,0.10936152175093025
6,16,kurtosis,meas,4.677959504936848
6,16,kurtosis,ref,11.938486680674558
6,16,skewness,meas,0.6569004630686818
6,16,skewness,ref,2.837310245903931
6,16,KL,NA,0.7930890374993883
6,16,hellinger,NA,0.4063755387729574
