mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.032147245671630346,0.032147245671630346
1,1,0,0,0,0.01864331633485065,0.01864331633485065
2,1,0,0,0,0.0503050964874213,0.0503050964874213
3,1,0,0,0,0.061134726925005274,0.061134726925005274
4,1,0,0,0,0.09121825447234488,0.09121825447234488
5,1,0,0,0,0.10302490440025232,0.10302490440025232
6,1,0,0,0,0.07683520525677891,0.07683520525677891
7,1,0,0,0,0.12891377373806534,0.12891377373806534
8,1,0,0,0,0.11329320841245405,0.11329320841245405
9,1,0,0,0,0.10341501222819995,0.10341501222819995
10,1,0,0,0,0.08098620570567408,0.08098620570567408
11,1,0,0,0,0.0568738439475128,0.0568738439475128
12,0.08376652843319662,0.057424744851364014,0.020889856087892025,0.01446610442993329,0.0505860695559085,0.032147245671630346
13,0.30265264169139755,0.019985575600222325,0.0042442137675044135,0.005320319122311096,0.021339049157313838,0.01864331633485065
14,0.20514868132132508,0.0627604906141001,-0.041089897713942315,-0.02895457120656919,0.02332559651543049,0.0503050964874213
15,0.2858116901455474,0.07512856179872064,-0.050706658932440585,-0.047926927356577095,0.05003937272688681,0.061134726925005274
16,1.158646389214485e-4,0.11718475654175466,-0.03857897221237009,-0.019962623276180508,0.06812286323086382,0.09121825447234488
17,0.17619542873923502,0.1134645296780463,0.016231861449611425,0.0190899182053767,0.1026595610271476,0.10302490440025232
18,0.11608063740894627,0.1020353893516025,-5.181182996215215e-4,-0.004995862676362692,0.0989116530173834,0.07683520525677891
19,0.11441255101070313,0.14622262971295338,-0.07662630345640964,-0.07231901214377301,0.08387637793957556,0.12891377373806534
20,0.06575867192639125,0.143136550333768,-0.006798876206857332,-0.0073049190785003035,0.1199996798721918,0.11329320841245405
21,0.3691879511950064,0.07991088371119996,-6.508507970392842e-4,0.011295136863082145,0.05265626685261239,0.10341501222819995
22,0.45735686829672256,0.06477466635620678,-0.02572889447338864,-0.017438843805741802,0.04624112667947933,0.08098620570567408
23,0.32268509166818815,0.05396556749728487,-0.02761243383419086,-0.02210052454096488,0.02960360445042075,0.0568738439475128
24,0.13999366828815013,0.026653955974554947,0.008210521537915898,0.011100704933413905,0.019183254615376694,0.032147245671630346
25,0.3849676586675229,0.01762419223525159,0.0065673007969509764,0.0074789798029107485,0.018509388260528187,0.01864331633485065
26,0.5857450105240726,0.045240372973001534,-0.019794706182720587,-0.01918701889972891,0.04798065436394462,0.0503050964874213
27,0.10901722225479774,0.07335736040465202,-0.020116948336683302,-0.018958754952108803,0.06310263914480849,0.061134726925005274
28,0.0019890785358646925,0.13156971802576026,0.016471556122541173,0.007248660215912792,0.09703155031889099,0.09121825447234488
29,0.23795021406476782,0.1062804198234119,0.027645427164479198,0.0327592492735754,0.09835756938363294,0.10302490440025232
30,0.07826395169740881,0.10354496286157024,0.018497329490626352,0.017262932865048097,0.09175722040128442,0.07683520525677891
31,0.19735366790806463,0.12083056447330993,-0.03124857331950596,-0.025370509587459553,0.0876947205129707,0.12891377373806534
32,0.23266071870125826,0.12530283092122155,-0.056529178905649125,-0.0518937501630031,0.06183980215916877,0.11329320841245405
33,0.4664406670855126,0.075818808920984,-0.019578629202679894,-0.011939701247365403,0.045120578898422296,0.10341501222819995
34,0.5309526653529948,0.06146279975531861,-0.017771026127936067,-0.016805170569730993,0.03431623957236308,0.08098620570567408
35,0.5256089831626113,0.04138278015914989,-0.0014829375654952716,0.0036458540845501416,0.029584870437005088,0.0568738439475128
