mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.03183309445321035,0.03183309445321035
1,1,0,0,0,0.018580124435270826,0.018580124435270826
2,1,0,0,0,0.054741246666350205,0.054741246666350205
3,1,0,0,0,0.05892790900043294,0.05892790900043294
4,1,0,0,0,0.08906708889841262,0.08906708889841262
5,1,0,0,0,0.11073170341004825,0.11073170341004825
6,1,0,0,0,0.08404770140081297,0.08404770140081297
7,1,0,0,0,0.11927990478880093,0.11927990478880093
8,1,0,0,0,0.12707904490667046,0.12707904490667046
9,1,0,0,0,0.10006927986656339,0.10006927986656339
10,1,0,0,0,0.08675974861135607,0.08675974861135607
11,1,0,0,0,0.06004819321461784,0.06004819321461784
12,0.08760832216680847,0.05590955052453584,0.010856028051625794,0.006715127776662146,0.055112879621467395,0.03183309445321035
13,0.23493949693214375,0.020722497194564822,0.0044005770984412605,0.005847892083992792,0.021109349545671417,0.018580124435270826
14,0.1669010589120844,0.06712228264423728,-0.04483688291760911,-0.03222559224619305,0.023758415078214808,0.054741246666350205
15,0.24043319893481052,0.08933462774742609,-0.06414931099744699,-0.057235958176579345,0.06401340747893959,0.05892790900043294
16,0.021127105411428197,0.10666928502607292,-0.017909246876902978,-0.010729855600293506,0.07045371381849898,0.08906708889841262
17,0.2538695692122306,0.1059881989174633,0.008479912506148015,0.01571756489984777,0.10108122953229466,0.11073170341004825
18,0.03566175215205926,0.12060651442424163,-0.011244958429671844,-0.007288555024096796,0.10320332228834092,0.08404770140081297
19,0.05806739055033278,0.15802239888727884,-0.09332023202510384,-0.0858220702756797,0.08243452048561227,0.11927990478880093
20,0.12805785672451012,0.1384779498792381,-0.024481319643669817,-0.021563319558840416,0.11273187688157323,0.12707904490667046
21,0.15596511276339836,0.095593628110411,-0.022639324387321646,-0.01336278241407024,0.0531272780869394,0.10006927986656339
22,0.26235227476236017,0.08051045632139979,-0.030463180551253147,-0.02550014088680161,0.046005554196564935,0.08675974861135607
23,0.25145256828697443,0.05957207525325077,-0.029206666629583954,-0.026729551057284806,0.02953712093082191,0.06004819321461784
24,0.009326750889444103,0.03496012956192426,-3.411471474832351e-4,0.006323991337501451,0.01790328689184395,0.03183309445321035
25,0.34477582940967305,0.0175964220930562,0.0033114630593280435,0.003055436489961004,0.01944638015358727,0.018580124435270826
26,0.3928845481483134,0.055046727239393516,-0.03312062576885215,-0.033723704166718896,0.045104842147425196,0.054741246666350205
27,0.12726148212490218,0.07226258283112433,-0.009548145270030605,-0.011868526235925145,0.06692675454223729,0.05892790900043294
28,0.08433373104149802,0.11982768118283907,0.012830819810063142,0.006255528715350296,0.10922727870736855,0.08906708889841262
29,0.21439801257917482,0.11336553261273448,0.018306999955169292,0.020103080609264856,0.10513633003934109,0.11073170341004825
30,0.04362870867390005,0.10850885261261572,0.012300261171639284,0.011821655231940398,0.08737861033914134,0.08404770140081297
31,0.08031166239634081,0.1372763116641053,-0.05701648938025472,-0.04558500530053888,0.08231476858109577,0.11927990478880093
32,0.2217986515600105,0.13259609845896395,-0.06960457142644301,-0.08056287200552059,0.07085027608247167,0.12707904490667046
33,0.37910560973558044,0.08561738668231463,-0.03152301388997565,-0.0233166124058682,0.05031752991777384,0.10006927986656339
34,0.4825714826107461,0.0685685670440465,-0.021178363540716987,-0.0253941659567411,0.041073344206805834,0.08675974861135607
35,0.2776580554409206,0.05273065170866444,-0.00953065484154153,-0.009369335786656094,0.0284141845455794,0.06004819321461784
