mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,0.6306829624338727,0.091674109559045,0.006831738600073837,0.013612125446077858,0.1143623042168843,0.15029188338114294
1,0.48156475453534653,0.08899589384550959,0.01857709968407636,0.02849764745838139,0.1101852803519641,0.11259246337949042
2,0.019541608571026593,0.3126922489636056,0.07483587522395123,0.04722535297440031,0.3034165459740381,0.08561496415798486
3,0.03523997788893806,0.20350540712236057,0.03640241634330324,0.027016420999538444,0.20301556351341662,0.048909211009527685
4,0.027454846442766974,0.5458914424288719,0.13779146765476624,0.03532638014739389,0.5298306862423928,0.02649518417301361
5,NA,0.04220626118750881,0.04220626118750881,0.04220626118750881,NA,0.025272962602857548
6,0.0012745770534838496,0.31389359022439967,0.03661438735960259,0.01009702216671405,0.296902057599682,0.008235697833952942
7,0.06490322708323724,0.14332958767322937,0.010259694210192988,0.002548639168881657,0.14413311494003994,0.055181119993212485
8,0.3276422905512965,0.07184213926102927,-0.0028151313426782653,-7.325296492489974e-4,0.08079137965910334,0.07381137551465286
9,0.33081582515149943,0.09197744306255534,-0.0018845453127442676,0.007634648552801555,0.09354918654084989,0.10508707709682301
10,0.5877889078019485,0.08663670611141891,-0.008610283967877561,-0.007903706396687665,0.1191713713491664,0.13400056096222135
11,0.34958559693442876,0.12039857740648963,0.054224023146212025,0.0464948931152573,0.1256220491953,0.11511586074040134
12,0.621483513763579,0.11046242424865965,-0.0028330249130060826,0.01876687269042246,0.10289627921355668,0.17181777798680578
13,0.24647465020609985,0.1319674864930462,0.016078969611374148,0.04280644155433366,0.11531085016838126,0.14269554808602877
14,0.20158579969352144,0.15984936503778896,0.04925451377048698,0.05202211357250289,0.16826114408823303,0.09981329761848176
15,0.06877426064410502,0.14803427839376032,0.05380404335648166,0.05491481833161299,0.14268927500907258,0.0507984974340577
16,0.191552701317867,0.06983754869427121,0.03090398494364155,0.03196450321691299,0.0694012534935533,0.034143973315957095
17,0.08218304027002442,0.051478498428879575,0.012931085474647474,0.01590435183049531,0.04499680930902341,0.036468077321076334
18,0.028963376987352372,0.03607250837632386,0.03242535679988898,0.03357747721007699,0.01471738563186409,0.008800933773857994
19,0.09537083294168552,0.03361399336541487,0.01540775089705711,0.012279550093904398,0.029063990086030052,0.020344114334734983
20,0.16472421984647606,0.07270119875781413,-0.012541189014896554,-0.004214158045556596,0.02955880809649829,0.07832701614535668
21,3.7467383400896373e-4,0.4100671873206849,0.004247645520797717,-0.031400671243616785,0.3994391301210004,0.09945286533081951
22,0.03031385604354956,0.9016986056874204,0.4223118481019856,-0.0031925282925436074,0.8079188663882042,0.17025056607816474
23,0.04107350187444226,0.2745367288708296,-0.05887471902199218,-0.0685948585608546,0.26221483210391994,0.12900163158974487
24,0.01674822018417144,0.18850093452349673,-0.029848154806963807,-0.014718837745162652,0.1564455635315855,0.11844120945755268
25,0.05228378061087771,0.19146935187455436,-0.05975859583952684,-0.030509573359490887,0.14793300186285416,0.14517551577842092
26,0.02801911499794538,0.10593735209258845,-0.015384238940710596,-0.012823328793568095,0.08513370443404626,0.07709678565812865
27,0.014449195637424351,0.056956011721694184,-0.02936179312851535,-0.021844267173803396,0.029363074755701737,0.04268922332196387
28,0.18515005269525886,0.027282840631061907,-0.010146080829849179,-0.0036832935557074495,0.005593006143649946,0.027249685657942252
29,0.044159168365014156,0.018321397559678928,0.009095974325636014,0.009790164009144453,0.003573166144629443,0.016279571035713192
30,0.04768935763904515,0.02690659969012429,0.0236099813857304,0.02364081618395711,0.011101722685728066,0.008720952126452136
31,0.0935780690505281,0.04954522228200092,0.009150288293290109,0.017641773395327652,0.03145160244792871,0.0475773253424129
32,0.30338114382046044,0.05733840748249494,-0.017598622273221367,-5.656193100059964e-4,0.040567569267731765,0.0651861120652448
33,0.2510186467537714,0.09945443460002569,-0.01825746172006225,0.008764406612417591,0.08426130703098882,0.1069570890800659
34,0.1447917789392808,0.1407128447852166,0.013648796012613774,0.015671620312369017,0.12388300334802663,0.12935868606021136
35,0.006839139593631464,0.33219824251370295,0.026222382361862955,0.00916714211860642,0.3215369055630333,0.13275353214651314
36,0.4798084689298448,0.09729753122805472,0.02378652562781496,0.04532570220779579,0.05591715471962278,0.12346037702672487
37,0.019453484785993062,0.7780307973932664,0.23700122557694173,0.03620210306645211,0.7411224053892586,0.10137278946673448
38,0.1007374140968557,0.06781538705171027,0.026430756229518605,0.028236982954301104,0.04861425272329876,0.05818450258408403
39,0.209890700356181,0.057683357247239345,0.03702988996455555,0.0485560487717272,0.027399780288763595,0.04950383880020856
40,0.12072175075981877,0.07041145586872716,0.06286765680427084,0.07188083547568219,0.005882107716771975,0.03126781166892928
41,0.15822473445394739,0.02318512719976614,0.013151329441127643,0.014345723014203497,0.014990383981878653,0.018729590857478422
42,0.2115635704477126,0.01649355473453106,0.013255723532767202,0.013860354444328857,0.006408187744859696,0.010848088220521978
43,0.35089316799283576,0.02247968348717146,-0.009211187470391123,-0.006196608075308099,0.008750035699957791,0.023869226938700368
