mos_into_deployment,pdf_resolution,statistic,plottype,value
0,21,mean,meas,0.28836505873611434
0,21,mean,ref,0.24226083665338646
0,21,sd,meas,0.11188149522347529
0,21,sd,ref,0.14606487817027478
0,21,kurtosis,meas,4.419388270128991
0,21,kurtosis,ref,12.539221406009599
0,21,skewness,meas,1.1525143537601528
0,21,skewness,ref,2.6414052781457023
0,21,KL,NA,0.5729236135846325
0,21,hellinger,NA,0.3113025703184766
0,21,euclidean,NA,0.2823866111328999
1,13,mean,meas,0.2508411848652897
1,13,mean,ref,0.19052691176470588
1,13,sd,meas,0.0938004149845943
1,13,sd,ref,0.08835098170207735
1,13,kurtosis,meas,4.2543794434469
1,13,kurtosis,ref,8.069914155210425
1,13,skewness,meas,0.9699814875966515
1,13,skewness,ref,2.220446071331038
1,13,KL,NA,0.4899436666843891
1,13,hellinger,NA,0.3471291174710495
1,13,euclidean,NA,0.3999947864835721
2,50,mean,meas,0.2600567267087182
2,50,mean,ref,0.17410551546391753
2,50,sd,meas,0.13351971717944014
2,50,sd,ref,0.08756166527262377
2,50,kurtosis,meas,148.543768771059
2,50,kurtosis,ref,25.491773874187558
2,50,skewness,meas,9.208701620046842
2,50,skewness,ref,4.040634122115305
2,50,KL,NA,1.1898157480720701
2,50,hellinger,NA,0.5092174112818217
2,50,euclidean,NA,0.6010540070579471
3,13,mean,meas,0.17921755869320896
3,13,mean,ref,0.14686126903553298
3,13,sd,meas,0.05812303791349263
3,13,sd,ref,0.05567676804477739
3,13,kurtosis,meas,17.80930761676046
3,13,kurtosis,ref,15.840842936786592
3,13,skewness,meas,2.9065067029846015
3,13,skewness,ref,3.2591815590189377
3,13,KL,NA,0.5519089192621163
3,13,hellinger,NA,0.3733695759555933
3,13,euclidean,NA,0.5922840971887996
4,67,mean,meas,0.2512697627268329
4,67,mean,ref,0.1173641825095057
4,67,sd,meas,0.5039496323804326
4,67,sd,ref,0.02277343457044857
4,67,kurtosis,meas,29.787182285912607
4,67,kurtosis,ref,7.629543411266277
4,67,skewness,meas,5.328966122072386
4,67,skewness,ref,1.7479683762827545
4,67,KL,NA,0.9784455074101127
4,67,hellinger,NA,0.44319404646919325
4,67,euclidean,NA,0.4414312186090167
5,0,mean,meas,NA
5,0,mean,ref,0.09276012658227849
5,0,sd,meas,NA
5,0,sd,ref,0.02015245498526325
5,0,kurtosis,meas,NA
5,0,kurtosis,ref,19.01572948629099
5,0,skewness,meas,NA
5,0,skewness,ref,2.8729969248219738
5,0,KL,NA,NA
5,0,hellinger,NA,NA
5,0,euclidean,NA,NA
6,128,mean,meas,0.11500090938763168
6,128,mean,ref,0.07699317073170732
6,128,sd,meas,0.34905642283786004
6,128,sd,ref,0.007960679757101272
6,128,kurtosis,meas,229.73744819288314
6,128,kurtosis,ref,2.17574975526216
6,128,skewness,meas,14.233284163780029
6,128,skewness,ref,0.5430868527929927
6,128,KL,NA,0.3051573631163936
6,128,hellinger,NA,0.37622550280461786
6,128,euclidean,NA,0.3293430816834469
7,7,mean,meas,0.13897865914966764
7,7,mean,ref,0.1591028125
7,7,sd,meas,0.04839321311758388
7,7,sd,ref,0.05681996764857867
7,7,kurtosis,meas,5.036676927712707
7,7,kurtosis,ref,4.62768661843181
7,7,skewness,meas,1.114589799400103
7,7,skewness,ref,1.0260372274072063
7,7,KL,NA,0.10951953733847315
7,7,hellinger,NA,0.16831653551305983
7,7,euclidean,NA,0.17146928534740186
8,12,mean,meas,0.19546125494756122
8,12,mean,ref,0.19515163043478262
8,12,sd,meas,0.07341194991732879
8,12,sd,ref,0.08454286730135668
8,12,kurtosis,meas,9.382280634837322
8,12,kurtosis,ref,9.40024116301001
8,12,skewness,meas,1.9222527818060482
8,12,skewness,ref,2.263742449605255
8,12,KL,NA,0.045366154530802394
8,12,hellinger,NA,0.10095728110671179
8,12,euclidean,NA,0.08048391013599566
9,17,mean,meas,0.21626564946489565
9,17,mean,ref,0.17669591639871382
9,17,sd,meas,0.08350912231991577
9,17,sd,ref,0.10064085803575819
9,17,kurtosis,meas,5.58332252083544
9,17,kurtosis,ref,16.08496391248662
9,17,skewness,meas,1.3446175397752982
9,17,skewness,ref,3.278817194069609
9,17,KL,NA,0.5460183847576414
9,17,hellinger,NA,0.35474507487432333
9,17,euclidean,NA,0.48274054332842853
10,20,mean,meas,0.28953548509389476
10,20,mean,ref,0.21995782352941176
10,20,sd,meas,0.11425548002927884
10,20,sd,ref,0.12340312652466852
10,20,kurtosis,meas,5.692196159392381
10,20,kurtosis,ref,16.31709025928724
10,20,skewness,meas,1.3864700252164366
10,20,skewness,ref,2.7076323219667753
10,20,KL,NA,0.6330269396638276
10,20,hellinger,NA,0.36453969810929976
10,20,euclidean,NA,0.38737698558411526
11,15,mean,meas,0.26928947480331505
11,15,mean,ref,0.20015826086956523
11,15,sd,meas,0.10221554190408338
11,15,sd,ref,0.10936152175093025
11,15,kurtosis,meas,5.915881573118421
11,15,kurtosis,ref,11.938486680674558
11,15,skewness,meas,1.581275803663109
11,15,skewness,ref,2.837310245903931
11,15,KL,NA,0.9302340068348666
11,15,hellinger,NA,0.4310238631949035
11,15,euclidean,NA,0.42401704353719166
12,18,mean,meas,0.30427812728001197
12,18,mean,ref,0.271312299270073
12,18,sd,meas,0.10063248352637144
12,18,sd,ref,0.1464478434360675
12,18,kurtosis,meas,3.812214167634764
12,18,kurtosis,ref,6.381039314183101
12,18,skewness,meas,0.8066344139626207
12,18,skewness,ref,1.7135829063464436
12,18,KL,NA,0.4698523143226988
12,18,hellinger,NA,0.27194826579849324
12,18,euclidean,NA,0.23067633149977432
13,16,mean,meas,0.3116711194347705
13,16,mean,ref,0.24195401544401546
13,16,sd,meas,0.07587608051409306
13,16,sd,ref,0.13566080526008134
13,16,kurtosis,meas,3.7530629094734547
13,16,kurtosis,ref,6.50346338240424
13,16,skewness,meas,0.06630258279462385
13,16,skewness,ref,1.7476072544646433
13,16,KL,NA,1.151721990915765
13,16,hellinger,NA,0.44707244747598546
13,16,euclidean,NA,0.44274530761861625
14,35,mean,meas,0.27840470180271376
14,35,mean,ref,0.17576121951219512
14,35,sd,meas,0.16982220846248647
14,35,sd,ref,0.10038004097152728
14,35,kurtosis,meas,30.93100403207544
14,35,kurtosis,ref,10.602250751649196
14,35,skewness,meas,4.455867460492376
14,35,skewness,ref,2.633646675120405
14,35,KL,NA,1.2540691122251078
14,35,hellinger,NA,0.509698460864657
14,35,euclidean,NA,0.6303531390811703
15,24,mean,meas,0.25836691976462395
15,24,mean,ref,0.15198640176600442
15,24,sd,meas,0.13141653070794182
15,24,sd,ref,0.04907855763514441
15,24,kurtosis,meas,29.990413761043637
15,24,kurtosis,ref,36.04606990007299
15,24,skewness,meas,4.764775128902874
15,24,skewness,ref,4.540403214294027
15,24,KL,NA,1.5380800570907134
15,24,hellinger,NA,0.6004175113627016
15,24,euclidean,NA,0.7236303838568371
16,7,mean,meas,0.18691089107615041
16,7,mean,ref,0.12669231441048034
16,7,sd,meas,0.051387468815733674
16,7,sd,ref,0.03346328300884794
16,7,kurtosis,meas,2.0587065823619195
16,7,kurtosis,ref,19.318846561937544
16,7,skewness,meas,0.33873121586696564
16,7,skewness,ref,2.905960981257987
16,7,KL,NA,0.8562003836874482
