mos_into_deployment,pdf_resolution,statistic,plottype,value
0,15,mean,meas,0.28836505873611434
0,15,mean,ref,0.28836505873611434
0,15,sd,meas,0.11188149522347529
0,15,sd,ref,0.11188149522347529
0,15,kurtosis,meas,4.419388270128991
0,15,kurtosis,ref,4.419388270128991
0,15,skewness,meas,1.1525143537601528
0,15,skewness,ref,1.1525143537601528
0,15,KL,NA,0
0,15,hellinger,NA,0
0,15,euclidean,NA,0
1,13,mean,meas,0.2508411848652897
1,13,mean,ref,0.2508411848652897
1,13,sd,meas,0.0938004149845943
1,13,sd,ref,0.0938004149845943
1,13,kurtosis,meas,4.2543794434469
1,13,kurtosis,ref,4.2543794434469
1,13,skewness,meas,0.9699814875966515
1,13,skewness,ref,0.9699814875966515
1,13,KL,NA,0
1,13,hellinger,NA,0
1,13,euclidean,NA,0
2,50,mean,meas,0.2600567267087182
2,50,mean,ref,0.2600567267087182
2,50,sd,meas,0.13351971717944014
2,50,sd,ref,0.13351971717944014
2,50,kurtosis,meas,148.543768771059
2,50,kurtosis,ref,148.543768771059
2,50,skewness,meas,9.208701620046842
2,50,skewness,ref,9.208701620046842
2,50,KL,NA,0
2,50,hellinger,NA,0
2,50,euclidean,NA,0
3,13,mean,meas,0.17921755869320896
3,13,mean,ref,0.17921755869320896
3,13,sd,meas,0.05812303791349263
3,13,sd,ref,0.05812303791349263
3,13,kurtosis,meas,17.80930761676046
3,13,kurtosis,ref,17.80930761676046
3,13,skewness,meas,2.9065067029846015
3,13,skewness,ref,2.9065067029846015
3,13,KL,NA,0
3,13,hellinger,NA,0
3,13,euclidean,NA,0
4,67,mean,meas,0.2512697627268329
4,67,mean,ref,0.2512697627268329
4,67,sd,meas,0.5039496323804326
4,67,sd,ref,0.5039496323804326
4,67,kurtosis,meas,29.787182285912607
4,67,kurtosis,ref,29.787182285912607
4,67,skewness,meas,5.328966122072386
4,67,skewness,ref,5.328966122072386
4,67,KL,NA,0
4,67,hellinger,NA,0
4,67,euclidean,NA,0
5,0,mean,meas,NA
5,0,mean,ref,NA
5,0,sd,meas,NA
5,0,sd,ref,NA
5,0,kurtosis,meas,NA
5,0,kurtosis,ref,NA
5,0,skewness,meas,NA
5,0,skewness,ref,NA
5,0,KL,NA,NA
5,0,hellinger,NA,NA
5,0,euclidean,NA,NA
