mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,0.25178830115689654,0.1370742379371356,0.05560939373479594,0.08479342262525019,0.06622294160784849,0.14606487817027478
1,0.19315891370400298,0.1113329837052931,0.07348842390779987,0.0873978979193229,0.0642806986481465,0.08835098170207735
2,0.19955614447515393,0.11184548598176415,0.07532892285060037,0.0822339678675425,0.06355708862881586,0.08756166527262377
3,0.15785218530559636,0.06061380745595455,0.023501938595332665,0.030434266894138307,0.045772698691004886,0.05567676804477739
4,0.20451895792985067,0.055137481283080596,0.042489650415712225,0.047942677598962896,0.03473042460449229,0.02277343457044857
5,NA,0.05435241916480349,0.05435241916480349,0.05435241916480349,NA,0.02015245498526325
6,5.534310850279593e-4,0.022431771441321816,0.004975986008297231,0.008452631552849747,0.013930084451888676,0.007960679757101272
7,0.7051079124355798,0.03563938256986069,0.01055149156815822,0.00768831170494691,0.055705957098442,0.05681996764857867
8,0.535707386757338,0.060084229009602745,0.007290871336688808,0.014813951863852738,0.055387045755527095,0.08454286730135668
9,0.275318855048823,0.08875225412294471,0.024675234531514396,0.0402346640793978,0.06716909618091216,0.10064085803575819
10,0.4241564932524008,0.09587138693644925,0.0204373741993076,0.035099671876834146,0.0838308112052546,0.12340312652466852
11,0.3682215775095316,0.12469064960010576,0.08944649068309345,0.10133704544475561,0.07785375330753572,0.10936152175093025
12,0.2981386068739415,0.1323467487570447,0.04905725640142059,0.07905529525833875,0.09171325114606975,0.1464478434360675
13,0.28960584430243896,0.1240225575208244,0.04844821868979204,0.06485898409339672,0.07330099444826066,0.13566080526008134
14,0.34967768547812084,0.09294233654847207,0.043850088293177165,0.04988306789553519,0.06448515280753545,0.10038004097152728
15,0.1239921720376201,0.07628573894532548,0.045963704492610225,0.048145221546773004,0.05471941925824914,0.04907855763514441
16,0.08008468635742574,0.06462045968338136,0.04188488179554882,0.04844574469897739,0.046484410233708987,0.03346328300884794
17,0.006440920449825872,0.0727885004892097,0.039285717136908725,0.039261311793529305,0.04507976856644037,0.031025555026046477
18,0.12066354155966125,0.01982932245605327,0.008661175517162322,0.011458232497911697,0.01700488053133913,0.0074909075438155
19,0.6350529292322162,0.016826897327594553,-0.0048209368361776875,-0.003040673375677788,0.01726039546073767,0.02706860328842205
20,0.03412301107067678,0.07203663784615838,0.008440289388052625,0.02720078374606965,0.0260667979314432,0.05743295447635817
21,NA,NA,NA,NA,NA,0.09870240977458516
22,NA,NA,NA,NA,NA,0.17054642085189115
23,NA,NA,NA,NA,NA,0.11288309843107103
24,NA,NA,NA,NA,NA,0.11238379970882367
25,NA,NA,NA,NA,NA,0.137275482748388
26,NA,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,0.02942492474540733,NA
32,NA,NA,NA,NA,0.05883925368503103,NA
33,NA,NA,NA,NA,0.07812857527832896,NA
34,NA,NA,NA,NA,0.084536672571933,NA
35,NA,NA,NA,NA,0.07789789886359907,NA
36,NA,NA,NA,NA,0.06650902497390444,NA
37,NA,NA,NA,NA,0.06404359778288495,NA
38,NA,NA,NA,NA,0.05753163610225546,NA
39,NA,NA,NA,NA,0.05289170852822158,NA
40,NA,NA,NA,NA,0.03248844803084326,NA
41,NA,NA,NA,NA,NA,NA
