mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,0.2158420863264491,0.13919170392874952,0.044320604237639685,0.07896978623962653,0.06631160299229386,0.15029188338114294
1,0.2666887743175036,0.11567638726438692,0.06366453814704184,0.08057083874193756,0.0644130250269631,0.11259246337949042
2,0.16943636372298684,0.11076039490578925,0.07151600593886587,0.08462478654260736,0.06977117605845083,0.08561496415798486
3,0.03557050942541274,0.07539002118309686,0.04346303337442216,0.06740562879403914,0.04892922906099735,0.048909211009527685
4,0.03468643386120141,0.05144521031868007,0.021127017482682007,0.0315186351513258,0.0441039055451836,0.02649518417301361
5,NA,0.05435241916480349,0.05435241916480349,0.05435241916480349,NA,0.025272962602857548
6,0.031646598321436493,0.026605002664199965,0.00999269252450882,0.009888787390801998,0.023942440255799138,0.008235697833952942
7,0.7531588669855783,0.03259298991312649,0.009195823434115784,0.008433182377200747,0.06246427620941113,0.055181119993212485
8,0.4681923380289052,0.05531769565877968,0.00947569253120973,0.017012346680724183,0.05915939383928863,0.07381137551465286
9,0.3104327804292196,0.08794655150189759,0.006793927180131888,0.021485592146225613,0.06865496483060671,0.10508707709682301
10,0.297632184546058,0.11273433607668118,6.623674253212932e-4,0.023954803726766248,0.08386610720642115,0.13400056096222135
11,0.48154380554420173,0.11041877548801753,0.07295974742115872,0.08441289188668973,0.0790697982443407,0.11511586074040134
12,0.31733003123896275,0.1448162745401595,0.02876791447813839,0.0678912366409271,0.09223490181024992,0.17181777798680578
13,0.2673377851328701,0.12952723219587228,0.043357781306256976,0.06554140330141439,0.07336160908597533,0.14269554808602877
14,0.3902952172410582,0.08521446586450032,0.03452760954460927,0.0472257939245176,0.06503310894478348,0.09981329761848176
15,0.13604749662738716,0.0713948305195595,0.03849580028033023,0.04165223867620389,0.05694658429936012,0.0507984974340577
16,0.12804375495427983,0.056658806674126955,0.029324714710879378,0.029763143063654657,0.04880509635328025,0.034143973315957095
17,0.040135631732993136,0.05810958616028037,0.016966777536384484,0.016430247685159396,0.04774502422951876,0.036468077321076334
18,0.16146432242036043,0.020747443840749797,0.009893955702427942,0.009421238602639756,0.019909598735274727,0.008800933773857994
19,0.1563033192718619,0.020672918367688135,0.002957971376722893,0.004481365636028196,0.01814926739561106,0.020344114334734983
20,0.14949603694043143,0.06267439162027869,0.011054008607967254,0.02140598405112369,0.039704696326737135,0.07832701614535668
21,NA,NA,NA,NA,NA,0.09945286533081951
22,NA,NA,NA,NA,NA,0.17025056607816474
23,NA,NA,NA,NA,NA,0.12900163158974487
24,NA,NA,NA,NA,NA,0.11844120945755268
25,NA,NA,NA,NA,NA,0.14517551577842092
26,NA,NA,NA,NA,NA,0.07709678565812865
27,NA,NA,NA,NA,NA,0.04268922332196387
28,NA,NA,NA,NA,NA,0.027249685657942252
29,NA,NA,NA,NA,NA,0.016279571035713192
30,NA,NA,NA,NA,NA,0.008720952126452136
31,0.06261221183396307,0.05731134117801858,-0.013211577535797998,-0.0018918129149957524,0.03507979568039657,0.0475773253424129
32,0.5913952186246293,0.04661323303111954,0.019140712554797587,0.028247480328172044,0.059307722635157135,0.0651861120652448
33,0.32923173293634483,0.0904443453045922,0.004994233986797777,0.0213807031125611,0.08218162523875028,0.1069570890800659
34,0.35438033214299003,0.1066929472564681,0.022126541125061502,0.033524446189389545,0.08670711778784443,0.12935868606021136
35,0.34013169157617623,0.1078860489235923,-0.003172018309152572,0.018908971337808583,0.08070833543529864,0.13275353214651314
36,0.2759705567647377,0.1075422944209366,0.022016143384553162,0.037656185849240964,0.06682163404696385,0.12346037702672487
37,0.3967481435952629,0.08428825027946073,0.02657574075139809,0.038135946165577014,0.0627530487101916,0.10137278946673448
38,0.16736473872600616,0.07010865311631037,0.032572885160652085,0.046434780684911,0.05743711187966443,0.05818450258408403
39,0.043989061994067075,0.06752684329181761,0.010497200906835352,0.0330211941427023,0.05600753978232021,0.04950383880020856
40,0.026620569026233366,0.051926391874208874,0.02126671714433493,0.0347669107952114,0.03949292552732167,0.03126781166892928
41,NA,0.038727912550735794,0.038727912550735794,0.038727912550735794,NA,0.018729590857478422
