mos_into_deployment,pdf_resolution,statistic,plottype,value
0,22,mean,meas,0.3154372789887453
0,22,mean,ref,0.24226083665338646
0,22,sd,meas,0.06622294160784849
0,22,sd,ref,0.14606487817027478
0,22,kurtosis,meas,4.0930852341233495
0,22,kurtosis,ref,12.539221406009599
0,22,skewness,meas,0.6768774830898657
0,22,skewness,ref,2.6414052781457023
0,22,KL,NA,1.9356313383145782
0,22,hellinger,NA,0.5396884353722947
0,22,euclidean,NA,0.5014652305525708
1,11,mean,meas,0.26972650985096963
1,11,mean,ref,0.19052691176470588
1,11,sd,meas,0.0642806986481465
1,11,sd,ref,0.08835098170207735
1,11,kurtosis,meas,4.083733858194508
1,11,kurtosis,ref,8.069914155210425
1,11,skewness,meas,0.36271359364908684
1,11,skewness,ref,2.220446071331038
1,11,KL,NA,1.457877114463867
1,11,hellinger,NA,0.5226259910258352
1,11,euclidean,NA,0.5677800046788373
2,18,mean,meas,0.2554360838350713
2,18,mean,ref,0.17410551546391753
2,18,sd,meas,0.06355708862881586
2,18,sd,ref,0.08756166527262377
2,18,kurtosis,meas,2.7937216575738537
2,18,kurtosis,ref,25.491773874187558
2,18,skewness,meas,-0.261533683188427
2,18,skewness,ref,4.040634122115305
2,18,KL,NA,1.4117142191432426
2,18,hellinger,NA,0.5671977896107822
2,18,euclidean,NA,0.6616522825663393
3,9,mean,meas,0.1827418502938774
3,9,mean,ref,0.14686126903553298
3,9,sd,meas,0.045772698691004886
3,9,sd,ref,0.05567676804477739
3,9,kurtosis,meas,2.932207955267855
3,9,kurtosis,ref,15.840842936786592
3,9,skewness,meas,-0.7353707025928423
3,9,skewness,ref,3.2591815590189377
3,9,KL,NA,1.1758735797524853
3,9,hellinger,NA,0.5247730750514026
3,9,euclidean,NA,0.7539134071161995
4,6,mean,meas,0.14400221686694345
4,6,mean,ref,0.1173641825095057
4,6,sd,meas,0.03473042460449229
4,6,sd,ref,0.02277343457044857
4,6,kurtosis,meas,4.0880762558235935
