mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.06622294160784849,0.06622294160784849
1,1,0,0,0,0.0642806986481465,0.0642806986481465
2,1,0,0,0,0.06355708862881586,0.06355708862881586
3,1,0,0,0,0.045772698691004886,0.045772698691004886
4,1,0,0,0,0.03473042460449229,0.03473042460449229
5,NA,0,0,0,NA,NA
6,1,0,0,0,0.013930084451888676,0.013930084451888676
7,1,0,0,0,0.055705957098442,0.055705957098442
8,1,0,0,0,0.055387045755527095,0.055387045755527095
9,1,0,0,0,0.06716909618091216,0.06716909618091216
10,1,0,0,0,0.0838308112052546,0.0838308112052546
11,1,0,0,0,0.07785375330753572,0.07785375330753572
12,0.04583988606745386,0.10077941477270806,0.0066064961986721845,-0.0014281361121413205,0.09171325114606975,0.06622294160784849
13,0.10718066467550715,0.08438883295756015,0.025048144866961303,0.0171829100719903,0.07330099444826066,0.0642806986481465
14,0.1091933703543078,0.08624291153261868,-0.04677248068810162,-0.04587258028201667,0.06448515280753545,0.06355708862881586
15,0.3648210141800751,0.04628513870542814,0.00998623835880222,0.010996818953547885,0.05471941925824914,0.045772698691004886
16,0.23886508778636134,0.04499552891480061,0.01576095015048636,0.014191671501108803,0.046484410233708987,0.03473042460449229
17,NA,0.022914970047072103,0.022914970047072103,0.022914970047072103,0.04507976856644037,NA
18,0.198961225187261,0.016787461131490454,-0.003836554497367961,-0.0030103148974779115,0.01700488053133913,0.013930084451888676
19,0.13984878640366807,0.056968393147240774,-0.033958087185124795,-0.022862910387804705,0.01726039546073767,0.055705957098442
20,0.22000652386919048,0.08751904944793054,-0.07460121930815317,-0.07114352047348879,0.0260667979314432,0.055387045755527095
21,NA,NA,NA,NA,NA,0.06716909618091216
22,NA,NA,NA,NA,NA,0.0838308112052546
23,NA,NA,NA,NA,NA,0.07785375330753572
24,NA,NA,NA,NA,NA,0.06622294160784849
25,NA,NA,NA,NA,NA,0.0642806986481465
26,NA,NA,NA,NA,NA,0.06355708862881586
27,NA,NA,NA,NA,NA,0.045772698691004886
28,NA,NA,NA,NA,NA,0.03473042460449229
29,NA,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,NA,0.013930084451888676
31,0.019741661055541395,0.05879236382777209,-0.04261762089948203,-0.04450539890324236,0.02942492474540733,0.055705957098442
32,0.0012521444059908008,0.07933181021115537,-0.01200475547605317,-0.012438184672675809,0.05883925368503103,0.055387045755527095
33,0.003971779825927484,0.10171233950231122,0.010327315895112382,-0.011465292783888525,0.07812857527832896,0.06716909618091216
34,0.04496033807463264,0.1057689323520543,-0.004533715292341197,-0.0027673942166183962,0.084536672571933,0.0838308112052546
35,0.001278600024789751,0.11660065321299436,-0.02539473664781135,-0.01034846703764361,0.07789789886359907,0.07785375330753572
36,0.054302059381742214,0.11217978570133288,-0.07654102566713503,-0.07908501476384419,0.06650902497390444,0.06622294160784849
37,0.04950286742913541,0.08750527684987679,-0.03585780366095478,-0.03655829012157957,0.06404359778288495,0.0642806986481465
38,0.27308893470041934,0.0974570807489534,-0.07721099792300593,-0.07782665099488055,0.05753163610225546,0.06355708862881586
39,0.5070688385116422,0.04827083231241628,-0.03190180844942577,-0.0356980457742653,0.05289170852822158,0.045772698691004886
40,0.21935639562389628,0.035516150876505496,-0.006002339048879127,-0.007234551132583006,0.03248844803084326,0.03473042460449229
41,NA,0.009804506614067704,-0.009804506614067704,-0.009804506614067704,NA,NA
