mos_into_deployment,pdf_resolution,statistic,plottype,value
0,11,mean,meas,0.3147638669989863
0,11,mean,ref,0.3147638669989863
0,11,sd,meas,0.06631160299229386
0,11,sd,ref,0.06631160299229386
0,11,kurtosis,meas,4.086015107870162
0,11,kurtosis,ref,4.086015107870162
0,11,skewness,meas,0.6806974045704686
0,11,skewness,ref,0.6806974045704686
0,11,KL,NA,0
0,11,hellinger,NA,0
0,11,euclidean,NA,0
1,11,mean,meas,0.268133642311322
1,11,mean,ref,0.268133642311322
1,11,sd,meas,0.0644130250269631
1,11,sd,ref,0.0644130250269631
1,11,kurtosis,meas,4.031897533204839
1,11,kurtosis,ref,4.031897533204839
1,11,skewness,meas,0.3915842661874831
1,11,skewness,ref,0.3915842661874831
1,11,KL,NA,0
1,11,hellinger,NA,0
1,11,euclidean,NA,0
2,10,mean,meas,0.24960809220524685
2,10,mean,ref,0.24960809220524685
2,10,sd,meas,0.06977117605845083
2,10,sd,ref,0.06977117605845083
2,10,kurtosis,meas,3.033975532855717
2,10,kurtosis,ref,3.033975532855717
2,10,skewness,meas,-0.4655315273683254
2,10,skewness,ref,-0.4655315273683254
2,10,KL,NA,0
2,10,hellinger,NA,0
2,10,euclidean,NA,0
3,7,mean,meas,0.17871432615174018
3,7,mean,ref,0.17871432615174018
3,7,sd,meas,0.04892922906099735
3,7,sd,ref,0.04892922906099735
3,7,kurtosis,meas,3.1603541752796556
3,7,kurtosis,ref,3.1603541752796556
3,7,skewness,meas,-0.7743190077267703
3,7,skewness,ref,-0.7743190077267703
3,7,KL,NA,0
3,7,hellinger,NA,0
3,7,euclidean,NA,0
4,6,mean,meas,0.1329607477408091
4,6,mean,ref,0.1329607477408091
4,6,sd,meas,0.0441039055451836
4,6,sd,ref,0.0441039055451836
4,6,kurtosis,meas,3.5893366741978947
4,6,kurtosis,ref,3.5893366741978947
4,6,skewness,meas,-0.46264681484386555
4,6,skewness,ref,-0.46264681484386555
4,6,KL,NA,0
4,6,hellinger,NA,0
4,6,euclidean,NA,0
5,0,mean,meas,0.1428324191648035
5,0,mean,ref,0.1428324191648035
5,0,sd,meas,NA
5,0,sd,ref,NA
5,0,kurtosis,meas,NA
5,0,kurtosis,ref,NA
5,0,skewness,meas,NA
5,0,skewness,ref,NA
5,0,KL,NA,NA
5,0,hellinger,NA,NA
5,0,euclidean,NA,NA
6,13,mean,meas,0.08157679823434458
6,13,mean,ref,0.08157679823434458
6,13,sd,meas,0.023942440255799138
6,13,sd,ref,0.023942440255799138
6,13,kurtosis,meas,312.52871882723036
6,13,kurtosis,ref,312.52871882723036
6,13,skewness,meas,14.139461643983935
6,13,skewness,ref,14.139461643983935
6,13,KL,NA,0
6,13,hellinger,NA,0
6,13,euclidean,NA,0
7,10,mean,meas,0.1332629198091533
7,10,mean,ref,0.1332629198091533
7,10,sd,meas,0.06246427620941113
7,10,sd,ref,0.06246427620941113
7,10,kurtosis,meas,4.575138226790209
7,10,kurtosis,ref,4.575138226790209
7,10,skewness,meas,1.062423893310937
7,10,skewness,ref,1.062423893310937
7,10,KL,NA,0
7,10,hellinger,NA,0
7,10,euclidean,NA,0
8,13,mean,meas,0.17698041101130332
8,13,mean,ref,0.17698041101130332
8,13,sd,meas,0.05915939383928863
8,13,sd,ref,0.05915939383928863
8,13,kurtosis,meas,9.403317630553577
8,13,kurtosis,ref,9.403317630553577
8,13,skewness,meas,1.4196434970170255
8,13,skewness,ref,1.4196434970170255
8,13,KL,NA,0
8,13,hellinger,NA,0
8,13,euclidean,NA,0
9,11,mean,meas,0.19204733879106164
9,11,mean,ref,0.19204733879106164
9,11,sd,meas,0.06865496483060671
9,11,sd,ref,0.06865496483060671
9,11,kurtosis,meas,6.674504106636488
9,11,kurtosis,ref,6.674504106636488
9,11,skewness,meas,1.3295848005559205
9,11,skewness,ref,1.3295848005559205
9,11,KL,NA,0
9,11,hellinger,NA,0
9,11,euclidean,NA,0
10,11,mean,meas,0.26178980696046933
10,11,mean,ref,0.26178980696046933
10,11,sd,meas,0.08386610720642115
10,11,sd,ref,0.08386610720642115
10,11,kurtosis,meas,3.5638847075022473
10,11,kurtosis,ref,3.5638847075022473
10,11,skewness,meas,0.6932602803928863
10,11,skewness,ref,0.6932602803928863
10,11,KL,NA,0
10,11,hellinger,NA,0
10,11,euclidean,NA,0
11,12,mean,meas,0.28167277519308703
11,12,mean,ref,0.28167277519308703
11,12,sd,meas,0.0790697982443407
11,12,sd,ref,0.0790697982443407
11,12,kurtosis,meas,7.7503433308005745
11,12,kurtosis,ref,7.7503433308005745
11,12,skewness,meas,1.61911671165053
11,12,skewness,ref,1.61911671165053
11,12,KL,NA,0
11,12,hellinger,NA,0
11,12,euclidean,NA,0
12,13,mean,meas,0.31554441203870337
12,13,mean,ref,0.3147638669989863
12,13,sd,meas,0.09223490181024992
12,13,sd,ref,0.06631160299229386
12,13,kurtosis,meas,3.7569368594292882
12,13,kurtosis,ref,4.086015107870162
12,13,skewness,meas,0.917699504646822
12,13,skewness,ref,0.6806974045704686
12,13,KL,NA,0.15265735668430636
12,13,hellinger,NA,0.19497035056976408
12,13,euclidean,NA,0.18410027738092036
13,14,mean,meas,0.2939901969963637
13,14,mean,ref,0.268133642311322
13,14,sd,meas,0.07336160908597533
13,14,sd,ref,0.0644130250269631
13,14,kurtosis,meas,6.105315080827104
13,14,kurtosis,ref,4.031897533204839
13,14,skewness,meas,0.8110584777468038
13,14,skewness,ref,0.3915842661874831
13,14,KL,NA,0.08933939594687132
13,14,hellinger,NA,0.15515299165659266
13,14,euclidean,NA,0.12323725835724607
14,11,mean,meas,0.20969876013760044
14,11,mean,ref,0.24960809220524685
14,11,sd,meas,0.06503310894478348
14,11,sd,ref,0.06977117605845083
14,11,kurtosis,meas,4.225888603067448
