mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,0.02219577008292943,0.17054638589902582,0.07272069290890534,0.09446262858796511,0.06162979826549438,0.15029188338114294
1,0.2263731022790488,0.1515597525835323,0.06470114981316348,0.08421401638352384,0.06564186801216126,0.11259246337949042
2,NA,NA,NA,NA,NA,0.08561496415798486
3,NA,NA,NA,NA,NA,0.048909211009527685
4,NA,NA,NA,NA,NA,0.02649518417301361
5,NA,NA,NA,NA,NA,0.025272962602857548
6,0.05164023151067171,0.02352493374785062,0.015412231283433117,0.012973025874870897,0.018235571040919763,0.008235697833952942
7,0.5897539322732747,0.04280916433466679,0.011952330752899896,0.006547103046065206,0.06261955197447407,0.055181119993212485
8,0.18522559733657676,0.08189233185961889,0.010540510699118646,0.016253690909763696,0.07753576869392872,0.07381137551465286
9,0.13310918475341746,0.109733652778005,0.01451669897599752,0.0203743267350118,0.08595147269048771,0.10508707709682301
10,0.1540692399450248,0.12644202708961708,-0.009879034608998857,0.007039920491619306,0.08307497558561858,0.13400056096222135
11,0.3270234279594029,0.12860971619465428,0.08694815333373748,0.10360823527228738,0.07369195645247831,0.11511586074040134
12,0.23138867824393947,0.15263974019493673,0.02519201334808062,0.059024452652195206,0.07956939414874895,0.17181777798680578
13,0.14972823058127072,0.14954294217665404,0.06191162220996382,0.08270006002158761,0.09134442358901984,0.14269554808602877
14,0.21187820594653387,0.11535185207091968,0.04090318876879052,0.05137632248854962,0.10965667620305897,0.09981329761848176
15,0.04770316112322153,0.1379750876694879,0.057442820645896765,0.07020046862941469,0.13005690908707243,0.0507984974340577
16,NA,NA,NA,NA,NA,0.034143973315957095
17,NA,NA,NA,NA,NA,0.036468077321076334
18,NA,NA,NA,NA,NA,0.008800933773857994
19,NA,NA,NA,NA,NA,0.020344114334734983
20,NA,NA,NA,NA,NA,0.07832701614535668
21,NA,NA,NA,NA,NA,0.09945286533081951
22,NA,NA,NA,NA,NA,0.17025056607816474
23,NA,NA,NA,NA,NA,0.12900163158974487
24,NA,NA,NA,NA,NA,0.11844120945755268
25,NA,NA,NA,NA,NA,0.14517551577842092
26,NA,NA,NA,NA,NA,0.07709678565812865
27,NA,NA,NA,NA,NA,0.04268922332196387
28,NA,NA,NA,NA,NA,0.027249685657942252
29,NA,NA,NA,NA,NA,0.016279571035713192
30,NA,NA,NA,NA,NA,0.008720952126452136
31,0.014039322790538334,0.05862959725088481,0.009345720726968643,0.020069630475234253,0.03932783435677956,0.0475773253424129
32,0.30320814185223005,0.0571060020884702,0.0016541595812913526,0.008868253745020593,0.05286738470526139,0.0651861120652448
33,0.15062747497765358,0.11104122926363215,0.008055232754786066,0.028693475915672118,0.09065294059111327,0.1069570890800659
34,0.1232035911379459,0.13421629293324278,0.04025871018996326,0.04348882746222121,0.08719590076213399,0.12935868606021136
35,0.1582371343063068,0.1227116545084954,-0.00217361202199681,0.01785493942004862,0.06810515144991254,0.13275353214651314
36,0.04467250576130931,0.12831398415095366,0.027359898498052673,0.045033821003924196,0.056261915703230754,0.12346037702672487
37,0.17891808301619205,0.10673438366560341,0.04851061820576768,0.0626890030663309,0.05912976650769554,0.10137278946673448
38,0.10753238625588604,0.10257699861234384,0.07226827032012446,0.0841315396342014,0.06815725224920838,0.05818450258408403
39,0.04047555197914606,0.0834223256081498,0.031853053165491106,0.05386477015441621,0.07047907432863765,0.04950383880020856
40,NA,0.08516100867740051,-0.08516100867740051,-0.08516100867740051,NA,0.03126781166892928
