mos_into_deployment,pdf_resolution,statistic,plottype,value
0,21,mean,meas,0.3493641683765723
0,21,mean,ref,0.24226083665338646
0,21,sd,meas,0.061800365048656714
0,21,sd,ref,0.14606487817027478
0,21,kurtosis,meas,3.2054260450009147
0,21,kurtosis,ref,12.539221406009599
0,21,skewness,meas,0.6256981732661118
0,21,skewness,ref,2.6414052781457023
0,21,KL,NA,4.926845218010551
0,21,hellinger,NA,0.6398644903606963
0,21,euclidean,NA,0.548102604971084
1,10,mean,meas,0.3349901426197817
1,10,mean,ref,0.19052691176470588
1,10,sd,meas,0.06525244146755797
1,10,sd,ref,0.08835098170207735
1,10,kurtosis,meas,2.4885677594270454
1,10,kurtosis,ref,8.069914155210425
1,10,skewness,meas,-0.3219615675939036
1,10,skewness,ref,2.220446071331038
1,10,KL,NA,6.3457053955296
1,10,hellinger,NA,0.6861257592171733
1,10,euclidean,NA,0.6414178017567339
2,0,mean,meas,NA
2,0,mean,ref,0.17410551546391753
2,0,sd,meas,NA
2,0,sd,ref,0.08756166527262377
2,0,kurtosis,meas,NA
2,0,kurtosis,ref,25.491773874187558
2,0,skewness,meas,NA
2,0,skewness,ref,4.040634122115305
2,0,KL,NA,NA
2,0,hellinger,NA,NA
2,0,euclidean,NA,NA
3,0,mean,meas,NA
3,0,mean,ref,0.14686126903553298
3,0,sd,meas,NA
3,0,sd,ref,0.05567676804477739
3,0,kurtosis,meas,NA
3,0,kurtosis,ref,15.840842936786592
3,0,skewness,meas,NA
3,0,skewness,ref,3.2591815590189377
3,0,KL,NA,NA
3,0,hellinger,NA,NA
3,0,euclidean,NA,NA
4,0,mean,meas,NA
4,0,mean,ref,0.1173641825095057
4,0,sd,meas,NA
4,0,sd,ref,0.02277343457044857
4,0,kurtosis,meas,NA
4,0,kurtosis,ref,7.629543411266277
4,0,skewness,meas,NA
4,0,skewness,ref,1.7479683762827545
4,0,KL,NA,NA
4,0,hellinger,NA,NA
4,0,euclidean,NA,NA
5,0,mean,meas,NA
