mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.061800365048656714,0.061800365048656714
1,1,0,0,0,0.06525244146755797,0.06525244146755797
2,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,NA,NA
4,NA,NA,NA,NA,NA,NA
5,NA,NA,NA,NA,NA,NA
6,1,0,0,0,0.017306655936346088,0.017306655936346088
7,1,0,0,0,0.06635729870611698,0.06635729870611698
8,1,0,0,0,0.07606727028232675,0.07606727028232675
9,1,0,0,0,0.08527668681364965,0.08527668681364965
10,1,0,0,0,0.07748290374634152,0.07748290374634152
11,1,0,0,0,0.06909537013415193,0.06909537013415193
12,0.0024015558824601966,0.10111066171771976,-0.019632002878698793,-0.018826720392890073,0.07405955241634904,0.061800365048656714
13,0.19820556318470334,0.0788498539606113,0.015261741450012063,0.008614617886410214,0.09171260383925041,0.06525244146755797
14,NA,NA,NA,NA,0.11971274615926011,NA
15,NA,NA,NA,NA,0.11319040175511126,NA
16,NA,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,NA,0.017306655936346088
19,NA,NA,NA,NA,NA,0.06635729870611698
20,NA,NA,NA,NA,NA,0.07606727028232675
21,NA,NA,NA,NA,NA,0.08527668681364965
22,NA,NA,NA,NA,NA,0.07748290374634152
23,NA,NA,NA,NA,NA,0.06909537013415193
24,NA,NA,NA,NA,NA,0.061800365048656714
25,NA,NA,NA,NA,NA,0.06525244146755797
26,NA,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,NA,0.017306655936346088
31,0.03807067134479419,0.06399136790536429,-0.003818159466885365,5.72748567799708e-4,0.03954581948886024,0.06635729870611698
32,0.07620261246381019,0.07903462393530282,-0.035048823609947356,-0.028766550399116006,0.04668081771031221,0.07606727028232675
33,0.0010469845434826278,0.10997647513815884,0.0020776818525152754,-0.009914803610494849,0.08137039021554575,0.08527668681364965
34,0.3021544238170232,0.07863693455661909,0.01715987432776695,0.021781593756272755,0.08117007280637395,0.07748290374634152
35,0.010918314055780906,0.09584855892123627,-0.03389604050611459,-0.022524224053266595,0.06108300633306088,0.06909537013415193
36,0.005109055429856332,0.1133587136754422,-0.08031873860702225,-0.07871534999842786,0.05396016740917478,0.061800365048656714
37,0.34568426779965045,0.05880578787184432,-0.03052040967308444,-0.024154288079624664,0.061967181401128495,0.06525244146755797
38,NA,NA,NA,NA,0.07693794107177562,NA
39,NA,NA,NA,NA,0.06161504894181122,NA
