mos_into_deployment,pdf_resolution,statistic,plottype,value
0,8,mean,meas,0.3498262081412516
0,8,mean,ref,0.3498262081412516
0,8,sd,meas,0.06162979826549438
0,8,sd,ref,0.06162979826549438
0,8,kurtosis,meas,3.1915580831379455
0,8,kurtosis,ref,3.1915580831379455
0,8,skewness,meas,0.608333544655185
0,8,skewness,ref,0.608333544655185
0,8,KL,NA,0
0,8,hellinger,NA,0
0,8,euclidean,NA,0
1,7,mean,meas,0.33335788314649684
1,7,mean,ref,0.33335788314649684
1,7,sd,meas,0.06564186801216126
1,7,sd,ref,0.06564186801216126
1,7,kurtosis,meas,2.4102816108415
1,7,kurtosis,ref,2.4102816108415
1,7,skewness,meas,-0.2786340426829742
1,7,skewness,ref,-0.2786340426829742
1,7,KL,NA,0
1,7,hellinger,NA,0
1,7,euclidean,NA,0
2,0,mean,meas,NA
2,0,mean,ref,NA
2,0,sd,meas,NA
2,0,sd,ref,NA
2,0,kurtosis,meas,NA
2,0,kurtosis,ref,NA
2,0,skewness,meas,NA
2,0,skewness,ref,NA
2,0,KL,NA,NA
2,0,hellinger,NA,NA
2,0,euclidean,NA,NA
3,0,mean,meas,NA
3,0,mean,ref,NA
3,0,sd,meas,NA
3,0,sd,ref,NA
3,0,kurtosis,meas,NA
3,0,kurtosis,ref,NA
3,0,skewness,meas,NA
3,0,skewness,ref,NA
3,0,KL,NA,NA
3,0,hellinger,NA,NA
3,0,euclidean,NA,NA
4,0,mean,meas,NA
4,0,mean,ref,NA
4,0,sd,meas,NA
4,0,sd,ref,NA
4,0,kurtosis,meas,NA
4,0,kurtosis,ref,NA
4,0,skewness,meas,NA
4,0,skewness,ref,NA
4,0,KL,NA,NA
4,0,hellinger,NA,NA
4,0,euclidean,NA,NA
5,0,mean,meas,NA
5,0,mean,ref,NA
5,0,sd,meas,NA
5,0,sd,ref,NA
5,0,kurtosis,meas,NA
5,0,kurtosis,ref,NA
5,0,skewness,meas,NA
5,0,skewness,ref,NA
5,0,KL,NA,NA
5,0,hellinger,NA,NA
5,0,euclidean,NA,NA
