mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,0.1802757021110531,0.042984627515420884,0.019969854028044978,0.012311941935245804,0.0945700893473107,0.026002363022635398
1,0.3666166891380471,0.03214570453225259,0.012664432103192944,0.006370658743238999,0.031913704652019044,0.019316364731733596
2,0.015975067117333968,0.015328871915558564,0.0039857548941162006,0.0016955669403278945,0.01799851596268867,0.007567526933732968
3,0.6341818314977958,0.017392530288448192,0.007392711783244398,0.003460784100833794,0.039310067086415,0.02143320922086297
4,0.8767861290547033,0.02923937147804722,-0.020478594072849517,-0.019094645071913094,0.051445642375804006,0.06538042391258317
5,NA,0.006868299552581614,0.006868299552581614,0.006868299552581614,NA,0.10562131082600638
6,NA,NA,NA,NA,NA,0.05115071567983467
7,NA,NA,NA,NA,NA,0.13665752294192818
8,NA,NA,NA,NA,NA,0.14568183429287335
9,NA,NA,NA,NA,NA,0.13406995915981407
10,NA,NA,NA,NA,NA,0.10581106538903981
11,NA,NA,NA,NA,NA,0.053110330278651766
12,NA,NA,NA,NA,NA,0.032485011428877615
13,NA,NA,NA,NA,NA,0.035519885412589935
14,NA,NA,NA,NA,NA,0.012923430299366849
15,NA,NA,NA,NA,NA,0.003147467160084364
16,NA,NA,NA,NA,NA,0.04941474350112064
17,NA,NA,NA,NA,NA,0.09416907915089946
18,NA,NA,NA,NA,NA,0.15691776022358253
19,NA,NA,NA,NA,NA,0.1402829581964249
20,NA,NA,NA,NA,NA,0.08752823703984022
21,NA,NA,NA,NA,NA,0.1426339618150818
22,NA,NA,NA,NA,NA,0.023952142789073174
23,NA,NA,NA,NA,NA,NA
24,NA,NA,NA,NA,NA,NA
25,NA,NA,NA,NA,NA,NA
26,NA,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,0.050633390899152475,NA
29,NA,NA,NA,NA,0.0862893236368643,NA
30,NA,NA,NA,NA,0.09483839505395811,NA
31,NA,NA,NA,NA,0.10344546778739587,NA
32,NA,NA,NA,NA,0.10196027710983925,NA
33,NA,NA,NA,NA,0.09995686834623844,NA
34,NA,NA,NA,NA,0.07006355884579323,NA
35,NA,NA,NA,NA,0.04236974521237666,NA
36,NA,NA,NA,NA,0.03286964361719347,NA
37,NA,NA,NA,NA,0.03381146272463394,NA
38,NA,NA,NA,NA,0.026772078627879486,NA
39,NA,NA,NA,NA,0.027309035550352658,NA
40,NA,NA,NA,NA,0.03855775403194511,NA
