mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,0.14608375272936674,0.08131415972096681,3.992549166447804e-4,0.006015166088907703,0.08770036933433764,0.038451709183854405
1,0.26012918034472865,0.03065404677695635,0.006170761013070553,0.001201279529429701,0.03349940572485073,0.02557949520047053
2,0.051485318909443356,0.020034519112493324,0.007930208285327783,0.0035292817969282513,0.018200709766737797,0.008405094913503783
3,0.6338015463682016,0.025290657391471322,0.010980946899848746,0.0080279756277182035,0.034769488881105405,0.036069270708932885
4,0.5542147767666605,0.04121836179566555,7.918774772496058e-4,-9.259550568131159e-4,0.05846326183484209,0.05671501810430359
5,0.49508503525607345,0.07824332934936762,-0.006573816455690334,-4.1100842294825024e-4,0.09786224100253782,0.10444447712756708
6,0.6912832346862567,0.07189252261220672,-7.898756147743446e-4,-0.0016331449021163014,0.12090873597575043,0.12617046264809298
7,0.6716195095482848,0.07739265416155594,0.0018370670455655563,0.008015367822617303,0.13770990522623872,0.13228284333495074
8,0.7442180236324606,0.07946746816488474,-0.002605159734214037,0.008522875319828302,0.13503811067999666,0.15623609158512808
9,0.5944898349216452,0.10545055084393196,-0.02370323251581954,-0.017819590316258647,0.15352210589840357,0.15519418862015816
10,0.6128041369191619,0.07744118024210705,-0.00805821009054759,-1.676555297533272e-4,0.11357121976315607,0.11905652325065766
11,0.4371923295644012,0.05353780396761161,-3.620332498728744e-4,0.004822821215899303,0.06749423492885505,0.06581858516170334
12,0.3824884163394213,0.03937642116753982,-0.011661079768512729,-0.01391932375564111,0.0470841912443019,0.03557134893382139
13,0.34821578069529074,0.03841500652804237,0.003553305874567737,0.004976371823607495,0.041007605633601306,0.04032679539896787
14,0.1693681998268737,0.03857850479007401,0.012294151177736141,0.009472146387075595,0.03942050191855449,0.009692770578037017
15,0.11849277260097738,0.028035479098104138,0.00897694695514463,0.0081695631447193,0.027597808035119246,0.015412767608884853
16,0.3699446431163719,0.038518265812826274,0.006773826868784091,0.0066671671593965046,0.04943855913246124,0.04021084875982622
17,0.4973877437558359,0.06952451027056862,0.0016065362998817403,0.0048232521660716635,0.07657975422740418,0.09745606162155934
18,0.6971428952381067,0.08734909253537693,-0.020008038780338168,-0.0024985033527069045,0.11654411945250646,0.15326075725599161
19,0.6876234163693744,0.08620662963751483,-0.01797931320383399,-0.00614485789391378,0.12701585737033252,0.15091948157993773
20,0.6992300391018312,0.059322941923872115,0.014837474552682717,0.0215323193823298,0.09422361982066046,0.10245897555813167
21,0.6663388827255965,0.09127205200423393,-0.016926317966374504,-0.012314800059398098,0.1369624868798754,0.1541794637796906
22,0.5764872153434676,0.04785956994276986,-0.004055130084986307,0.001652081157243801,0.06470800198945872,0.07158468986742665
23,0.626463994231211,0.037380643858347495,-0.009598366545982895,-0.006356039524039556,0.053884099853407884,0.05753508972692277
24,0.2583983962797532,0.03411481558511518,0.01016376301267717,0.008349353539607196,0.03602175676225031,0.028296685146983663
25,0.18214768431144954,0.020226286126333443,0.009608752622207733,0.0099836381483396491,0.017188146912814055,0.01594831121820935
26,0.0808842472117523,0.02368099366847377,0.01776424924077591,0.017016473581870695,0.0151628852737762,0.009893569392028557
27,0.10140270483967923,0.024258748424445652,0.012763479167881054,0.014005831304082547,0.01876016585072598,0.016133966036477824
28,0.5009555212324139,0.0409288087082432,0.009415990695196002,0.012228703417707008,0.04736996783725243,0.055845535401065995
29,0.3951972870457519,0.08295732591951216,0.00520725322324357,0.01497464230562965,0.09352500999034613,0.09960633910491683
30,0.5685927439056349,0.07782810394428281,-0.00398623637304415,0.0068652852401999975,0.09735112235551711,0.11785549637723891
31,0.6236804495100098,0.08283597828351617,-0.008178752613193443,-0.0018395950131403077,0.10118016639306404,0.13422195571199297
32,0.6601849749390166,0.06857907477226861,0.006645951746296794,0.010925330383657395,0.09837941148285032,0.11681033759855772
33,0.6005944130460324,0.08019610198076918,0.008817111597068604,0.014744879687205004,0.09604890670064543,0.12616190850750733
34,0.5389340636917338,0.055943928776145443,0.01539655863591332,0.021344982568735488,0.07485342692525399,0.07340432972735114
35,0.39705757811128123,0.042266039931682736,0.01169279044841659,0.017184747537922998,0.04596081301717834,0.04871175252052768
36,0.1383280372558303,0.044814330454255674,0.01714182846924679,0.02366904674202345,0.039699735703844295,0.035372911797322
37,0.2658931308775534,0.03664213377125877,0.017665659010807785,0.018552965203893698,0.036750177207014,0.020012105107450856
38,0.12160230303226048,0.03158036941799903,0.01411409804798732,0.014869724981432589,0.029362127202567024,0.012040021915417594
39,0.2993975306723799,0.027039678220487168,0.005878863573554083,0.0087286880106901,0.030154639521518468,0.02215914215481462
40,0.23727246698760318,0.03898259789354931,0.0014647015576594875,0.001809423864983603,0.04739703752861637,0.0290497462816681
