mos_into_deployment,pdf_resolution,statistic,plottype,value
0,11,mean,meas,0.12471175962477749
0,11,mean,ref,0.12396706319702602
0,11,sd,meas,0.0945700893473107
0,11,sd,ref,0.026002363022635398
0,11,kurtosis,meas,17.451226841931952
0,11,kurtosis,ref,8.010105019455699
0,11,skewness,meas,-2.4292598152898615
0,11,skewness,ref,2.028827191452197
0,11,KL,NA,0.18839816451662847
0,11,hellinger,NA,0.256097060128281
0,11,euclidean,NA,0.3002433188442902
1,7,mean,meas,0.10629385288328408
1,7,mean,ref,0.0981841923076923
1,7,sd,meas,0.031913704652019044
1,7,sd,ref,0.019316364731733596
1,7,kurtosis,meas,11.66545319369734
1,7,kurtosis,ref,18.02842013006088
1,7,skewness,meas,2.1397280544155945
1,7,skewness,ref,2.8783473048872206
1,7,KL,NA,0.08022476798497816
1,7,hellinger,NA,0.15100872178586677
1,7,euclidean,NA,0.21365032646221305
2,3,mean,meas,0.08076877889865132
2,3,mean,ref,0.07424621212121212
2,3,sd,meas,0.01799851596268867
2,3,sd,ref,0.007567526933732968
2,3,kurtosis,meas,4.988507095324882
2,3,kurtosis,ref,3.036187930950952
2,3,skewness,meas,1.225422908296263
2,3,skewness,ref,1.0695907558963598
2,3,KL,NA,0.1427394209083974
2,3,hellinger,NA,0.26247265286460286
2,3,euclidean,NA,0.1850876874031858
3,5,mean,meas,0.10992236823588207
3,5,mean,ref,0.10336272727272727
3,5,sd,meas,0.039310067086415
3,5,sd,ref,0.02143320922086297
3,5,kurtosis,meas,3.886783579746616
3,5,kurtosis,ref,1.7562473527664522
3,5,skewness,meas,1.1152462087413393
3,5,skewness,ref,-0.2997866050581844
3,5,KL,NA,0.2781482476033954
3,5,hellinger,NA,0.3272682191217589
3,5,euclidean,NA,0.34505060115202213
4,9,mean,meas,0.1777845359838628
4,9,mean,ref,0.19522182926829268
4,9,sd,meas,0.051445642375804006
4,9,sd,ref,0.06538042391258317
4,9,kurtosis,meas,4.139436724680714
4,9,kurtosis,ref,7.2928920266130906
4,9,skewness,meas,0.8500223820424252
4,9,skewness,ref,1.6138172238560342
4,9,KL,NA,0.18063816975704086
4,9,hellinger,NA,0.1315624950151214
4,9,euclidean,NA,0.092112103706134
5,0,mean,meas,0.1468782995525816
5,0,mean,ref,0.1849794705882353
