mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.0945700893473107,0.0945700893473107
1,1,0,0,0,0.031913704652019044,0.031913704652019044
2,1,0,0,0,0.01799851596268867,0.01799851596268867
3,1,0,0,0,0.039310067086415,0.039310067086415
4,1,0,0,0,0.051445642375804006,0.051445642375804006
5,NA,0,0,0,NA,NA
6,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,0.0945700893473107
13,NA,NA,NA,NA,NA,0.031913704652019044
14,NA,NA,NA,NA,NA,0.01799851596268867
15,NA,NA,NA,NA,NA,0.039310067086415
16,NA,NA,NA,NA,NA,0.051445642375804006
17,NA,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,NA,NA
19,NA,NA,NA,NA,NA,NA
20,NA,NA,NA,NA,NA,NA
21,NA,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,NA,NA
23,NA,NA,NA,NA,NA,NA
24,NA,NA,NA,NA,NA,0.0945700893473107
25,NA,NA,NA,NA,NA,0.031913704652019044
26,NA,NA,NA,NA,NA,0.01799851596268867
27,NA,NA,NA,NA,NA,0.039310067086415
28,0.12608157062356204,0.0693616877713949,-0.04917064894239659,-0.04822115914166519,0.050633390899152475,0.051445642375804006
29,NA,NA,NA,NA,0.0862893236368643,NA
30,NA,NA,NA,NA,0.09483839505395811,NA
31,NA,NA,NA,NA,0.10344546778739587,NA
32,NA,NA,NA,NA,0.10196027710983925,NA
33,NA,NA,NA,NA,0.09995686834623844,NA
34,NA,NA,NA,NA,0.07006355884579323,NA
35,NA,NA,NA,NA,0.04236974521237666,NA
36,0.014479355093674014,0.0909121909971275,0.008181158113023694,0.004410282187590847,0.03286964361719347,0.0945700893473107
37,0.04900744643216827,0.042373255883102486,0.009728777992861934,0.013304298988394497,0.03381146272463394,0.031913704652019044
38,0.003561924643280804,0.034690678135176824,0.01358239549005573,0.012000757974198889,0.026772078627879486,0.01799851596268867
39,0.06277667548649238,0.03889765698645275,-0.003177176041202903,0.005445465014123241,0.027309035550352658,0.039310067086415
40,0.21882196878511384,0.048967332337747596,-0.030338817545506113,-0.0309701921855908,0.03855775403194511,0.051445642375804006
