mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.08770036933433764,0.08770036933433764
1,1,0,0,0,0.03349940572485073,0.03349940572485073
2,1,0,0,0,0.018200709766737797,0.018200709766737797
3,1,0,0,0,0.034769488881105405,0.034769488881105405
4,1,0,0,0,0.05846326183484209,0.05846326183484209
5,1,0,0,0,0.09786224100253782,0.09786224100253782
6,1,0,0,0,0.12090873597575043,0.12090873597575043
7,1,0,0,0,0.13770990522623872,0.13770990522623872
8,1,0,0,0,0.13503811067999666,0.13503811067999666
9,1,0,0,0,0.15352210589840357,0.15352210589840357
10,1,0,0,0,0.11357121976315607,0.11357121976315607
11,1,0,0,0,0.06749423492885505,0.06749423492885505
12,0.005157275282852934,0.09655910167510372,0.004654305112145704,-0.0017057821883637025,0.0470841912443019,0.08770036933433764
13,0.08021364798674706,0.045358980086401254,0.00587044522929337,0.006659780159143952,0.041007605633601306,0.03349940572485073
14,0.05550071825131239,0.03981319490666508,0.006328856389857185,0.006786200049888252,0.03942050191855449,0.018200709766737797
15,0.1551171310969676,0.042344947537350894,-0.02408352016563773,-0.020256909722266847,0.027597808035119246,0.034769488881105405
16,0.19562773559704766,0.08301862473135545,-0.05992657757452933,-0.05349339847230249,0.04943855913246124,0.05846326183484209
17,0.08197481469233925,0.11038597882260817,-0.032411062559709644,-0.020881677280082743,0.07657975422740418,0.09786224100253782
18,0.24982169964001877,0.12264706119059529,-0.030757046208327535,-0.028083359590774154,0.11654411945250646,0.12090873597575043
19,0.04472763465773575,0.16672494238148877,-0.011708393623767306,-0.004702741033433697,0.12701585737033252,0.13770990522623872
20,0.021229671056585225,0.161643087163182,-0.047673336671430845,-0.02840753939468671,0.09422361982066046,0.13503811067999666
21,0.08088521275346265,0.17471014120282996,-0.013411504750152422,-0.002936781904625485,0.1369624868798754,0.15352210589840357
22,0.06790262078231149,0.12441732462375689,-0.04736935177464575,-0.035987792956390804,0.06470800198945872,0.11357121976315607
23,0.11783655133192146,0.07187284445288378,-0.014501215666958918,-0.015083110917899545,0.053884099853407884,0.06749423492885505
24,2.3976311082864136e-4,0.0948627619733447,-0.0012102071445029001,-0.004902205809685312,0.03602175676225031,0.08770036933433764
25,0.11424749786895465,0.03218058134724266,-0.0029276825940930365,3.1040725965164606e-4,0.017188146912814055,0.03349940572485073
26,0.13977715906901658,0.025923342365431548,0.017932204957550775,0.018966140023652205,0.0151628852737762,0.018200709766737797
27,0.2890377827280733,0.02985536317696593,-0.005744463038453369,-2.6872799743705295e-4,0.01876016585072598,0.034769488881105405
28,0.12349475815208269,0.06380638234357701,-0.01899522621049966,-0.018988530635828497,0.04736996783725243,0.05846326183484209
29,0.06067738979947917,0.11750441783739496,0.0034049135603978786,0.012871415783135602,0.09352500999034613,0.09786224100253782
30,0.11570720011205804,0.12684157116966918,-0.0046865870173980854,0.005462436397306446,0.09735112235551711,0.12090873597575043
31,0.1465502591986339,0.13713393032073135,-0.017263620406709805,-0.011459476138822935,0.10118016639306404,0.13770990522623872
32,0.0224742843665555,0.1551120723025478,-0.01200305847529433,-0.001792490796888646,0.09837941148285032,0.13503811067999666
33,0.15388147726330872,0.1491179563042881,-0.031969946219440305,-0.014370950534842546,0.09604890670064543,0.15352210589840357
34,0.26131191542330373,0.09902102905813877,-0.01791608509790954,-0.0029541289842426044,0.07485342692525399,0.11357121976315607
35,0.2408794829747885,0.060211569728989174,0.002722753029278432,0.008919299904064648,0.04596081301717834,0.06749423492885505
36,0.008642581034144612,0.09306982405663726,0.0072358774649890585,0.004681878383417576,0.039699735703844295,0.08770036933433764
37,0.06275040392777417,0.04385986139035762,0.006752442560078109,0.011532922271484256,0.036750177207014,0.03349940572485073
38,0.014484158788298694,0.034220505939196746,0.010380488566615192,0.0113217010696125,0.029362127202567024,0.018200709766737797
39,0.04691612554062865,0.041510289821411084,-0.007830538135487364,-0.004004919223772045,0.030154639521518468,0.034769488881105405
40,0.18465985912255675,0.055865395419312056,-0.03333222836699595,-0.03788718949718656,0.04739703752861637,0.05846326183484209
