mos_into_deployment,pdf_resolution,statistic,plottype,value
0,11,mean,meas,0.12204078060451813
0,11,mean,ref,0.12204078060451813
0,11,sd,meas,0.08770036933433764
0,11,sd,ref,0.08770036933433764
0,11,kurtosis,meas,18.77834258962738
0,11,kurtosis,ref,18.77834258962738
0,11,skewness,meas,-2.3643317031231668
0,11,skewness,ref,-2.3643317031231668
0,11,KL,NA,0
0,11,hellinger,NA,0
0,11,euclidean,NA,0
1,8,mean,meas,0.10118839220509432
1,8,mean,ref,0.10118839220509432
1,8,sd,meas,0.03349940572485073
1,8,sd,ref,0.03349940572485073
1,8,kurtosis,meas,9.254491086132168
1,8,kurtosis,ref,9.254491086132168
1,8,skewness,meas,1.670072098750539
1,8,skewness,ref,1.670072098750539
1,8,KL,NA,0
1,8,hellinger,NA,0
1,8,euclidean,NA,0
2,4,mean,meas,0.07785374098510656
2,4,mean,ref,0.07785374098510656
2,4,sd,meas,0.018200709766737797
2,4,sd,ref,0.018200709766737797
2,4,kurtosis,meas,4.740657888138572
2,4,kurtosis,ref,4.740657888138572
2,4,skewness,meas,0.9481617083655686
2,4,skewness,ref,0.9481617083655686
2,4,KL,NA,0
2,4,hellinger,NA,0
2,4,euclidean,NA,0
3,5,mean,meas,0.10357866604551354
3,5,mean,ref,0.10357866604551354
3,5,sd,meas,0.034769488881105405
3,5,sd,ref,0.034769488881105405
3,5,kurtosis,meas,4.575773570208214
3,5,kurtosis,ref,4.575773570208214
3,5,skewness,meas,1.1816041341451433
3,5,skewness,ref,1.1816041341451433
3,5,KL,NA,0
3,5,hellinger,NA,0
3,5,euclidean,NA,0
4,13,mean,meas,0.17119521942148236
4,13,mean,ref,0.17119521942148236
4,13,sd,meas,0.05846326183484209
4,13,sd,ref,0.05846326183484209
4,13,kurtosis,meas,10.249180715248329
4,13,kurtosis,ref,10.249180715248329
4,13,skewness,meas,1.7783633883157257
4,13,skewness,ref,1.7783633883157257
4,13,KL,NA,0
4,13,hellinger,NA,0
4,13,euclidean,NA,0
5,18,mean,meas,0.17885504398381372
5,18,mean,ref,0.17885504398381372
5,18,sd,meas,0.09786224100253782
5,18,sd,ref,0.09786224100253782
5,18,kurtosis,meas,8.487444357242625
5,18,kurtosis,ref,8.487444357242625
5,18,skewness,meas,1.6198800555734933
5,18,skewness,ref,1.6198800555734933
5,18,KL,NA,0
5,18,hellinger,NA,0
5,18,euclidean,NA,0
6,20,mean,meas,0.21530995379723292
6,20,mean,ref,0.21530995379723292
6,20,sd,meas,0.12090873597575043
6,20,sd,ref,0.12090873597575043
6,20,kurtosis,meas,7.076856463959878
6,20,kurtosis,ref,7.076856463959878
6,20,skewness,meas,1.5538462964045416
6,20,skewness,ref,1.5538462964045416
6,20,KL,NA,0
6,20,hellinger,NA,0
6,20,euclidean,NA,0
7,19,mean,meas,0.2527696050455776
7,19,mean,ref,0.2527696050455776
7,19,sd,meas,0.13770990522623872
7,19,sd,ref,0.13770990522623872
7,19,kurtosis,meas,5.915036371295167
7,19,kurtosis,ref,5.915036371295167
7,19,skewness,meas,1.4095185092663158
7,19,skewness,ref,1.4095185092663158
7,19,KL,NA,0
7,19,hellinger,NA,0
7,19,euclidean,NA,0
8,20,mean,meas,0.24797093007299723
8,20,mean,ref,0.24797093007299723
8,20,sd,meas,0.13503811067999666
8,20,sd,ref,0.13503811067999666
8,20,kurtosis,meas,8.648819464175903
