mos_into_deployment,pdf_resolution,statistic,plottype,value
0,20,mean,meas,0.10236025243924722
0,20,mean,ref,0.08961139393939394
0,20,sd,meas,0.04944704222190672
0,20,sd,ref,0.022709309198313304
0,20,kurtosis,meas,207.48091505139334
0,20,kurtosis,ref,18.415787107819604
0,20,skewness,meas,11.367556546874646
0,20,skewness,ref,3.08948535182122
0,20,KL,NA,0.11235648699651812
0,20,hellinger,NA,0.1792355218742347
0,20,euclidean,NA,0.28072623981388223
1,4,mean,meas,0.08311410400091018
1,4,mean,ref,0.07788483870967743
1,4,sd,meas,0.019539366550406598
1,4,sd,ref,0.00801017430978367
1,4,kurtosis,meas,2.917200514284355
1,4,kurtosis,ref,2.135802375629521
1,4,skewness,meas,0.5273890362583632
1,4,skewness,ref,0.47434250380152815
1,4,KL,NA,0.2560419402473581
1,4,hellinger,NA,0.34666729286780557
1,4,euclidean,NA,0.3104135183202147
2,9,mean,meas,0.1510808819381383
2,9,mean,ref,0.1779805882352941
2,9,sd,meas,0.047523590445622294
2,9,sd,ref,0.06041054735924852
2,9,kurtosis,meas,5.862082812797192
2,9,kurtosis,ref,2.7900933238343923
2,9,skewness,meas,0.9366267525678955
2,9,skewness,ref,0.5116774241429561
2,9,KL,NA,0.22553188846579342
2,9,hellinger,NA,0.19897862997072296
2,9,euclidean,NA,0.16261966815714649
3,17,mean,meas,0.1707387232131543
3,17,mean,ref,0.1890217372881356
3,17,sd,meas,0.07147476276357417
3,17,sd,ref,0.10407414797005254
3,17,kurtosis,meas,10.650351140452821
3,17,kurtosis,ref,13.362476087859985
3,17,skewness,meas,2.093739323235552
3,17,skewness,ref,2.8990122478962355
3,17,KL,NA,0.39998152219687205
3,17,hellinger,NA,0.21422597279790917
3,17,euclidean,NA,0.09927556979484613
4,15,mean,meas,0.18947274969445352
4,15,mean,ref,0.1697458163265306
4,15,sd,meas,0.08660137659851813
4,15,sd,ref,0.0827574841537672
4,15,kurtosis,meas,5.852907661888053
4,15,kurtosis,ref,16.69637888254618
4,15,skewness,meas,1.4868771784490091
4,15,skewness,ref,3.282546476386881
4,15,KL,NA,0.26745842071585796
4,15,hellinger,NA,0.27261962931597783
4,15,euclidean,NA,0.29764038455298103
5,21,mean,meas,0.2454600759647564
5,21,mean,ref,0.25760055118110237
5,21,sd,meas,0.0960646965815308
5,21,sd,ref,0.1346286553456209
5,21,kurtosis,meas,5.628803073287392
5,21,kurtosis,ref,12.952608296496408
5,21,skewness,meas,1.4272411880890983
5,21,skewness,ref,2.269200662177827
5,21,KL,NA,0.16568111202545865
5,21,hellinger,NA,0.17388745815716355
5,21,euclidean,NA,0.15097033207855146
6,14,mean,meas,0.24191343313217606
6,14,mean,ref,0.20652874418604653
6,14,sd,meas,0.08007914881672447
6,14,sd,ref,0.1271381334362323
6,14,kurtosis,meas,5.0750629978552375
6,14,kurtosis,ref,11.93030871410536
6,14,skewness,meas,1.4672855778456246
6,14,skewness,ref,2.9439492291413503
6,14,KL,NA,1.1262861883075368
6,14,hellinger,NA,0.4171528286256355
6,14,euclidean,NA,0.4047356255287583
7,19,mean,meas,0.27250855202976937
7,19,mean,ref,0.2636652956989247
7,19,sd,meas,0.11104855442446382
7,19,sd,ref,0.13787554803616744
7,19,kurtosis,meas,6.378028329523451
7,19,kurtosis,ref,6.434675145508084
7,19,skewness,meas,1.4987937723667146
7,19,skewness,ref,1.6564991654103614
7,19,KL,NA,0.17915975361384792
7,19,hellinger,NA,0.17984956024522372
7,19,euclidean,NA,0.1546815354173405
8,17,mean,meas,0.23563051284378989
8,17,mean,ref,0.21947325
8,17,sd,meas,0.10454420822463534
8,17,sd,ref,0.13379715527895653
8,17,kurtosis,meas,4.701096519841763
8,17,kurtosis,ref,6.880453824865779
8,17,skewness,meas,1.0736697686805807
8,17,skewness,ref,1.9248900414736723
8,17,KL,NA,0.4469925487514746
8,17,hellinger,NA,0.3222624650907244
8,17,euclidean,NA,0.3507841587048599
9,13,mean,meas,0.18644308748874358
9,13,mean,ref,0.16575702127659575
9,13,sd,meas,0.086714942008044
9,13,sd,ref,0.08249361043083359
9,13,kurtosis,meas,10.043679736046462
9,13,kurtosis,ref,14.067700089293417
9,13,skewness,meas,2.1278852073879366
9,13,skewness,ref,3.084302327923534
9,13,KL,NA,0.32571291947538317
9,13,hellinger,NA,0.29940439883992065
9,13,euclidean,NA,0.38626901900945515
10,12,mean,meas,0.16457942415871352
10,12,mean,ref,0.14524231263383297
10,12,sd,meas,0.0532625752912147
10,12,sd,ref,0.03172319383760522
10,12,kurtosis,meas,9.630858790366485
10,12,kurtosis,ref,10.913861559028232
10,12,skewness,meas,1.2811842206262352
10,12,skewness,ref,2.0405945556974627
10,12,KL,NA,0.3145781314660018
10,12,hellinger,NA,0.3209237813793777
10,12,euclidean,NA,0.3746400705444348
11,8,mean,meas,0.13247022977650474
11,8,mean,ref,0.1196215835777126
11,8,sd,meas,0.04027310167692124
11,8,sd,ref,0.03496804126395768
11,8,kurtosis,meas,6.798444057759464
11,8,kurtosis,ref,23.095716358087454
11,8,skewness,meas,1.254849202720719
11,8,skewness,ref,3.443173875981176
11,8,KL,NA,0.09379813094380633
11,8,hellinger,NA,0.16525596130583378
11,8,euclidean,NA,0.20075552863865898
12,11,mean,meas,0.11065054269055039
12,11,mean,ref,0.09529324626865672
12,11,sd,meas,0.049485342362120426
12,11,sd,ref,0.0313835295238972
12,11,kurtosis,meas,21.88650449730472
12,11,kurtosis,ref,29.01251753840769
12,11,skewness,meas,3.4202006841123955
12,11,skewness,ref,3.6972812145506952
12,11,KL,NA,0.09343680557947316
12,11,hellinger,NA,0.1717024732269802
12,11,euclidean,NA,0.21856222908790376
13,4,mean,meas,0.08173638653075593
13,4,mean,ref,0.06939090909090909
13,4,sd,meas,0.018557197659409976
13,4,sd,ref,0.0072017442390414415
13,4,kurtosis,meas,6.100511271444872
13,4,kurtosis,ref,6.323989062725083
13,4,skewness,meas,1.1319131872619244
13,4,skewness,ref,1.5729136844125728
13,4,KL,NA,0.18132589147493303
13,4,hellinger,NA,0.2944285598345801
13,4,euclidean,NA,0.22193030839757538
14,11,mean,meas,0.09867610275341984
14,11,mean,ref,0.10981482758620689
