mos_into_deployment,pdf_resolution,statistic,plottype,value
0,20,mean,meas,0.10416524098531113
0,20,mean,ref,0.07995330985915493
0,20,sd,meas,0.04851584640378489
0,20,sd,ref,0.024764354715755728
0,20,kurtosis,meas,197.50853367530664
0,20,kurtosis,ref,41.78394784602659
0,20,skewness,meas,10.683306158039416
0,20,skewness,ref,5.108558794736854
0,20,KL,NA,0.30781569833026495
0,20,hellinger,NA,0.2991660625148372
0,20,euclidean,NA,0.4481019398669986
1,5,mean,meas,0.0813914406099817
1,5,mean,ref,0.07204989329268292
1,5,sd,meas,0.020129927814889214
1,5,sd,ref,0.01013603232464785
1,5,kurtosis,meas,5.278328263916383
1,5,kurtosis,ref,5.4869267268264545
1,5,skewness,meas,0.9045550584536094
1,5,skewness,ref,0.7163217158505026
1,5,KL,NA,0.2001694453562541
1,5,hellinger,NA,0.27740258290127734
1,5,euclidean,NA,0.26858480724141964
2,9,mean,meas,0.1526327491017941
2,9,mean,ref,0.15814696721311475
2,9,sd,meas,0.05151300760426255
2,9,sd,ref,0.05591419896886637
2,9,kurtosis,meas,5.667370203393439
2,9,kurtosis,ref,3.8080452963061155
2,9,skewness,meas,1.0960077752266246
2,9,skewness,ref,0.8443219329414531
2,9,KL,NA,0.022618797741359296
2,9,hellinger,NA,0.07263756616951038
2,9,euclidean,NA,0.04352762915558159
3,18,mean,meas,0.16303849533309148
3,18,mean,ref,0.1669403581661891
3,18,sd,meas,0.07065274796817707
3,18,sd,ref,0.08931157158322973
3,18,kurtosis,meas,11.19011508847314
3,18,kurtosis,ref,18.46127524836185
3,18,skewness,meas,2.1397948979209005
3,18,skewness,ref,3.526646451340276
3,18,KL,NA,0.2884209928463884
3,18,hellinger,NA,0.21335728665006307
3,18,euclidean,NA,0.20284247106977854
4,21,mean,meas,0.18601929489348193
4,21,mean,ref,0.1874892098092643
4,21,sd,meas,0.08865600448610172
4,21,sd,ref,0.10715774801831648
4,21,kurtosis,meas,5.369801826552415
4,21,kurtosis,ref,11.933393408997459
4,21,skewness,meas,1.410423524633811
4,21,skewness,ref,2.4675543605725174
4,21,KL,NA,0.1101574530626054
4,21,hellinger,NA,0.14740959541981782
4,21,euclidean,NA,0.17891314180032888
5,21,mean,meas,0.2607412572165867
5,21,mean,ref,0.27148829351535836
5,21,sd,meas,0.10436166195408592
5,21,sd,ref,0.13957316833890338
5,21,kurtosis,meas,7.747023079897013
5,21,kurtosis,ref,8.05609642325826
