mos_into_deployment,pdf_resolution,statistic,plottype,value
0,20,mean,meas,0.10236025243924722
0,20,mean,ref,0.10236025243924722
0,20,sd,meas,0.04944704222190672
0,20,sd,ref,0.04944704222190672
0,20,kurtosis,meas,207.48091505139334
0,20,kurtosis,ref,207.48091505139334
0,20,skewness,meas,11.367556546874646
0,20,skewness,ref,11.367556546874646
0,20,KL,NA,0
0,20,hellinger,NA,0
0,20,euclidean,NA,0
1,4,mean,meas,0.08311410400091018
1,4,mean,ref,0.08311410400091018
1,4,sd,meas,0.019539366550406598
1,4,sd,ref,0.019539366550406598
1,4,kurtosis,meas,2.917200514284355
1,4,kurtosis,ref,2.917200514284355
1,4,skewness,meas,0.5273890362583632
1,4,skewness,ref,0.5273890362583632
1,4,KL,NA,0
1,4,hellinger,NA,0
1,4,euclidean,NA,0
2,9,mean,meas,0.1510808819381383
2,9,mean,ref,0.1510808819381383
2,9,sd,meas,0.047523590445622294
2,9,sd,ref,0.047523590445622294
2,9,kurtosis,meas,5.862082812797192
2,9,kurtosis,ref,5.862082812797192
2,9,skewness,meas,0.9366267525678955
2,9,skewness,ref,0.9366267525678955
2,9,KL,NA,0
2,9,hellinger,NA,0
2,9,euclidean,NA,0
3,13,mean,meas,0.1707387232131543
3,13,mean,ref,0.1707387232131543
3,13,sd,meas,0.07147476276357417
3,13,sd,ref,0.07147476276357417
3,13,kurtosis,meas,10.650351140452821
3,13,kurtosis,ref,10.650351140452821
3,13,skewness,meas,2.093739323235552
3,13,skewness,ref,2.093739323235552
3,13,KL,NA,0
3,13,hellinger,NA,0
3,13,euclidean,NA,0
4,13,mean,meas,0.18947274969445352
4,13,mean,ref,0.18947274969445352
4,13,sd,meas,0.08660137659851813
4,13,sd,ref,0.08660137659851813
4,13,kurtosis,meas,5.852907661888053
4,13,kurtosis,ref,5.852907661888053
4,13,skewness,meas,1.4868771784490091
4,13,skewness,ref,1.4868771784490091
4,13,KL,NA,0
4,13,hellinger,NA,0
4,13,euclidean,NA,0
5,13,mean,meas,0.2454600759647564
5,13,mean,ref,0.2454600759647564
5,13,sd,meas,0.0960646965815308
5,13,sd,ref,0.0960646965815308
5,13,kurtosis,meas,5.628803073287392
5,13,kurtosis,ref,5.628803073287392
5,13,skewness,meas,1.4272411880890983
5,13,skewness,ref,1.4272411880890983
5,13,KL,NA,0
5,13,hellinger,NA,0
5,13,euclidean,NA,0
6,10,mean,meas,0.24191343313217606
6,10,mean,ref,0.24191343313217606
6,10,sd,meas,0.08007914881672447
6,10,sd,ref,0.08007914881672447
6,10,kurtosis,meas,5.0750629978552375
6,10,kurtosis,ref,5.0750629978552375
6,10,skewness,meas,1.4672855778456246
6,10,skewness,ref,1.4672855778456246
6,10,KL,NA,0
6,10,hellinger,NA,0
6,10,euclidean,NA,0
7,16,mean,meas,0.27250855202976937
7,16,mean,ref,0.27250855202976937
7,16,sd,meas,0.11104855442446382
7,16,sd,ref,0.11104855442446382
7,16,kurtosis,meas,6.378028329523451
7,16,kurtosis,ref,6.378028329523451
7,16,skewness,meas,1.4987937723667146
7,16,skewness,ref,1.4987937723667146
7,16,KL,NA,0
7,16,hellinger,NA,0
7,16,euclidean,NA,0
8,15,mean,meas,0.23563051284378989
8,15,mean,ref,0.23563051284378989
8,15,sd,meas,0.10454420822463534
8,15,sd,ref,0.10454420822463534
8,15,kurtosis,meas,4.701096519841763
8,15,kurtosis,ref,4.701096519841763
8,15,skewness,meas,1.0736697686805807
8,15,skewness,ref,1.0736697686805807
8,15,KL,NA,0
8,15,hellinger,NA,0
8,15,euclidean,NA,0
9,13,mean,meas,0.18644308748874358
9,13,mean,ref,0.18644308748874358
9,13,sd,meas,0.086714942008044
9,13,sd,ref,0.086714942008044
9,13,kurtosis,meas,10.043679736046462
9,13,kurtosis,ref,10.043679736046462
9,13,skewness,meas,2.1278852073879366
9,13,skewness,ref,2.1278852073879366
9,13,KL,NA,0
9,13,hellinger,NA,0
9,13,euclidean,NA,0
10,12,mean,meas,0.16457942415871352
10,12,mean,ref,0.16457942415871352
10,12,sd,meas,0.0532625752912147
10,12,sd,ref,0.0532625752912147
10,12,kurtosis,meas,9.630858790366485
10,12,kurtosis,ref,9.630858790366485
10,12,skewness,meas,1.2811842206262352
10,12,skewness,ref,1.2811842206262352
10,12,KL,NA,0
10,12,hellinger,NA,0
10,12,euclidean,NA,0
11,8,mean,meas,0.13247022977650474
11,8,mean,ref,0.13247022977650474
11,8,sd,meas,0.04027310167692124
11,8,sd,ref,0.04027310167692124
11,8,kurtosis,meas,6.798444057759464
11,8,kurtosis,ref,6.798444057759464
11,8,skewness,meas,1.254849202720719
11,8,skewness,ref,1.254849202720719
11,8,KL,NA,0
11,8,hellinger,NA,0
11,8,euclidean,NA,0
12,21,mean,meas,0.11065054269055039
12,21,mean,ref,0.10236025243924722
12,21,sd,meas,0.049485342362120426
12,21,sd,ref,0.04944704222190672
12,21,kurtosis,meas,21.88650449730472
12,21,kurtosis,ref,207.48091505139334
12,21,skewness,meas,3.4202006841123955
12,21,skewness,ref,11.367556546874646
12,21,KL,NA,0.04725378252188847
12,21,hellinger,NA,0.11871241823695328
12,21,euclidean,NA,0.10932699819168375
13,4,mean,meas,0.08173638653075593
13,4,mean,ref,0.08311410400091018
13,4,sd,meas,0.018557197659409976
13,4,sd,ref,0.019539366550406598
13,4,kurtosis,meas,6.100511271444872
13,4,kurtosis,ref,2.917200514284355
13,4,skewness,meas,1.1319131872619244
13,4,skewness,ref,0.5273890362583632
13,4,KL,NA,0.01663334728012301
13,4,hellinger,NA,0.06319512922952146
13,4,euclidean,NA,0.08950629839933405
14,10,mean,meas,0.09867610275341984
14,10,mean,ref,0.1510808819381383
14,10,sd,meas,0.040964610891844354
14,10,sd,ref,0.047523590445622294
14,10,kurtosis,meas,26.848991980809107
14,10,kurtosis,ref,5.862082812797192
14,10,skewness,meas,3.568883897347837
14,10,skewness,ref,0.9366267525678955
14,10,KL,NA,0.9337266401092392
14,10,hellinger,NA,0.45105700294261974
14,10,euclidean,NA,0.5790317250034822
15,14,mean,meas,0.1200247146211713
15,14,mean,ref,0.1707387232131543
15,14,sd,meas,0.054681275942511785
15,14,sd,ref,0.07147476276357417
15,14,kurtosis,meas,13.518067913035253
15,14,kurtosis,ref,10.650351140452821
15,14,skewness,meas,2.657231363652515
15,14,skewness,ref,2.093739323235552
15,14,KL,NA,0.5192140633843854
15,14,hellinger,NA,0.34856808798204375
15,14,euclidean,NA,0.36567768652680316
16,13,mean,meas,0.17285038905916222
16,13,mean,ref,0.18947274969445352
16,13,sd,meas,0.07309615289436895
16,13,sd,ref,0.08660137659851813
16,13,kurtosis,meas,5.951819044064037
16,13,kurtosis,ref,5.852907661888053
16,13,skewness,meas,1.6070107255624115
16,13,skewness,ref,1.4868771784490091
16,13,KL,NA,0.06045724441527141
16,13,hellinger,NA,0.09994442831820304
16,13,euclidean,NA,0.10427441475469681
17,13,mean,meas,0.25778894546635306
