mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,residual_kurtosis,residual_skewness
0,0.94469601604783,0.03789804319651035,0.014206505870059907,0.014273062140072096,8.037551431169112,-0.7754958343961312
1,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA
3,0.5523057857540409,0.04223588840056464,0.002134230045358973,-0.005303533973037761,19.585292260156123,3.54051647579769
4,0.5294967856843489,0.0286733780889715,0.015568046412473377,0.012641865273857855,6.178714408669962,1.089994049403121
5,0.5112436655393207,0.01964115538777283,0.00559885556006206,0.005062262692232498,3.294579316647248,0.19294016842312223
6,0.15025521028960098,0.009741077787062456,0.0020616973505239266,0.003174640800762199,2.7693598521018994,-0.6253152770016351
7,0.8956289736929222,0.014756077790663158,0.0018888137449139726,0.00252684933326551,4.556690723675685,0.4550928677435347
8,0.8272856756718495,0.04245296951471488,0.002939420597468821,-0.002894558628825511,47.47797926541544,5.1133483917138305
9,0.9067180629416803,0.032295780293073506,-0.0038694696907249993,-0.006864523373763996,7.949939640338927,0.7160348572371317
10,0.7844468987673251,0.06486026789177461,0.0014755675388084515,-0.0022708233859830007,27.78074252870526,0.8141860639734189
11,0.9557471186663634,0.024101901843551415,-0.003998785927923374,-0.004788062932427395,5.1297974417072325,0.7711930151749965
12,0.8838603903213867,0.051500126645455155,2.96708392384368e-4,0.0024335005028795903,11.973788086288346,0.03262404244937695
13,0.85287494039475,0.05550515599573275,-0.005272646630862082,-0.004341695043520777,17.73581002749531,-0.3581380205875929
14,0.8747957689240006,0.03715098662507909,-0.006912277867843825,-0.0028245783548729517,18.886446375172078,-2.030388962682589
15,0.7361756666342536,0.032412646118087654,-0.004272594257921233,-0.0033531505451103033,10.182774313999031,0.9534129314787111
16,0.5728592413932904,0.028596942076240035,0.0079071112850263945,0.01091101282655385,4.8259927624429295,0.23477697474333134
17,NA,NA,NA,NA,NA,NA
18,0.15215662791346304,0.011528039837262095,0.005204459716295301,0.006720236302456897,3.165278780486981,-0.19769558108566143
19,0.5368686670671029,0.023139134430408794,-0.0061338246484122306,2.3075299097578827e-4,2.1875571388214308,-0.5781019350574353
20,0.5901004327976026,0.038862094333364475,0.0035665241722557216,0.001642841374517992,4.465912092163931,0.8304786743740644
21,0.8787933240335613,0.04437980831395288,0.012566990965775881,0.013287875956204093,5.892118587494506,0.2532425529230035
22,0.9206690450961545,0.04897796693533659,-0.007542530236698806,-0.0030748409323815007,5.303189559759177,-0.055721502638727195
23,0.9068516657669373,0.035220204257407114,-0.005354832016227587,-0.0015699842598831948,14.890345196110925,-0.9952230001840305
24,0.9231513287855492,0.03363851450082932,0.0052096720234289726,0.005185401893625201,11.659851496302778,1.3091307641242242
25,0.894705255749089,0.045596802037917265,-0.004318204014424779,-0.001142909589252783,16.40159663772178,1.6588065366246918
26,NA,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA,NA
32,NA,NA,NA,NA,NA,NA
33,NA,NA,NA,NA,NA,NA
34,NA,NA,NA,NA,NA,NA
35,NA,NA,NA,NA,NA,NA
36,NA,NA,NA,NA,NA,NA
37,NA,NA,NA,NA,NA,NA
38,NA,NA,NA,NA,NA,NA
39,NA,NA,NA,NA,NA,NA
40,NA,NA,NA,NA,NA,NA
41,NA,NA,NA,NA,NA,NA
