mos_into_deployment,pdf_resolution,statistic,plottype,value
0,23,mean,meas,0.2908314377698167
0,23,mean,ref,0.28105247603833866
0,23,sd,meas,0.147525519570347
0,23,sd,ref,0.15413854368307567
0,23,kurtosis,meas,5.452367146579742
0,23,kurtosis,ref,6.544532571336807
0,23,skewness,meas,1.3320549359265665
0,23,skewness,ref,1.6271669092929892
0,23,KL,NA,0.09180739003831578
0,23,hellinger,NA,0.14099164257056174
0,23,euclidean,NA,0.09099845840068968
1,NA,mean,meas,NA
1,NA,mean,ref,NA
1,NA,sd,meas,NA
1,NA,sd,ref,NA
1,NA,kurtosis,meas,NA
1,NA,kurtosis,ref,NA
1,NA,skewness,meas,NA
1,NA,skewness,ref,NA
1,NA,KL,NA,NA
1,NA,hellinger,NA,NA
1,NA,euclidean,NA,NA
2,NA,mean,meas,NA
2,NA,mean,ref,NA
2,NA,sd,meas,NA
2,NA,sd,ref,NA
2,NA,kurtosis,meas,NA
2,NA,kurtosis,ref,NA
2,NA,skewness,meas,NA
2,NA,skewness,ref,NA
2,NA,KL,NA,NA
2,NA,hellinger,NA,NA
2,NA,euclidean,NA,NA
3,10,mean,meas,0.13465264365309024
3,10,mean,ref,0.13573358757062146
3,10,sd,meas,0.05247005539399942
3,10,sd,ref,0.04850663701634947
3,10,kurtosis,meas,16.682043389368914
3,10,kurtosis,ref,22.90399497073992
3,10,skewness,meas,3.4833340615228465
3,10,skewness,ref,4.0428559550778225
3,10,KL,NA,0.043280550557286884
3,10,hellinger,NA,0.10784264115984035
3,10,euclidean,NA,0.07666577550539479
4,6,mean,meas,0.118933095218238
4,6,mean,ref,0.11208815468113975
4,6,sd,meas,0.03753543419874504
4,6,sd,ref,0.02649518417301361
4,6,kurtosis,meas,9.475719044042206
4,6,kurtosis,ref,13.190115098980195
4,6,skewness,meas,2.2359730455442155
4,6,skewness,ref,2.860713032292381
4,6,KL,NA,0.0828640361337607
4,6,hellinger,NA,0.1502871632293142
4,6,euclidean,NA,0.22170657065199428
5,8,mean,meas,0.08805847451305716
5,8,mean,ref,0.08452632538569425
5,8,sd,meas,0.02930181186185445
5,8,sd,ref,0.025272962602857548
5,8,kurtosis,meas,19.995726995546327
5,8,kurtosis,ref,35.21031571192064
5,8,skewness,meas,3.1667118207296516
5,8,skewness,ref,4.404391402118029
5,8,KL,NA,0.04336018152984419
5,8,hellinger,NA,0.10810513053148829
5,8,euclidean,NA,0.11533506966242071
6,7,mean,meas,0.07595012940383278
6,7,mean,ref,0.07167197037037037
6,7,sd,meas,0.013525471867033392
6,7,sd,ref,0.008235697833952942
6,7,kurtosis,meas,270.2082045897226
6,7,kurtosis,ref,4.6814658456420055
6,7,skewness,meas,12.989239861029056
6,7,skewness,ref,0.6795438188475633
6,7,KL,NA,0.0014569210564118128
6,7,hellinger,NA,0.026598839453704975
6,7,euclidean,NA,0.002910621185013455
7,8,mean,meas,0.1289810444230783
7,8,mean,ref,0.1254847972027972
7,8,sd,meas,0.04915286228229552
7,8,sd,ref,0.055181119993212485
7,8,kurtosis,meas,7.058444510742833
7,8,kurtosis,ref,5.355274218869188
7,8,skewness,meas,1.527582014417094
7,8,skewness,ref,1.2260006282948173
7,8,KL,NA,0.019708139013794264
7,8,hellinger,NA,0.0719410810960212
7,8,euclidean,NA,0.09711766528919394
8,34,mean,meas,0.17831647169957318
8,34,mean,ref,0.17979891944990176
8,34,sd,meas,0.1074222418751961
8,34,sd,ref,0.083091552389846
8,34,kurtosis,meas,90.0620733617819
8,34,kurtosis,ref,15.107242070768729
8,34,skewness,meas,7.198594537331546
8,34,skewness,ref,2.807992729748977
8,34,KL,NA,0.08302506433002889
8,34,hellinger,NA,0.13055277663054937
8,34,euclidean,NA,0.03948554501444893
9,18,mean,meas,0.17743925227447274
9,18,mean,ref,0.18455423913043478
9,18,sd,meas,0.10785368768554775
9,18,sd,ref,0.10508707709682301
9,18,kurtosis,meas,7.380822082919845
9,18,kurtosis,ref,9.486915777831452
9,18,skewness,meas,1.9780019991631212
9,18,skewness,ref,2.3340651726719797
9,18,KL,NA,0.09331375640997785
9,18,hellinger,NA,0.15976746502316155
9,18,euclidean,NA,0.16001790350752973
10,21,mean,meas,0.268602043441962
10,21,mean,ref,0.2553926461038961
10,21,sd,meas,0.1500524685650558
10,21,sd,ref,0.13400056096222135
10,21,kurtosis,meas,4.925143270845313
10,21,kurtosis,ref,8.644161434028327
10,21,skewness,meas,1.2319245043584683
10,21,skewness,ref,1.7903019224945809
10,21,KL,NA,0.07528969356261041
10,21,hellinger,NA,0.14055103262656457
10,21,euclidean,NA,0.0814880607217758
11,20,mean,meas,0.21181313767244817
11,20,mean,ref,0.20774387142857142
11,20,sd,meas,0.12208207005696783
11,20,sd,ref,0.11511586074040134
11,20,kurtosis,meas,8.578095443721672
11,20,kurtosis,ref,12.152177642771889
11,20,skewness,meas,2.07361957679264
11,20,skewness,ref,2.5714378318589577
11,20,KL,NA,0.07541076635251041
11,20,hellinger,NA,0.11757571409839568
11,20,euclidean,NA,0.05598389886922869
