mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.1475612598388682,0.1475612598388682
1,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA
3,1,0,0,0,0.052334188290413614,0.052334188290413614
4,1,0,0,0,0.038167866850858004,0.038167866850858004
5,1,0,0,0,0.03095360332561329,0.03095360332561329
6,1,0,0,0,0.009012450212068944,0.009012450212068944
7,1,0,0,0,0.04975901989917623,0.04975901989917623
8,1,0,0,0,0.12017329039042228,0.12017329039042228
9,1,0,0,0,0.10860302171299724,0.10860302171299724
10,1,0,0,0,0.14628695116991713,0.14628695116991713
11,1,0,0,0,0.12187715048571555,0.12187715048571555
12,0.08141461933173627,0.1804246423384993,0.01015160064330077,-0.0072857445773621965,0.1649941362010174,0.1475612598388682
13,NA,NA,NA,NA,0.15510539060505524,NA
14,NA,NA,NA,NA,0.1095232604420858,NA
15,0.003945247144845242,0.08052985332878045,0.015552843437733223,0.009244230677653495,0.06298294510790753,0.052334188290413614
16,0.18446930565372568,0.04063615070978273,0.008842990816146885,0.0111789645182883,0.04079772943285977,0.038167866850858004
17,NA,0.028242656352306494,0.028242656352306494,0.028242656352306494,NA,0.03095360332561329
18,0.07419628321961041,0.012040610478935902,-0.0037998241692269014,-0.0033539001892770037,0.011252019448995957,0.009012450212068944
19,0.06657687292404123,0.06547963890121718,-0.04695253232968455,-0.037520187947773,0.023712399225516816,0.04975901989917623
20,0.06409424878766092,0.07649305197603136,-0.056386940622739454,-0.0540811637857295,0.052230611052773004,0.12017329039042228
21,0.006260664138719686,0.16022986889719132,-0.0019357300693445994,0.004631964906445796,0.12628483020983225,0.10860302171299724
22,0.0934955065808451,0.1843816109530769,-0.042678678873807475,-0.04287270535321511,0.16396718690619402,0.14628695116991713
23,5.186618038496377e-4,0.17861237194128063,0.005784159585915327,0.006994014407202986,0.13100601382102556,0.12187715048571555
24,0.014879117490893799,0.2042669829643782,-0.09972987566632706,-0.08381019575241125,0.12452165626061211,0.1475612598388682
25,NA,NA,NA,NA,0.14190461503301108,NA
26,NA,NA,NA,NA,0.08114374767368925,NA
27,0.027111285149260558,0.061381308004165684,-0.0021843501082171005,-0.0012788257132392497,0.048778158206838514,0.052334188290413614
28,0.05912255347325367,0.045946253133499974,-0.016823283205843257,-0.009770277886681202,0.030320558600059597,0.038167866850858004
29,0.006085671595273369,0.03716794656761277,-0.0021098388916292892,0.001779460958344109,0.022577320616567177,0.03095360332561329
30,0.01214425048689416,0.014267499862847099,0.007894925780124245,0.00836992089296841,0.008817618897254282,0.009012450212068944
31,0.42019949587583716,0.045318098504488674,-0.021668192876959664,-0.017824719141822598,0.0404756858586572,0.04975901989917623
32,4.0498501145567014e-4,0.1528579027251477,-0.03324244512703478,-0.02456278212994996,0.06833682241539484,0.12017329039042228
33,0.001381003047892102,0.15753721891355496,-0.006306803265344781,-0.0046941058812658,0.12157831592161573,0.10860302171299724
34,0.14829640892458915,0.15538013147019153,-0.03739696570429602,-0.023937710562055153,0.1301605421617534,0.14628695116991713
35,2.064854099364592e-6,0.16302943562796396,0.01932193574888718,0.027275402063830112,0.12286161008539596,0.12187715048571555
36,0.028478245509570264,0.18362532045372004,-0.08241152801125845,-0.0724752700709149,0.12169800972864461,0.1475612598388682
37,NA,NA,NA,NA,0.06752203913507185,NA
38,NA,NA,NA,NA,NA,NA
39,NA,NA,NA,NA,NA,0.052334188290413614
40,0.062051341110543036,0.12394900358532022,0.07389346929931598,0.05598665100032705,0.09829372126320818,0.038167866850858004
41,NA,0.0514795301364394,0.0514795301364394,0.0514795301364394,NA,0.03095360332561329
