mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.147525519570347,0.147525519570347
1,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA
3,1,0,0,0,0.05247005539399942,0.05247005539399942
4,1,0,0,0,0.03753543419874504,0.03753543419874504
5,1,0,0,0,0.02930181186185445,0.02930181186185445
6,1,0,0,0,0.013525471867033392,0.013525471867033392
7,1,0,0,0,0.04915286228229552,0.04915286228229552
8,1,0,0,0,0.1074222418751961,0.1074222418751961
9,1,0,0,0,0.10785368768554775,0.10785368768554775
10,1,0,0,0,0.1500524685650558,0.1500524685650558
11,1,0,0,0,0.12208207005696783,0.12208207005696783
12,0.07826581687832118,0.18704312251463198,-0.011597892473180958,-0.01834480930335649,0.1654783076769888,0.147525519570347
13,NA,NA,NA,NA,0.15100249397481738,NA
14,NA,NA,NA,NA,0.10522114483197428,NA
15,0.005843495142711753,0.09126893759067457,0.01887731695944674,0.009883449954590041,0.07669349460569974,0.05247005539399942
16,0.06442939204682421,0.04888978686392299,0.012893286909439335,0.01278205061405465,0.03967447204049456,0.03753543419874504
17,NA,0.028242656352306494,0.028242656352306494,0.028242656352306494,NA,0.02930181186185445
18,0.01951311972672674,0.015499134931785024,-8.609771194253376e-4,-8.466263641504906e-4,0.01000485975072728,0.013525471867033392
19,0.003995465104125114,0.07177314983992819,-0.048339912994816873,-0.037212293136590996,0.023406573842933473,0.04915286228229552
20,0.025542444979280675,0.13229924425519088,-0.05256447533470581,-0.05040527444116295,0.06100248906637289,0.1074222418751961
21,0.019777040105566857,0.15489589639600665,0.006195079812863978,0.010268179493505003,0.12367579764295626,0.10785368768554775
22,0.11453218034558665,0.1829767821820004,-0.029107760732215295,-0.032690545208949554,0.16366063201964987,0.1500524685650558
23,0.0030843755090957095,0.18590679237997004,0.023861300096280777,0.0185696859213116,0.13186785387386965,0.12208207005696783
24,0.005174455710553967,0.28099126325268176,-0.09504333598548208,-0.0868525664301906,0.2199074324096279,0.147525519570347
25,NA,NA,NA,NA,0.14133961497514871,NA
26,NA,NA,NA,NA,0.07989502052550923,NA
27,0.023869085378220318,0.06583758688232702,-0.004188377476699344,-0.0023868735616446868,0.04867208855442172,0.05247005539399942
28,0.04694578089137706,0.045011819125682966,-0.015059684913360233,-0.008217475180208808,0.029555325324308275,0.03753543419874504
29,0.005430082284287926,0.03548454332111762,7.400805565827132e-4,0.0045354566197473994,0.022319126164241244,0.02930181186185445
30,0.021101305414672176,0.016995912756965242,0.007800454243331362,0.008557574614142152,0.008994285141924073,0.013525471867033392
31,0.2763414835800689,0.04890832860816251,-0.014990237434659178,-0.016092388471692844,0.04634898998989246,0.04915286228229552
32,0.0037015564875246283,0.12947881304112818,-0.02646436959388514,-0.02003047867564231,0.06704003390844866,0.1074222418751961
33,0.0024580090937458073,0.15913683100863577,0.014693526893927267,0.010050440786212103,0.12164521386505694,0.10785368768554775
34,0.08400570274107583,0.16862904833686077,-0.025836799248189053,-0.020526201857138764,0.12987481622084351,0.1500524685650558
35,0.0034450097381890994,0.17178358461909643,0.03652499901724201,0.042245189528947555,0.12280368850707653,0.12208207005696783
36,0.027954331020231104,0.18206239916581182,-0.07980121907466489,-0.07142138420868269,0.12153481052506014,0.147525519570347
37,NA,NA,NA,NA,0.06716710936641758,NA
38,NA,NA,NA,NA,NA,NA
39,NA,NA,NA,NA,NA,0.05247005539399942
40,0.019593004968183288,0.10600927393074717,0.06559116071977905,0.05295020380127778,0.08223992062164781,0.03753543419874504
41,NA,0.0514795301364394,0.0514795301364394,0.0514795301364394,NA,0.02930181186185445
