mos_into_deployment,pdf_resolution,statistic,plottype,value
0,21,mean,meas,0.2929312283128676
0,21,mean,ref,0.2929312283128676
0,21,sd,meas,0.1475612598388682
0,21,sd,ref,0.1475612598388682
0,21,kurtosis,meas,5.519524745945819
0,21,kurtosis,ref,5.519524745945819
0,21,skewness,meas,1.3728531171246305
0,21,skewness,ref,1.3728531171246305
0,21,KL,NA,0
0,21,hellinger,NA,0
0,21,euclidean,NA,0
1,0,mean,meas,NA
1,0,mean,ref,NA
1,0,sd,meas,NA
1,0,sd,ref,NA
1,0,kurtosis,meas,NA
1,0,kurtosis,ref,NA
1,0,skewness,meas,NA
1,0,skewness,ref,NA
1,0,KL,NA,NA
1,0,hellinger,NA,NA
1,0,euclidean,NA,NA
2,0,mean,meas,NA
2,0,mean,ref,NA
2,0,sd,meas,NA
2,0,sd,ref,NA
2,0,kurtosis,meas,NA
2,0,kurtosis,ref,NA
2,0,skewness,meas,NA
2,0,skewness,ref,NA
2,0,KL,NA,NA
2,0,hellinger,NA,NA
2,0,euclidean,NA,NA
3,9,mean,meas,0.13427744735392527
3,9,mean,ref,0.13427744735392527
3,9,sd,meas,0.052334188290413614
3,9,sd,ref,0.052334188290413614
3,9,kurtosis,meas,17.303793727693165
3,9,kurtosis,ref,17.303793727693165
3,9,skewness,meas,3.5681086178989077
3,9,skewness,ref,3.5681086178989077
3,9,KL,NA,0
3,9,hellinger,NA,0
3,9,euclidean,NA,0
4,6,mean,meas,0.12164541349914165
4,6,mean,ref,0.12164541349914165
4,6,sd,meas,0.038167866850858004
4,6,sd,ref,0.038167866850858004
4,6,kurtosis,meas,9.034592459540727
4,6,kurtosis,ref,9.034592459540727
4,6,skewness,meas,2.1780194944778026
4,6,skewness,ref,2.1780194944778026
4,6,KL,NA,0
4,6,hellinger,NA,0
4,6,euclidean,NA,0
5,7,mean,meas,0.09053433343390552
5,7,mean,ref,0.09053433343390552
5,7,sd,meas,0.03095360332561329
5,7,sd,ref,0.03095360332561329
5,7,kurtosis,meas,18.033747274050494
5,7,kurtosis,ref,18.033747274050494
5,7,skewness,meas,2.9741812296773014
5,7,skewness,ref,2.9741812296773014
5,7,KL,NA,0
5,7,hellinger,NA,0
5,7,euclidean,NA,0
6,2,mean,meas,0.07767664451399309
6,2,mean,ref,0.07767664451399309
6,2,sd,meas,0.009012450212068944
6,2,sd,ref,0.009012450212068944
6,2,kurtosis,meas,10.01644795158293
6,2,kurtosis,ref,10.01644795158293
6,2,skewness,meas,1.1402282558565697
6,2,skewness,ref,1.1402282558565697
6,2,KL,NA,0
6,2,hellinger,NA,0
6,2,euclidean,NA,0
7,8,mean,meas,0.13442504515780224
7,8,mean,ref,0.13442504515780224
7,8,sd,meas,0.04975901989917623
7,8,sd,ref,0.04975901989917623
7,8,kurtosis,meas,6.9260367442867725
7,8,kurtosis,ref,6.9260367442867725
7,8,skewness,meas,1.3915802196732723
7,8,skewness,ref,1.3915802196732723
7,8,KL,NA,0
7,8,hellinger,NA,0
7,8,euclidean,NA,0
8,34,mean,meas,0.18513721274027015
8,34,mean,ref,0.18513721274027015
8,34,sd,meas,0.12017329039042228
8,34,sd,ref,0.12017329039042228
8,34,kurtosis,meas,80.79839838933212
8,34,kurtosis,ref,80.79839838933212
8,34,skewness,meas,7.118180227414468
8,34,skewness,ref,7.118180227414468
8,34,KL,NA,0
8,34,hellinger,NA,0
8,34,euclidean,NA,0
9,14,mean,meas,0.17645382036112972
9,14,mean,ref,0.17645382036112972
9,14,sd,meas,0.10860302171299724
9,14,sd,ref,0.10860302171299724
9,14,kurtosis,meas,8.34542256319634
9,14,kurtosis,ref,8.34542256319634
9,14,skewness,meas,2.2029335178467893
9,14,skewness,ref,2.2029335178467893
9,14,KL,NA,0
9,14,hellinger,NA,0
9,14,euclidean,NA,0
10,19,mean,meas,0.26101789555012983
10,19,mean,ref,0.26101789555012983
10,19,sd,meas,0.14628695116991713
10,19,sd,ref,0.14628695116991713
10,19,kurtosis,meas,6.007105743807987
10,19,kurtosis,ref,6.007105743807987
10,19,skewness,meas,1.461456881193142
10,19,skewness,ref,1.461456881193142
10,19,KL,NA,0
10,19,hellinger,NA,0
10,19,euclidean,NA,0
11,19,mean,meas,0.2110126445135457
11,19,mean,ref,0.2110126445135457
11,19,sd,meas,0.12187715048571555
11,19,sd,ref,0.12187715048571555
11,19,kurtosis,meas,10.552962337300922
11,19,kurtosis,ref,10.552962337300922
11,19,skewness,meas,2.3864303475675297
11,19,skewness,ref,2.3864303475675297
11,19,KL,NA,0
11,19,hellinger,NA,0
11,19,euclidean,NA,0
12,25,mean,meas,0.28968797279539965
12,25,mean,ref,0.2929312283128676
12,25,sd,meas,0.1649941362010174
12,25,sd,ref,0.1475612598388682
12,25,kurtosis,meas,7.1477878487012205
12,25,kurtosis,ref,5.519524745945819
12,25,skewness,meas,1.6295176305981072
12,25,skewness,ref,1.3728531171246305
12,25,KL,NA,0.08322894477526724
12,25,hellinger,NA,0.14232844253672194
12,25,euclidean,NA,0.051717151794663956
13,0,mean,meas,0.251363867140987
13,0,mean,ref,NA
13,0,sd,meas,0.15510539060505524
13,0,sd,ref,NA
13,0,kurtosis,meas,6.706748521053733
13,0,kurtosis,ref,NA
13,0,skewness,meas,1.6562625546150802
13,0,skewness,ref,NA
13,0,KL,NA,NA
