mos_into_deployment,pdf_resolution,statistic,plottype,value
0,89,mean,meas,0.3227921807580446
0,89,mean,ref,0.2311008988764045
0,89,sd,meas,0.04040023679584996
0,89,sd,ref,0.13555482146316344
0,89,kurtosis,meas,3.8525286019545106
0,89,kurtosis,ref,9.682485523336288
0,89,skewness,meas,-1.1968646448349773
0,89,skewness,ref,2.350557818596326
0,89,KL,NA,1.6377746398269983
0,89,hellinger,NA,1.353216594032473
0,89,euclidean,NA,0.29242675866598644
1,82,mean,meas,0.3046254823973077
1,82,mean,ref,0.21984134146341464
1,82,sd,meas,0.053990893276273134
1,82,sd,ref,0.12165988011272433
1,82,kurtosis,meas,3.010664149896975
1,82,kurtosis,ref,4.97483587354919
1,82,skewness,meas,-0.5933965053073647
1,82,skewness,ref,1.7029312493886999
1,82,KL,NA,1.215385505883529
1,82,hellinger,NA,1.1708135088553073
1,82,euclidean,NA,0.20513207465992442
2,139,mean,meas,0.30524101263569947
2,139,mean,ref,0.17138136690647482
2,139,sd,meas,0.07030890268026606
2,139,sd,ref,0.07067583713946658
2,139,kurtosis,meas,2.9281396320601036
2,139,kurtosis,ref,9.12086597957415
2,139,skewness,meas,-0.8075268319861012
2,139,skewness,ref,2.488359347179762
2,139,KL,NA,2.081065431659339
2,139,hellinger,NA,1.269940478635277
2,139,euclidean,NA,0.18372831175743196
3,117,mean,meas,0.22379509095225789
3,117,mean,ref,0.13504068376068376
3,117,sd,meas,0.05743552644952944
3,117,sd,ref,0.045692931576778534
3,117,kurtosis,meas,2.003106164491642
3,117,kurtosis,ref,15.600499166696133
3,117,skewness,meas,-0.583769823293641
3,117,skewness,ref,3.5593755358211925
3,117,KL,NA,3.1304818064939917
3,117,hellinger,NA,1.364491647542094
3,117,euclidean,NA,0.2434475027033189
4,59,mean,meas,0.15556228010987394
4,59,mean,ref,0.11422084745762712
4,59,sd,meas,0.035551340824755244
4,59,sd,ref,0.01995591661362922
4,59,kurtosis,meas,3.5937488888311115
4,59,kurtosis,ref,3.0244876336242306
4,59,skewness,meas,-0.01763962452841259
4,59,skewness,ref,0.9760775757326344
4,59,KL,NA,1.7533813367415576
4,59,hellinger,NA,1.0609187593023734
4,59,euclidean,NA,0.2170103166947206
6,87,mean,meas,0.08959268989176782
6,87,mean,ref,0.07501678160919541
6,87,sd,meas,0.013438473137307061
6,87,sd,ref,0.00870716525229771
6,87,kurtosis,meas,3.601700560234623
6,87,kurtosis,ref,2.551633704852057
6,87,skewness,meas,0.37874015762118146
6,87,skewness,ref,0.7357552165808866
6,87,KL,NA,1.1956403291144144
6,87,hellinger,NA,0.9143512194436617
6,87,euclidean,NA,0.1529004027623546
7,109,mean,meas,0.13942716958239246
7,109,mean,ref,0.13047990825688074
7,109,sd,meas,0.043500671082367486
7,109,sd,ref,0.05153136366969316
7,109,kurtosis,meas,4.2929015476932975
7,109,kurtosis,ref,2.80734810535681
7,109,skewness,meas,0.9977853660010947
7,109,skewness,ref,0.7431451722902181
7,109,KL,NA,0.14567264654192374
7,109,hellinger,NA,0.40436672908796095
7,109,euclidean,NA,0.056735366092015134
8,125,mean,meas,0.1798496946277088
8,125,mean,ref,0.20036224
8,125,sd,meas,0.04822842762432561
8,125,sd,ref,0.08868513962385821
8,125,kurtosis,meas,7.4691692940337475
8,125,kurtosis,ref,9.655145490857024
8,125,skewness,meas,1.2727242057644328
8,125,skewness,ref,2.3658101913266654
8,125,KL,NA,0.10330350677507294
8,125,hellinger,NA,0.37011219544669577
8,125,euclidean,NA,0.04985235447521057
9,248,mean,meas,0.20472964627312587
9,248,mean,ref,0.18209395161290323
9,248,sd,meas,0.08939920620038662
9,248,sd,ref,0.11785735513072829
9,248,kurtosis,meas,5.911313160129656
9,248,kurtosis,ref,11.458170804103554
9,248,skewness,meas,1.3683767377849512
9,248,skewness,ref,2.808776780547214
9,248,KL,NA,0.5780272550982326
9,248,hellinger,NA,0.7367521348050187
9,248,euclidean,NA,0.12622423889647452
10,279,mean,meas,0.3016825283976761
10,279,mean,ref,0.2611848745519713
10,279,sd,meas,0.11282730011558013
10,279,sd,ref,0.1441494381986548
10,279,kurtosis,meas,4.34797499653243
10,279,kurtosis,ref,10.839283980356944
10,279,skewness,meas,0.8330087551333412
10,279,skewness,ref,2.2248063093455115
