mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.04040023679584996,0.04040023679584996
1,1,0,0,0,0.053990893276273134,0.053990893276273134
2,1,0,0,0,0.07030890268026606,0.07030890268026606
3,1,0,0,0,0.05743552644952944,0.05743552644952944
4,1,0,0,0,0.035551340824755244,0.035551340824755244
5,NA,NA,NA,NA,NA,NA
6,1,0,0,0,0.013438473137307061,0.013438473137307061
7,1,0,0,0,0.043500671082367486,0.043500671082367486
8,1,0,0,0,0.04822842762432561,0.04822842762432561
9,1,0,0,0,0.08939920620038662,0.08939920620038662
10,1,0,0,0,0.11282730011558013,0.11282730011558013
11,1,0,0,0,0.09786073184325951,0.09786073184325951
12,0.11106309672128212,0.10747776345984764,0.0016389730269666478,-0.007329681392580251,0.10747918247595017,0.04040023679584996
13,0.056089866400352316,0.09308704500534343,0.008623366188187593,0.00639614885296691,0.10706246297054561,0.053990893276273134
14,0.1429563868874616,0.11899153308595192,-0.09098909144690534,-0.08810245669713734,0.07902522806351393,0.07030890268026606
15,0.14689048671333368,0.07245597578469319,-0.029854111720395135,-0.0359661134020709,0.05600244938530219,0.05743552644952944
16,0.00874136473069571,0.05562819660387367,-0.004689828779090777,-0.010602042503798939,0.044269852278071974,0.035551340824755244
17,NA,NA,NA,NA,0.04340511254619508,NA
18,0.0279832309871119,0.023991293711152984,3.115279961711207e-4,-5.659892397561067e-4,0.022088731289486782,0.013438473137307061
19,0.018720966334289775,0.06125616410501222,-0.040217773352880466,-0.027416590035833,0.02176047890512865,0.043500671082367486
20,0.19555254668647878,0.0704714219151147,-0.04962200955029989,-0.04750426122934309,0.048403904936928,0.04822842762432561
21,0.005393179638825535,0.12145996292158977,-0.04428974475539807,-0.03266866474671361,0.07142412687682068,0.08939920620038662
22,0.13929916645401094,0.12033062111409769,-0.020747833261602677,-0.01603936983278645,0.09497682353499715,0.11282730011558013
23,0.008397280034397908,0.12376995131098856,0.005515933202574404,0.009778517928761984,0.08858222153293148,0.09786073184325951
24,0.21144947875450285,0.1394162993566584,-0.12473928709959874,-0.12295093807713539,0.060813332095032334,0.04040023679584996
25,NA,NA,NA,NA,NA,0.053990893276273134
26,NA,NA,NA,NA,NA,0.07030890268026606
27,NA,NA,NA,NA,NA,0.05743552644952944
28,NA,NA,NA,NA,NA,0.035551340824755244
29,NA,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,NA,0.013438473137307061
31,NA,NA,NA,NA,NA,0.043500671082367486
32,0.12637490800925372,0.06372207939932532,2.980118414084085e-4,0.0026872013689692997,0.0666813574171478,0.04822842762432561
33,0.03288275011258152,0.14156802307214697,0.0869904473540281,0.07561906427206871,0.08894095690684237,0.08939920620038662
34,0.1319844569642454,0.11530058229599695,-0.028797821014718707,-0.034897895474716806,0.08008313643851162,0.11282730011558013
35,0.13992935682035978,0.08846235673077611,0.019619208601829214,0.02275065919520941,0.0763576781185815,0.09786073184325951
36,0.041111508496901615,0.1331175866806719,-0.08813403545334898,-0.10469292921522819,0.0795282338996578,0.04040023679584996
37,0.008979627652592586,0.12518388082451568,-0.08256633342441708,-0.0839609340831174,0.07874382033066692,0.053990893276273134
38,0.006628662721436209,0.16020999768577515,-0.1391673853788995,-0.1521470983160048,0.047416997066271845,0.07030890268026606
39,0.03495479140144832,0.09666414767018673,-0.07506530225893687,-0.08374588232283516,0.10218137743436112,0.05743552644952944
40,0.1287525290071669,0.042404245178504496,-0.0240145428030341,-0.027542054189404752,0.02740076948060325,0.035551340824755244
41,NA,NA,NA,NA,NA,NA
