mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.057144343269784965,0.057144343269784965
1,1,0,0,0,0.09182414307204477,0.09182414307204477
2,1,0,0,0,0.11337126562904247,0.11337126562904247
3,1,0,0,0,0.07508644720870271,0.07508644720870271
4,1,0,0,0,0.05784811410580774,0.05784811410580774
5,NA,NA,NA,NA,NA,NA
6,1,0,0,0,0.013996309253328064,0.013996309253328064
7,1,0,0,0,0.052967018832347584,0.052967018832347584
8,1,0,0,0,0.058716537664911535,0.058716537664911535
9,1,0,0,0,0.10101688353926021,0.10101688353926021
10,1,0,0,0,0.12995862749310516,0.12995862749310516
11,1,0,0,0,0.10360280836864261,0.10360280836864261
12,0.1153960183910703,0.10921265488313549,-0.017462679063887973,-0.027629196038589945,0.11144256463688833,0.057144343269784965
13,0.33246076122095614,0.11547604489450428,-0.0023681468717565183,0.0013300741644561576,0.142948926935747,0.09182414307204477
14,0.23271148838713288,0.13079772091398467,-0.07847084156962475,-0.0824269930015487,0.08858846542507871,0.11337126562904247
15,0.27056453519244483,0.0830665847078144,-0.029529577718805114,-0.0355562164414291,0.0715559646954806,0.07508644720870271
16,0.055792762117945656,0.06792695509401472,0.00864261792953451,-0.002646550719840199,0.05162752171156606,0.05784811410580774
17,NA,NA,NA,NA,0.0466347657425074,NA
18,0.05830746569604057,0.022647674736500575,-0.0012997431676481917,-9.176354101755047e-4,0.021470623575968396,0.013996309253328064
19,0.029023381923146848,0.07165833840735157,-0.044762630038045086,-0.03159665168398225,0.02930557785834388,0.052967018832347584
20,0.3102287159818998,0.08515372523955299,-0.05609354182682386,-0.04957269085976926,0.07407153820201941,0.058716537664911535
21,0.045283302207582435,0.11913476950274987,-0.03131075273483411,-0.020265908616744294,0.07921212949936512,0.10101688353926021
22,0.22368909824378863,0.12842193229991838,-0.02775844389279896,-0.024983980315595067,0.11611597297526897,0.12995862749310516
23,0.009986851232581912,0.1368540314805368,0.008246657057947075,0.008785077153231138,0.10012978235663285,0.10360280836864261
24,0.25984026400485977,0.13808952463756946,-0.12367205849562186,-0.12295093807713539,0.06166461510851324,0.057144343269784965
25,NA,NA,NA,NA,NA,0.09182414307204477
26,NA,NA,NA,NA,NA,0.11337126562904247
27,NA,NA,NA,NA,NA,0.07508644720870271
28,NA,NA,NA,NA,NA,0.05784811410580774
29,NA,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,NA,0.013996309253328064
31,NA,NA,NA,NA,NA,0.052967018832347584
32,0.10019262312331957,0.07249304057311813,-0.007870857123332688,-0.0073943290084101665,0.06439297626485832,0.058716537664911535
33,0.10422948520495944,0.11983366797833869,3.6973133101889647e-4,0.005588467806186298,0.1049287887866078,0.10101688353926021
34,0.21457375620888317,0.13088652714986218,-0.03662639125026043,-0.03838888393813969,0.110662382756424,0.12995862749310516
35,0.006838607232749567,0.13265737491520227,-0.015213942369244086,-0.015739844913104054,0.09060257292615388,0.10360280836864261
36,0.028648834166092065,0.13284270549112373,-0.09628517745264269,-0.11008232651531807,0.08877252930741149,0.057144343269784965
37,0.11714480423523228,0.1284128028212743,-0.07450571346900589,-0.08223352005412332,0.08710058753708493,0.09182414307204477
38,0.13952274492805394,0.15529238480553834,-0.11363415486964554,-0.13872233619424923,0.0575757162719679,0.11337126562904247
39,0.22973066036975376,0.09706203651296592,-0.06804458466316098,-0.07963460460976306,0.09932231774778179,0.07508644720870271
40,0.39819208943258805,0.04958806463008862,-0.014576754715976753,-0.02148500893768595,0.04163100375280132,0.05784811410580774
41,NA,NA,NA,NA,NA,NA
