mos_into_deployment,pdf_resolution,statistic,plottype,value
0,128,mean,meas,0.3227921807580446
0,128,mean,ref,0.3227921807580446
0,128,sd,meas,0.04040023679584996
0,128,sd,ref,0.04040023679584996
0,128,kurtosis,meas,3.8525286019545106
0,128,kurtosis,ref,3.8525286019545106
0,128,skewness,meas,-1.1968646448349773
0,128,skewness,ref,-1.1968646448349773
0,128,KL,NA,0
0,128,hellinger,NA,0
0,128,euclidean,NA,0
1,128,mean,meas,0.3046254823973077
1,128,mean,ref,0.3046254823973077
1,128,sd,meas,0.053990893276273134
1,128,sd,ref,0.053990893276273134
1,128,kurtosis,meas,3.010664149896975
1,128,kurtosis,ref,3.010664149896975
1,128,skewness,meas,-0.5933965053073647
1,128,skewness,ref,-0.5933965053073647
1,128,KL,NA,0
1,128,hellinger,NA,2.1073424255447017e-8
1,128,euclidean,NA,0
2,128,mean,meas,0.30524101263569947
2,128,mean,ref,0.30524101263569947
2,128,sd,meas,0.07030890268026606
2,128,sd,ref,0.07030890268026606
2,128,kurtosis,meas,2.9281396320601036
2,128,kurtosis,ref,2.9281396320601036
2,128,skewness,meas,-0.8075268319861012
2,128,skewness,ref,-0.8075268319861012
2,128,KL,NA,0
2,128,hellinger,NA,NA
2,128,euclidean,NA,0
3,128,mean,meas,0.22379509095225789
3,128,mean,ref,0.22379509095225789
3,128,sd,meas,0.05743552644952944
3,128,sd,ref,0.05743552644952944
3,128,kurtosis,meas,2.003106164491642
3,128,kurtosis,ref,2.003106164491642
3,128,skewness,meas,-0.583769823293641
3,128,skewness,ref,-0.583769823293641
3,128,KL,NA,0
3,128,hellinger,NA,0
3,128,euclidean,NA,0
4,128,mean,meas,0.15556228010987394
4,128,mean,ref,0.15556228010987394
4,128,sd,meas,0.035551340824755244
4,128,sd,ref,0.035551340824755244
4,128,kurtosis,meas,3.5937488888311115
4,128,kurtosis,ref,3.5937488888311115
4,128,skewness,meas,-0.01763962452841259
4,128,skewness,ref,-0.01763962452841259
4,128,KL,NA,0
4,128,hellinger,NA,0
4,128,euclidean,NA,0
6,128,mean,meas,0.08959268989176782
6,128,mean,ref,0.08959268989176782
6,128,sd,meas,0.013438473137307061
6,128,sd,ref,0.013438473137307061
6,128,kurtosis,meas,3.601700560234623
6,128,kurtosis,ref,3.601700560234623
6,128,skewness,meas,0.37874015762118146
6,128,skewness,ref,0.37874015762118146
6,128,KL,NA,0
6,128,hellinger,NA,2.1073424255447017e-8
6,128,euclidean,NA,0
7,128,mean,meas,0.13942716958239246
7,128,mean,ref,0.13942716958239246
7,128,sd,meas,0.043500671082367486
7,128,sd,ref,0.043500671082367486
7,128,kurtosis,meas,4.2929015476932975
7,128,kurtosis,ref,4.2929015476932975
7,128,skewness,meas,0.9977853660010947
7,128,skewness,ref,0.9977853660010947
7,128,KL,NA,0
7,128,hellinger,NA,5.1619136559035694e-8
7,128,euclidean,NA,0
8,128,mean,meas,0.1798496946277088
8,128,mean,ref,0.1798496946277088
8,128,sd,meas,0.04822842762432561
8,128,sd,ref,0.04822842762432561
8,128,kurtosis,meas,7.4691692940337475
8,128,kurtosis,ref,7.4691692940337475
8,128,skewness,meas,1.2727242057644328
8,128,skewness,ref,1.2727242057644328
8,128,KL,NA,0
8,128,hellinger,NA,0.05990258977202715
8,128,euclidean,NA,0
9,128,mean,meas,0.20472964627312587
9,128,mean,ref,0.20472964627312587
9,128,sd,meas,0.08939920620038662
9,128,sd,ref,0.08939920620038662
9,128,kurtosis,meas,5.911313160129656
9,128,kurtosis,ref,5.911313160129656
9,128,skewness,meas,1.3683767377849512
9,128,skewness,ref,1.3683767377849512
9,128,KL,NA,0
9,128,hellinger,NA,0.04484557037250601
9,128,euclidean,NA,0
10,128,mean,meas,0.3016825283976761
10,128,mean,ref,0.3016825283976761
10,128,sd,meas,0.11282730011558013
10,128,sd,ref,0.11282730011558013
10,128,kurtosis,meas,4.34797499653243
10,128,kurtosis,ref,4.34797499653243
10,128,skewness,meas,0.8330087551333412
10,128,skewness,ref,0.8330087551333412
10,128,KL,NA,0
10,128,hellinger,NA,0.051358653483222286
10,128,euclidean,NA,0
11,128,mean,meas,0.25456686485004604
11,128,mean,ref,0.25456686485004604
11,128,sd,meas,0.09786073184325951
11,128,sd,ref,0.09786073184325951
11,128,kurtosis,meas,3.3933499091310373
11,128,kurtosis,ref,3.3933499091310373
11,128,skewness,meas,0.7604644197010993
