mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,0.6292612733447775,0.06755828664793503,-0.049781172714536484,-0.05081360228588172,0.12529637710563873,0.0738951527462904
1,0.6110510946365073,0.03884673126666934,-0.01836240586519725,-0.02204844626686729,0.04776477236253276,0.04778434668983287
2,0.5809712092122913,0.03470501865127152,-0.0014006994797781285,0.0010486382335311434,0.05138768291933476,0.04631129718120247
3,0.9536470390066514,0.04112302869909767,-0.016974505512033895,-0.010964435501717953,0.131634167461843,0.1917564362464285
4,0.555938477926919,0.037602765118564856,0.02266418812367596,0.029074983397267065,0.05041846588460538,0.0667725389684844
5,0.5705457341104762,0.035157171439926686,-0.0028468020258268826,-0.0032300220840671967,0.05451965893327085,0.05361149172046145
6,0.7274555688100833,0.026910409571421046,-0.012084267408837413,-0.012461048616063453,0.068143632081566,0.06291302757202535
7,0.8054756687855228,0.03903921179737294,-0.01988253635150694,-0.019094953143279955,0.09304959515128261,0.07856864067256247
8,0.23607284840947076,0.12048068050213223,-0.0475790663282993,-0.04667551724121569,0.11478409515230145,0.09740857084561637
9,0.8317966891669827,0.07496430319096914,-0.059239683030860246,-0.052319956717892,0.12410943337637606,0.11189968589289205
10,0.6758351271909878,0.07432077398578987,-0.06816483443501314,-0.0672760200884679,0.0690477295581023,0.05085842289027089
11,0.4282118135486435,0.0781352334419408,-0.06908663643199632,-0.0644827589697948,0.33214177710299714,0.05221105137901046
12,0.7711359808509463,0.05855088301747887,-0.04872001038216903,-0.047132104193300745,0.057555430737362925,0.06632628756105814
13,0.8620268334093611,0.05272806086940455,-0.039813580972567555,-0.0432793470889442,0.05464125010135242,0.09018729082302797
14,NA,NA,NA,NA,0.05027558121396822,NA
15,NA,NA,NA,NA,0.16315387231162934,NA
16,NA,NA,NA,NA,0.08866640880335719,NA
17,NA,NA,NA,NA,0.0519116822814479,NA
18,NA,NA,NA,NA,0.044277573573094114,NA
19,NA,NA,NA,NA,0.07604242898541037,NA
20,NA,NA,NA,NA,0.08767011790576168,NA
21,NA,NA,NA,NA,0.09508402589843515,NA
22,NA,NA,NA,NA,0.09180258338221617,NA
23,NA,NA,NA,NA,0.044628332615248255,NA
24,NA,NA,NA,NA,0.04412533045456212,NA
25,NA,NA,NA,NA,0.052955427564666965,NA
26,NA,NA,NA,NA,0.04286351463474375,NA
27,NA,NA,NA,NA,0.05021670606770323,NA
