mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,residual_kurtosis,residual_skewness
0,0.2519296237784726,0.1102925667652355,-0.048420968966440145,-0.05017236037829609,371.35322900917697,16.74556790255439
1,0.5679101975969943,0.03731035139781601,-0.0194648664269287,-0.021910984358269513,9.624581510553448,0.6691034980955829
2,0.541734295954569,0.035492146898418175,-0.0051270496183971285,-0.004134896872417609,6.487901442494852,-0.5753366400389566
3,0.9480390591652871,0.054006950992357236,-0.01925680344271691,-0.007551996798512997,15.538350709378516,-2.3272441178581458
4,0.5616669961539515,0.046500346282820855,0.016272505594879617,0.02155343728150591,31.9720522218931,-3.1192029795864866
5,0.33006344417616956,0.06090351033692988,-0.0016084884473249173,-0.0031813231932898145,128.2544850696209,8.137379697867647
6,0.7565512444009014,0.04503138990240964,-0.016283976228140394,-0.01730983790818147,9.116673736735963,-1.0301855722614819
7,0.7475233430828064,0.05915996643301945,-0.025636895193964147,-0.020836935572343188,21.159404391648142,-1.6185243385543124
8,0.4343350489653145,0.11210159093775408,-0.05665166899297593,-0.049154642689429644,207.59017320272207,10.180092533386997
9,0.8101908473297242,0.1193142566268405,-0.08125125720918619,-0.05782282552390525,12.071972995271738,-2.4734146834072357
10,0.8047384018643902,0.09067107708066474,-0.0757435169134617,-0.06965673628627511,30.439337214904175,-3.8709662655582124
11,0.042960926426178575,0.335026961454193,-0.06241954415828948,-0.06473733444825054,566.1413672129514,23.310544163367016
12,0.7802231643082369,0.06794953196589025,-0.0570956946414371,-0.05375502020876999,24.916731209502913,-3.519994574173356
13,0.8063744733256188,0.0562297021187498,-0.04260708648079281,-0.044855126118697006,11.4950359430718,-0.19076424145649157
14,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,NA,NA
19,NA,NA,NA,NA,NA,NA
20,NA,NA,NA,NA,NA,NA
21,NA,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,NA,NA
23,NA,NA,NA,NA,NA,NA
24,NA,NA,NA,NA,NA,NA
25,NA,NA,NA,NA,NA,NA
26,NA,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,NA
