mos_into_deployment,pdf_resolution,statistic,plottype,value
0,47,mean,meas,0.15135702740767093
0,47,mean,ref,0.18715625
0,47,sd,meas,0.12529637710563873
0,47,sd,ref,0.0738951527462904
0,47,kurtosis,meas,177.81034745911148
0,47,kurtosis,ref,19.63863487536581
0,47,skewness,meas,11.381043868048673
0,47,skewness,ref,3.5148282066047547
0,47,KL,NA,0.6156139314933587
0,47,hellinger,NA,0.44182789182123716
0,47,euclidean,NA,0.49973811094520243
1,8,mean,meas,0.15339727828855362
1,8,mean,ref,0.17511797752808989
1,8,sd,meas,0.04776477236253276
1,8,sd,ref,0.04778434668983287
1,8,kurtosis,meas,8.20066949374772
1,8,kurtosis,ref,9.799245613293303
1,8,skewness,meas,1.9304669444681013
1,8,skewness,ref,2.3108235564389035
1,8,KL,NA,0.1975741146736563
1,8,hellinger,NA,0.25017554918895807
1,8,euclidean,NA,0.3286425004958312
2,7,mean,meas,0.16289196746555573
2,7,mean,ref,0.16490184049079754
2,7,sd,meas,0.05138768291933476
2,7,sd,ref,0.04631129718120247
2,7,kurtosis,meas,4.296681042350608
2,7,kurtosis,ref,5.380536510781097
2,7,skewness,meas,1.0239578819277335
2,7,skewness,ref,1.5078063592292434
2,7,KL,NA,0.06410379967176169
2,7,hellinger,NA,0.17003611653162626
2,7,euclidean,NA,0.10298163544889963
3,15,mean,meas,0.24930252026695912
3,15,mean,ref,0.3224011976047904
3,15,sd,meas,0.131634167461843
3,15,sd,ref,0.1917564362464285
3,15,kurtosis,meas,6.3871539121988725
3,15,kurtosis,ref,3.3044305762822375
3,15,skewness,meas,2.0222761471561737
3,15,skewness,ref,1.2837208966954088
3,15,KL,NA,0.6525741722552328
3,15,hellinger,NA,0.2448034349356977
3,15,euclidean,NA,0.1898201188418082
4,12,mean,meas,0.23265092518470745
4,12,mean,ref,0.22260483870967743
4,12,sd,meas,0.05041846588460538
4,12,sd,ref,0.0667725389684844
4,12,kurtosis,meas,2.647494932569664
4,12,kurtosis,ref,20.807930631724073
4,12,skewness,meas,0.40342914627650056
4,12,skewness,ref,3.1442963335665732
4,12,KL,NA,0.14355263530031284
4,12,hellinger,NA,0.1368867631212271
4,12,euclidean,NA,0.14910613343566462
5,8,mean,meas,0.2309202484879192
5,8,mean,ref,0.23730633802816903
5,8,sd,meas,0.05451965893327085
5,8,sd,ref,0.05361149172046145
5,8,kurtosis,meas,3.8682886804834227
5,8,kurtosis,ref,5.9197781127367914
5,8,skewness,meas,1.080545055364871
5,8,skewness,ref,1.323699601745419
5,8,KL,NA,0.06404970042301102
5,8,hellinger,NA,0.10864489197945099
5,8,euclidean,NA,0.14431760055575474
6,11,mean,meas,0.2215154494929158
6,11,mean,ref,0.22539887640449438
6,11,sd,meas,0.068143632081566
6,11,sd,ref,0.06291302757202535
6,11,kurtosis,meas,5.894233628586443
6,11,kurtosis,ref,11.901298667346463
6,11,skewness,meas,1.552102456225144
6,11,skewness,ref,2.220136958837598
6,11,KL,NA,0.14070696215637585
6,11,hellinger,NA,0.18480603968396822
6,11,euclidean,NA,0.11760949046181372
7,14,mean,meas,0.21391204881905057
7,14,mean,ref,0.22187179487179487
7,14,sd,meas,0.09304959515128261
7,14,sd,ref,0.07856864067256247
7,14,kurtosis,meas,10.79080151313495
7,14,kurtosis,ref,13.305414340029861
7,14,skewness,meas,2.427133650054112
7,14,skewness,ref,2.6156589217855397
7,14,KL,NA,0.1010296177211565
7,14,hellinger,NA,0.17416198904445007
7,14,euclidean,NA,0.1568160660186505
8,40,mean,meas,0.18986358466191613
8,40,mean,ref,0.22142
8,40,sd,meas,0.11478409515230145
8,40,sd,ref,0.09740857084561637
8,40,kurtosis,meas,96.01814609110518
8,40,kurtosis,ref,16.45660191222612
8,40,skewness,meas,7.001152260454747
8,40,skewness,ref,3.303513491400698
8,40,KL,NA,0.4792426880285533
8,40,hellinger,NA,0.3517435384999774
