mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.12529637710563873,0.12529637710563873
1,1,0,0,0,0.04776477236253276,0.04776477236253276
2,1,0,0,0,0.05138768291933476,0.05138768291933476
3,1,0,0,0,0.131634167461843,0.131634167461843
4,1,0,0,0,0.05041846588460538,0.05041846588460538
5,1,0,0,0,0.05451965893327085,0.05451965893327085
6,1,0,0,0,0.068143632081566,0.068143632081566
7,1,0,0,0,0.09304959515128261,0.09304959515128261
8,1,0,0,0,0.11478409515230145,0.11478409515230145
9,1,0,0,0,0.12410943337637606,0.12410943337637606
10,1,0,0,0,0.0690477295581023,0.0690477295581023
11,1,0,0,0,0.33214177710299714,0.33214177710299714
12,2.5545798618411143e-4,0.1378661877866508,-0.014808960951432196,4.443671582675113e-4,0.057555430737362925,0.12529637710563873
13,0.004518626493053586,0.07880179078215477,-0.008406501226349825,-0.007005155558699301,0.05464125010135242,0.04776477236253276
14,0.0029450294156949737,0.07099732441800763,3.874831005686677e-4,0.0025606837742574995,0.05027558121396822,0.05138768291933476
15,0.0018363613155231524,0.23648537271911546,-0.06431434075149677,-0.04648719601993964,0.16315387231162934,0.131634167461843
16,0.07010273887898977,0.066859953073003,0.015691258293379192,0.007700963702497746,0.08866640880335719,0.05041846588460538
17,0.004191447477478706,0.07354287301799929,-0.004386358546782944,-0.006155336798503858,0.0519116822814479,0.05451965893327085
18,0.005566235741825797,0.08864563853656897,-0.0379794352267642,-0.025322091225534,0.044277573573094114,0.068143632081566
19,0.014745871607619476,0.13055406462416316,-0.0246188989970915,-0.019030855038203204,0.07604242898541037,0.09304959515128261
20,0.013078700391274276,0.1406576921051274,-0.0317280319549308,-0.022887181185727495,0.08767011790576168,0.11478409515230145
21,0.06539203620141897,0.14667261651976765,-0.055358112860976645,-0.03510100367090502,0.09508402589843515,0.12410943337637606
22,2.1608799063436082e-4,0.11551538579475058,-0.019052396329134816,-0.0248007389666414,0.09180258338221617,0.0690477295581023
23,3.835054947648999e-6,0.34947147161602193,-0.04606282416691606,-0.0175651019200381,0.044628332615248255,0.33842254633756275
24,0.011028097239866077,0.13307744599493881,-0.02026609546993396,-0.00640192428822095,0.04412533045456212,0.12529637710563873
25,0.0029447740958722405,0.07369751535102091,-0.02035692069016023,-0.01540491854437756,0.052955427564666965,0.04776477236253276
26,0.040382918540397425,0.061568600444253316,-0.010432349256832205,-0.006769031595348002,0.04286351463474375,0.05138768291933476
27,0.021986548755036216,0.09262021394087262,-0.02579427215061063,-0.032695066839124196,0.05021670606770323,0.07563923125263833
