mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.12244116275976717,0.12244116275976717
1,1,0,0,0,0.047476888198404676,0.047476888198404676
2,1,0,0,0,0.05169140933313676,0.05169140933313676
3,1,0,0,0,0.13749882054327944,0.13749882054327944
4,1,0,0,0,0.05501549470429038,0.05501549470429038
5,1,0,0,0,0.07005058359741012,0.07005058359741012
6,1,0,0,0,0.06911608546261214,0.06911608546261214
7,1,0,0,0,0.09308098274482268,0.09308098274482268
8,1,0,0,0,0.11445979042757631,0.11445979042757631
9,1,0,0,0,0.12361653733178112,0.12361653733178112
10,1,0,0,0,0.06853152767708885,0.06853152767708885
11,1,0,0,0,0.32587265753855665,0.32587265753855665
12,3.866062417484385e-4,0.13690235818260943,-0.009080233994848095,0.0032113910875206098,0.05748243862551969,0.12244116275976717
13,0.0032414171677777226,0.0743296402167494,-0.008729892024023092,-0.006047732018316855,0.05394954961272612,0.047476888198404676
14,0.007212734812086075,0.06855922746418724,0.0034306335958439464,0.005092127219592603,0.04958051814713104,0.05169140933313676
15,6.742425488042252e-4,0.2532119314567908,-0.04743876420824519,-0.03246693627483764,0.21071353640222426,0.13749882054327944
16,0.0016107428030569582,0.1092592730344838,0.014093412988942464,9.785631408482098e-4,0.09886709882506693,0.05501549470429038
17,0.0035786234777071793,0.08611160560972225,-0.015868271035156725,-0.016754309755721813,0.051976771505083764,0.07005058359741012
18,0.0036716587196178366,0.0927997229684978,-0.042532109356556956,-0.030643764169177287,0.0494956071547227,0.06911608546261214
19,0.020006134741822886,0.13212583999721159,-0.02391269416221248,-0.01907986226972451,0.07848036185129911,0.09308098274482268
20,0.012018886461724393,0.13987300126900115,-0.030657846660481998,-0.022441375478424445,0.08724730448272573,0.11445979042757631
21,0.05361980469602504,0.14560888113756398,-0.04954516982795703,-0.0322990970070526,0.09428105943985482,0.12361653733178112
22,2.1610443378612768e-4,0.11662476082023049,-0.017605866303875457,-0.0248007389666414,0.09180258338221617,0.06853152767708885
23,5.429363320736062e-7,0.3448139947392539,-0.04511498614718752,-0.0169950882477546,0.044628332615248255,0.3317880548489003
24,0.007283738267991117,0.1312236256318204,-0.023113382034722813,-0.006642388801823648,0.04388020960864603,0.12244116275976717
25,0.0015859410599025508,0.07005226088121408,-0.014786488870278397,-0.010986015964641695,0.05133482352569335,0.047476888198404676
26,0.011459814703535666,0.06734094139425867,-0.0029091175203051975,-0.002794652949410996,0.04892817298200734,0.05169140933313676
27,0.026458882800137192,0.08280134334869582,-0.020824197958673726,-0.022355991600014585,0.051860415926067306,0.0703128106774835
