mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,0.28137515043932193,0.39858807401441076,-0.175205794785437,-0.18005689484032122,0.4075315596849688,0.27674272413296946
1,0.5004918255572031,0.2363338883737009,-0.19679894339776594,-0.1972518202993023,0.12345784726948884,0.18517264595152136
2,0.43689887833398877,0.2124787487306149,-0.1682184814920244,-0.1691134024971982,0.11007819707983328,0.1701872745354563
3,0.4653970465907865,0.19808337528780776,-0.1487557236303098,-0.14040077630413844,0.11720756673934032,0.1651440117219361
4,0.1280349516788658,0.17159379455483964,-0.11600966709895025,-0.08785711216099049,0.07387202537389868,0.1323067500397886
5,0.1750448531532018,0.18135425542524305,-0.13408097028073213,-0.12729318270558085,0.0674450564145926,0.13381939057991346
6,0.6001140775026358,0.2983163493674091,-0.20182880414509138,-0.16410163415972,0.14175431708827996,0.3042336400196482
7,0.23446832525108663,0.43109913336226685,-0.4095631765345535,-0.4090824615190819,0.06891324633346393,0.15385246953559906
8,0.27346432873399423,0.22066734548533132,-0.17026902122727422,-0.1571778043256073,0.0757029973563751,0.16438692938304436
9,0.390334164604407,0.20055920248686346,-0.13884946737733475,-0.10430873695332549,0.08700720944618795,0.18289592463844165
10,0.4666703915695334,0.2444460476060767,-0.19041761352941353,-0.1840727197434335,0.12116829699237276,0.20749001307227818
11,0.45409100220741194,0.2800179885750397,-0.22792235836160235,-0.2334890159162357,0.1261023034620674,0.21366255812243262
12,0.6344745952520804,0.3110929405803832,-0.25081731996074286,-0.2323365973732946,0.16567350618425458,0.28616576373392294
13,0.4255805205847943,0.23991420623195522,-0.19519667799953624,-0.1853407377050846,0.10517267342045629,0.1814158655572083
14,0.5373168716950872,0.24445007074097397,-0.19450005455720895,-0.17727121360350767,0.11526049756040008,0.20652578057588855
15,0.4695407238134729,0.1958435260420981,-0.15565477941041178,-0.14495844314229822,0.07948984393843515,0.15830215676588846
16,0.4262194578346475,0.17034979472899006,-0.11473685611608514,-0.08228892058194602,0.07133522922489133,0.16061069165816372
17,0.14698685564681688,0.1506476800037132,-0.09507000883317418,-0.055959482257694926,0.05812720275594368,0.12607458042010236
18,0.09379287096396464,0.192727430467275,-0.15241299038092476,-0.15647975099275852,0.05355491950331576,0.12288440030069409
19,NA,NA,NA,NA,NA,0.13707844067348854
20,0.15507816903062113,0.23204864029729716,-0.17446242933898998,-0.1868035213227875,0.07621392033982402,0.16908691078120203
21,0.24591615749457185,0.16735570987284776,-0.09176496702748034,-0.0638303660716291,0.06886301547591739,0.1608731701455264
22,0.3217029375376956,0.2565583213772766,-0.19127606956988866,-0.20323055614070312,0.11889087580473968,0.20771251401142585
23,0.6484086109313772,0.25778118281962364,-0.21853309786985034,-0.21611676946687336,0.11517790053062132,0.21236133650287958
24,0.5685033530276679,0.2560609269056149,-0.202311965678027,-0.2031906352582753,0.1508851419231055,0.23576015622765636
25,NA,NA,NA,NA,0.1502094656817729,NA
26,NA,NA,NA,NA,0.0792990803618322,NA
27,NA,NA,NA,NA,0.0826035768520966,NA
28,NA,NA,NA,NA,0.05599626455894234,NA
29,NA,NA,NA,NA,0.05937957481407537,NA
30,NA,NA,NA,NA,0.05918336878219898,NA
