mos_into_deployment,pdf_resolution,statistic,plottype,value
0,203,mean,meas,0.2472922984579701
0,203,mean,ref,0.4251827195467422
0,203,sd,meas,0.4075315596849688
0,203,sd,ref,0.27674272413296946
0,203,kurtosis,meas,472.64047677913635
0,203,kurtosis,ref,10.60481927675764
0,203,skewness,meas,19.6621979485688
0,203,skewness,ref,2.4586553710661057
0,203,KL,NA,1.0919524631377395
0,203,hellinger,NA,0.4823477218463126
0,203,euclidean,NA,0.42040027115698003
1,35,mean,meas,0.2053618399524815
1,35,mean,ref,0.4030459110473458
1,35,sd,meas,0.12345784726948884
1,35,sd,ref,0.18517264595152136
1,35,kurtosis,meas,13.781709198260343
1,35,kurtosis,ref,11.658952240938843
1,35,skewness,meas,2.886480167006393
1,35,skewness,ref,2.072590721047502
1,35,KL,NA,1.6055450956305215
1,35,hellinger,NA,0.5606542382493986
1,35,euclidean,NA,0.44385791151336507
2,28,mean,meas,0.20125424173869347
2,28,mean,ref,0.37251572327044025
2,28,sd,meas,0.11007819707983328
2,28,sd,ref,0.1701872745354563
2,28,kurtosis,meas,13.246943698543241
2,28,kurtosis,ref,9.086400979366315
2,28,skewness,meas,2.8329312745184527
2,28,skewness,ref,1.8785665899628743
2,28,KL,NA,1.2743942155600232
2,28,hellinger,NA,0.5320275778225545
2,28,euclidean,NA,0.45726976138332337
3,29,mean,meas,0.20371773059809745
3,29,mean,ref,0.3299192073170732
3,29,sd,meas,0.11720756673934032
3,29,sd,ref,0.1651440117219361
3,29,kurtosis,meas,41.90449611601565
3,29,kurtosis,ref,8.817421657018786
3,29,skewness,meas,4.738603576009226
3,29,skewness,ref,2.0577347870681244
3,29,KL,NA,0.9341210755352776
3,29,hellinger,NA,0.4523575823450485
3,29,euclidean,NA,0.3768083497349592
4,19,mean,meas,0.1831703489283497
4,19,mean,ref,0.3004902548725637
4,19,sd,meas,0.07387202537389868
4,19,sd,ref,0.1323067500397886
4,19,kurtosis,meas,12.313529816048725
4,19,kurtosis,ref,5.169149912464589
4,19,skewness,meas,2.450761259702997
4,19,skewness,ref,1.301404235317923
4,19,KL,NA,1.0523325306790083
4,19,hellinger,NA,0.43536350838370236
4,19,euclidean,NA,0.37625861706590813
5,15,mean,meas,0.18755089707855724
5,15,mean,ref,0.323205047318612
5,15,sd,meas,0.0674450564145926
5,15,sd,ref,0.13381939057991346
5,15,kurtosis,meas,5.594274239723022
5,15,kurtosis,ref,3.8667333242017343
5,15,skewness,meas,1.1859272314113825
5,15,skewness,ref,1.0128589665950063
5,15,KL,NA,1.4654457238842256
5,15,hellinger,NA,0.48393180580659123
5,15,euclidean,NA,0.3508391811294369
6,54,mean,meas,0.2800504366470215
6,54,mean,ref,0.4759626016260163
6,54,sd,meas,0.14175431708827996
6,54,sd,ref,0.3042336400196482
6,54,kurtosis,meas,5.657854645161076
6,54,kurtosis,ref,8.643806633888639
