mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.1625462667255638,0.1625462667255638
1,1,0,0,0,0.1205838197663411,0.1205838197663411
2,1,0,0,0,0.1177484222461193,0.1177484222461193
3,1,0,0,0,0.11896623813165748,0.11896623813165748
4,1,0,0,0,0.07244114751774616,0.07244114751774616
5,1,0,0,0,0.06980397136304267,0.06980397136304267
6,1,0,0,0,0.131916818173946,0.131916818173946
7,1,0,0,0,0.07231352255709574,0.07231352255709574
8,1,0,0,0,0.07142250207041906,0.07142250207041906
9,1,0,0,0,0.07983086396984336,0.07983086396984336
10,1,0,0,0,0.11894683349228347,0.11894683349228347
11,1,0,0,0,0.11194799778300639,0.11194799778300639
12,0.013863935407532557,0.2315660609185998,0.02664057761449594,0.015226060292359192,0.14276525466381132,0.1625462667255638
13,0.07642780782133489,0.11724417354718736,-0.00973370427023555,-0.0025252948086879473,0.08047485856668421,0.1205838197663411
14,4.935724575354023e-4,0.1488924577625756,-0.010134647649274296,0.0020396171825325105,0.09628804388337148,0.1177484222461193
15,0.007505792779557135,0.1360427031722292,-0.04197038873621776,-0.029039669217103214,0.0737894428192277,0.11896623813165748
16,0.014061624196230093,0.08822491008702465,-0.0025742200153146045,-0.002827183261704544,0.06827787314516857,0.07244114751774616
17,0.14047063279768982,0.0784627821035209,0.010053829092575347,0.015279648357489795,0.05910518953879875,0.06980397136304267
18,0.0022856198384531906,0.15128012552121206,-0.07821990737702006,-0.04706805980671039,0.05453921425242882,0.131916818173946
19,NA,NA,NA,NA,NA,0.07231352255709574
20,0.06814245806070796,0.10138211991410002,-0.022083828923130974,-0.020752828619447508,0.07054223670866669,0.07142250207041906
21,0.07982477559805279,0.10622439911010845,-0.048439149476366135,-0.044960967784201,0.06687418076194251,0.07983086396984336
22,0.002208105072433439,0.17493638418978166,-0.044040546244394706,-0.029267216471098242,0.11176174807202342,0.11894683349228347
23,0.09866800930697243,0.14151454117811996,-0.022823779804192194,-0.022347334921943907,0.12167833066512877,0.11194799778300639
24,0.0012057168092842645,0.2271319787561662,0.00907381991658761,0.014198072543936985,0.14662610397805478,0.1625462667255638
25,0.020909489839578573,0.17185093387911535,-0.01321445540889869,-0.01221926775332599,0.14626156114895483,0.1205838197663411
26,0.0352966681128391,0.14263303439497765,-0.04107716730249909,-0.023229159319080317,0.0834895843948086,0.1177484222461193
27,0.08558996483081129,0.12529989562624289,-0.04351319738914878,-0.026802116841073795,0.0868732656545895,0.11896623813165748
28,0.04094890364490487,0.07491541299812576,9.052492969396948e-4,0.0031279422987182115,0.059116623047242384,0.07244114751774616
29,0.06879965036613932,0.08554305750915932,-0.0030650866730260445,0.0020457988517390002,0.056238977612721806,0.06980397136304267
30,0.40542311266446573,0.0772271689779658,-0.022134310637465304,-0.016278649107478782,0.05892782952999037,0.07993214650857478
