mos_into_deployment,pdf_resolution,statistic,plottype,value
0,39,mean,meas,0.20885157226003237
0,39,mean,ref,0.20885157226003237
0,39,sd,meas,0.1625462667255638
0,39,sd,ref,0.1625462667255638
0,39,kurtosis,meas,37.63431818525866
0,39,kurtosis,ref,37.63431818525866
0,39,skewness,meas,4.71645317340473
0,39,skewness,ref,4.71645317340473
0,39,KL,NA,0
0,39,hellinger,NA,0
0,39,euclidean,NA,0
1,20,mean,meas,0.20035615745798924
1,20,mean,ref,0.20035615745798924
1,20,sd,meas,0.1205838197663411
1,20,sd,ref,0.1205838197663411
1,20,kurtosis,meas,13.381388344360227
1,20,kurtosis,ref,13.381388344360227
1,20,skewness,meas,2.7962747276762623
1,20,skewness,ref,2.7962747276762623
1,20,KL,NA,0
1,20,hellinger,NA,0
1,20,euclidean,NA,0
2,17,mean,meas,0.20218604902095663
2,17,mean,ref,0.20218604902095663
2,17,sd,meas,0.1177484222461193
2,17,sd,ref,0.1177484222461193
2,17,kurtosis,meas,11.999333829848851
2,17,kurtosis,ref,11.999333829848851
2,17,skewness,meas,2.716197572825866
2,17,skewness,ref,2.716197572825866
2,17,KL,NA,0
2,17,hellinger,NA,0
2,17,euclidean,NA,0
3,29,mean,meas,0.20413221498371398
3,29,mean,ref,0.20413221498371398
3,29,sd,meas,0.11896623813165748
3,29,sd,ref,0.11896623813165748
3,29,kurtosis,meas,40.72130140109711
3,29,kurtosis,ref,40.72130140109711
3,29,skewness,meas,4.671292996462657
3,29,skewness,ref,4.671292996462657
3,29,KL,NA,0
3,29,hellinger,NA,0
3,29,euclidean,NA,0
4,12,mean,meas,0.18407180805231535
4,12,mean,ref,0.18407180805231535
4,12,sd,meas,0.07244114751774616
4,12,sd,ref,0.07244114751774616
4,12,kurtosis,meas,12.828307616363087
4,12,kurtosis,ref,12.828307616363087
4,12,skewness,meas,2.5519720702963866
4,12,skewness,ref,2.5519720702963866
4,12,KL,NA,0
4,12,hellinger,NA,0
4,12,euclidean,NA,0
5,10,mean,meas,0.19577834479369302
5,10,mean,ref,0.19577834479369302
5,10,sd,meas,0.06980397136304267
5,10,sd,ref,0.06980397136304267
5,10,kurtosis,meas,5.4913726776405625
5,10,kurtosis,ref,5.4913726776405625
5,10,skewness,meas,1.1986792135785924
5,10,skewness,ref,1.1986792135785924
5,10,KL,NA,0
5,10,hellinger,NA,0
5,10,euclidean,NA,0
6,15,mean,meas,0.2806256453361169
6,15,mean,ref,0.2806256453361169
6,15,sd,meas,0.131916818173946
6,15,sd,ref,0.131916818173946
6,15,kurtosis,meas,6.804699689490467
6,15,kurtosis,ref,6.804699689490467
6,15,skewness,meas,1.9513492547953983
6,15,skewness,ref,1.9513492547953983
6,15,KL,NA,0
6,15,hellinger,NA,0
6,15,euclidean,NA,0
7,8,mean,meas,0.2700208799487868
7,8,mean,ref,0.2700208799487868
7,8,sd,meas,0.07231352255709574
7,8,sd,ref,0.07231352255709574
7,8,kurtosis,meas,2.571364765841728
7,8,kurtosis,ref,2.571364765841728
7,8,skewness,meas,0.4279820504264426
7,8,skewness,ref,0.4279820504264426
7,8,KL,NA,0
7,8,hellinger,NA,0
7,8,euclidean,NA,0
8,10,mean,meas,0.27703077468199827
8,10,mean,ref,0.27703077468199827
