mos_into_deployment,pdf_resolution,statistic,plottype,value
0,203,mean,meas,0.2472922984579701
0,203,mean,ref,0.2472922984579701
0,203,sd,meas,0.4075315596849688
0,203,sd,ref,0.4075315596849688
0,203,kurtosis,meas,472.64047677913635
0,203,kurtosis,ref,472.64047677913635
0,203,skewness,meas,19.6621979485688
0,203,skewness,ref,19.6621979485688
0,203,KL,NA,0
0,203,hellinger,NA,0
0,203,euclidean,NA,0
1,20,mean,meas,0.2053618399524815
1,20,mean,ref,0.2053618399524815
1,20,sd,meas,0.12345784726948884
1,20,sd,ref,0.12345784726948884
1,20,kurtosis,meas,13.781709198260343
1,20,kurtosis,ref,13.781709198260343
1,20,skewness,meas,2.886480167006393
1,20,skewness,ref,2.886480167006393
1,20,KL,NA,0
1,20,hellinger,NA,0
1,20,euclidean,NA,0
2,17,mean,meas,0.20125424173869347
2,17,mean,ref,0.20125424173869347
2,17,sd,meas,0.11007819707983328
2,17,sd,ref,0.11007819707983328
2,17,kurtosis,meas,13.246943698543241
2,17,kurtosis,ref,13.246943698543241
2,17,skewness,meas,2.8329312745184527
2,17,skewness,ref,2.8329312745184527
2,17,KL,NA,0
2,17,hellinger,NA,0
2,17,euclidean,NA,0
3,29,mean,meas,0.20371773059809745
3,29,mean,ref,0.20371773059809745
3,29,sd,meas,0.11720756673934032
3,29,sd,ref,0.11720756673934032
3,29,kurtosis,meas,41.90449611601565
3,29,kurtosis,ref,41.90449611601565
3,29,skewness,meas,4.738603576009226
3,29,skewness,ref,4.738603576009226
3,29,KL,NA,0
3,29,hellinger,NA,0
3,29,euclidean,NA,0
4,13,mean,meas,0.1831703489283497
4,13,mean,ref,0.1831703489283497
4,13,sd,meas,0.07387202537389868
4,13,sd,ref,0.07387202537389868
4,13,kurtosis,meas,12.313529816048725
4,13,kurtosis,ref,12.313529816048725
4,13,skewness,meas,2.450761259702997
4,13,skewness,ref,2.450761259702997
4,13,KL,NA,0
4,13,hellinger,NA,0
4,13,euclidean,NA,0
5,10,mean,meas,0.18755089707855724
5,10,mean,ref,0.18755089707855724
5,10,sd,meas,0.0674450564145926
5,10,sd,ref,0.0674450564145926
5,10,kurtosis,meas,5.594274239723022
5,10,kurtosis,ref,5.594274239723022
5,10,skewness,meas,1.1859272314113825
5,10,skewness,ref,1.1859272314113825
5,10,KL,NA,0
5,10,hellinger,NA,0
5,10,euclidean,NA,0
6,16,mean,meas,0.2800504366470215
6,16,mean,ref,0.2800504366470215
6,16,sd,meas,0.14175431708827996
6,16,sd,ref,0.14175431708827996
6,16,kurtosis,meas,5.657854645161076
6,16,kurtosis,ref,5.657854645161076
6,16,skewness,meas,1.7463740916172787
6,16,skewness,ref,1.7463740916172787
6,16,KL,NA,0
6,16,hellinger,NA,0
6,16,euclidean,NA,0
7,8,mean,meas,0.23430056155836781
7,8,mean,ref,0.23430056155836781
7,8,sd,meas,0.06891324633346393
7,8,sd,ref,0.06891324633346393
7,8,kurtosis,meas,2.9631032950479574
7,8,kurtosis,ref,2.9631032950479574
7,8,skewness,meas,0.6214610294544676
7,8,skewness,ref,0.6214610294544676
7,8,KL,NA,0
7,8,hellinger,NA,0
7,8,euclidean,NA,0
8,11,mean,meas,0.2514326623189452
8,11,mean,ref,0.2514326623189452
8,11,sd,meas,0.0757029973563751
8,11,sd,ref,0.0757029973563751
8,11,kurtosis,meas,3.9638056422323844
8,11,kurtosis,ref,3.9638056422323844
8,11,skewness,meas,0.8798144862987184
8,11,skewness,ref,0.8798144862987184
8,11,KL,NA,0
8,11,hellinger,NA,0
8,11,euclidean,NA,0
9,13,mean,meas,0.2553768017720014
9,13,mean,ref,0.2553768017720014
9,13,sd,meas,0.08700720944618795
9,13,sd,ref,0.08700720944618795
9,13,kurtosis,meas,6.025184207877831
9,13,kurtosis,ref,6.025184207877831
9,13,skewness,meas,1.4472015656634025
