mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,0.4986816358523799,0.18626446461457558,-0.14447355569285822,-0.15502825435001086,0.14376587913918157,0.1613066758410883
1,0.7465035560727626,0.20904269491119448,-0.15137403549517564,-0.1346804816120083,0.21034002122651696,0.2756675516023483
2,0.6465993832144644,0.22027191588148975,-0.1692535358223828,-0.1581261876869395,0.1564872720099227,0.23278943712939051
3,0.6220978839988877,0.21271404585718,-0.17184037161825508,-0.16315527172260008,0.13034092417851803,0.20005139649076048
4,0.505502616620437,0.18343790655759806,-0.14154043312739728,-0.13235660737446658,0.0873859048455019,0.16063112641545066
5,0.37034383758288886,0.1698943300228347,-0.12504701452093095,-0.09853785919635952,0.07071113696073543,0.1458751557064583
6,0.6658118229467954,1.4834011657335437,0.8142558519114089,-0.04560295395324504,1.5198747895907925,0.1340748889901091
7,NA,NA,NA,NA,NA,0.15776037458803857
8,NA,NA,NA,NA,NA,0.2490973455376167
9,0.18491317971628518,0.21681016353562704,-0.1616771579434931,-0.14150996122523352,0.08904610685354829,0.19394304796442216
10,0.3077122797566207,0.1909856372047336,-0.13637445223245354,-0.10753010796144793,0.06992549662161972,0.15976261979830414
11,0.4822397943094562,0.2241097900186765,-0.17283751837733474,-0.1552880865774871,0.1079811745497513,0.19297387991863707
12,0.5823041127455919,0.24590703540075065,-0.1983873740600671,-0.20444846747131257,0.16652322065219907,0.2312963170356246
13,0.6937162514777993,0.2943951504462562,-0.24120991286547802,-0.2290825678977631,0.19530058623634497,0.29131245913901105
14,0.6140881232629992,0.23555652384494183,-0.19551895614665535,-0.18892809540736513,0.11961131720629654,0.1947297727709997
15,0.6124728508943278,0.227592266966593,-0.1850860445055656,-0.16307139561426112,0.10884031063585631,0.19669318602784872
16,0.43451790023159004,0.18074595506866095,-0.13782278688861987,-0.12151918123173883,0.07096730718575898,0.150463930690878
17,0.5804758922276857,0.17929348914281373,-0.13063836589481315,-0.10599088904904777,0.0821402607286712,0.17341049277558923
18,0.34596111945929586,0.12861656885675077,-0.07870174194413851,-0.0414893301484226,0.0539204110922935,0.1267500256336937
19,0.09097144012069049,0.18895863015814363,-0.14877815401284916,-0.1515725484457735,0.04896234936200347,0.1216267817514361
20,0.16648321242832242,0.1994495182804081,-0.1574501735072083,-0.15112513420266818,0.05156904977080491,0.13428071018310744
21,0.20459847883879842,0.22651094800834173,-0.17572434485311225,-0.17319889322125884,0.06598978272644666,0.16072275828766766
22,0.26383939372113163,0.1705108857661025,-0.10731526532594765,-0.08073690724740126,0.06043414512391164,0.15302430297024974
23,0.48440463065315764,0.2268885900038272,-0.17059262523556099,-0.16961469405108565,0.10341260199020119,0.20293144232870544
24,0.5414304558317892,0.24536929876928168,-0.19282166578750343,-0.18485252340685132,0.09820292606263577,0.20934886889917137
25,0.6670507438677242,0.25893528413932204,-0.21547593948892643,-0.2056013372756836,0.15317025555533612,0.24081865615637146
26,0.5882266731936175,0.1560091690878721,-0.11348716483201192,-0.09384030586422831,0.11348475951927478,0.16692771859339128
27,NA,NA,NA,NA,0.08099243292039893,NA
28,NA,NA,NA,NA,0.0816397603429979,NA
29,NA,NA,NA,NA,0.04872140826832423,NA
30,NA,NA,NA,NA,0.04867846341142047,NA
31,NA,NA,NA,NA,0.0549530620012497,NA
