mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.14492433172549693,0.14492433172549693
1,1,0,0,0,0.2108298623814837,0.2108298623814837
2,1,0,0,0,0.15658207588993595,0.15658207588993595
3,1,0,0,0,0.13034092417851803,0.13034092417851803
4,1,0,0,0,0.08745285933783088,0.08745285933783088
5,1,0,0,0,0.07112071971085748,0.07112071971085748
6,1,0,0,0,1.5667587956577336,1.5667587956577336
7,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA
9,1,0,0,0,0.09720596154960359,0.09720596154960359
10,1,0,0,0,0.0694011033041283,0.0694011033041283
11,1,0,0,0,0.10993877753616303,0.10993877753616303
12,0.017786779727042047,0.21633520505593307,0.02734513784207345,0.017839885267900132,0.1684100250165234,0.14492433172549693
13,0.006929651342317065,0.30228794485571964,0.04076124202403011,0.03517759505041909,0.19736056861832607,0.2108298623814837
14,0.07784991063785476,0.18058249325872688,-0.040416990664692766,-0.02660230840720071,0.12093875553459393,0.15658207588993595
15,0.006200927972187264,0.16488496595669092,-0.003347951607255105,0.008906906767386091,0.10884031063585631,0.13034092417851803
16,0.01382169269116543,0.12161578580026002,-0.0034027608616975322,0.0037974787855386966,0.07211827448193651,0.08745285933783088
17,2.676251177882705e-5,0.11191566036231161,0.00321010335428024,0.0038471580593244514,0.08212541021757416,0.07112071971085748
18,0.44198080440361903,1.6624256795042862,-1.0535030100741969,-0.20726400517938087,0.054129473886649404,1.5667587956577336
19,NA,NA,NA,NA,0.046804605487901024,NA
20,NA,NA,NA,NA,0.04796921791795083,NA
21,0.02857687907376111,0.13378333454606098,-0.006614942956256724,-0.0037911986885875715,0.06473416377693517,0.09720596154960359
22,0.046750278918111114,0.08827393696163402,-0.026708763473408177,-0.02732878397520852,0.06000242499888573,0.0694011033041283
23,2.2347187327170746e-4,0.15540761494099598,-0.029398465650823994,-0.03386029511073729,0.10528110860684745,0.10993877753616303
24,0.008456543402349847,0.1693813288603882,-0.030229266404552722,-0.013463854772601896,0.09897782080972362,0.14492433172549693
25,0.014002958251928394,0.27897020602642203,-0.011064750214094672,0.010459288301249953,0.15422423294794776,0.2108298623814837
26,9.891055714113584e-4,0.198574885040405,-0.054314197022874065,-0.03192772643503275,0.11348475951927478,0.15658207588993595
27,0.00415807836625055,0.1645883688034868,-0.05211817270322161,-0.03630969489971039,0.08099243292039893,0.13034092417851803
28,7.07364522023709e-5,0.11532433622316436,-0.0035496994844110693,-0.0058259470301793015,0.08289252521796225,0.08745285933783088
29,0.013103093902301431,0.08519717228861363,-0.017077593493469587,-0.009458437912008344,0.04918187142783049,0.07112071971085748
30,0.9763168383356202,1.6649550331781449,-1.058738988601593,-0.2026324391955249,0.05081913189787903,1.5667587956577336
31,NA,NA,NA,NA,0.05491885546792151,NA
