mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,residual_kurtosis,residual_skewness
0,1,0,0,0,NA,NA
1,1,0,0,0,NA,NA
2,1,0,0,0,NA,NA
3,1,0,0,0,NA,NA
4,1,0,0,0,NA,NA
5,1,0,0,0,NA,NA
6,1,0,0,0,NA,NA
7,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA
9,1,0,0,0,NA,NA
10,1,0,0,0,NA,NA
11,1,0,0,0,NA,NA
12,0.023695869067454627,0.2082121147590526,0.02927083370060563,0.025315637472898056,10.132327023317286,0.5007588640078996
13,0.00738765335588663,0.3000171932280058,0.04062013719073502,0.0286039175510171,9.19868285301678,-0.3869461634908736
14,0.08061741863383931,0.17859738657722704,-0.04133660878968066,-0.02704649653085095,8.07615409682221,-0.9576702112376352
15,0.006200927972187264,0.16488496595669092,-0.003347951607255105,0.008906906767386091,11.350016725947308,-1.4259094450749574
16,0.012685216392641373,0.11892892384178527,-0.003597895753341078,0.0031117695146629515,10.401312613271788,-0.47031349296094743
17,3.144091747261946e-4,0.10821382580730178,0.002072373422080092,0.002111351705900988,13.848622808886786,0.668401210864124
18,0.5864826224760534,1.9814133244862797,-1.4707986921599847,-1.4649748717983646,1.0106061996325375,-0.001350306409307313
19,NA,NA,NA,NA,NA,NA
20,NA,NA,NA,NA,NA,NA
21,0.007299741133123477,0.10792153039966776,-0.01605882824769764,-0.01976998015510191,66.1870479692697,-4.725517073848055
22,0.12171624135188361,0.07851458693024775,-0.02408772630810192,-0.02151231838586029,5.596899127684042,-0.4274416861221822
23,0.006187881778178802,0.14699790139580993,-0.030567686186927536,-0.03533614978985719,7.884008790969291,0.3938230565240074
24,0.016599097095005424,0.1671563522496924,-0.030570522374028894,-0.01091062630800091,13.136849406286267,-1.420100389532623
25,0.01194656168866347,0.2742138414022316,-0.011394232816892277,0.00787176285184249,9.350578117514765,-1.1360307810700079
26,9.01130126199657e-4,0.19832651201719276,-0.053590877424392315,-0.03147273952920121,10.069401662564069,-1.3873687855591739
27,0.00415807836625055,0.1645883688034868,-0.05211817270322161,-0.03630969489971039,9.90672676679549,-1.3086284601925342
28,1.3549558544991304e-4,0.12211144971007178,-0.00985536106286462,-0.007534096737416604,9.845869460416523,-0.40634766426498203
29,0.01894714103827937,0.08195636619398193,-0.016305341856422184,-0.009227822947370207,15.418450438880932,-1.3313714350172814
30,0.7094805790576713,1.9837145567026078,-1.47524199009229,-1.4636917168799526,1.009468945161705,-0.002501420023022334
31,NA,NA,NA,NA,NA,NA
