mos_into_deployment,pdf_resolution,statistic,plottype,value
0,31,mean,meas,0.2507784147110799
0,31,mean,ref,0.2507784147110799
0,31,sd,meas,0.14492433172549693
0,31,sd,ref,0.14492433172549693
0,31,kurtosis,meas,16.30116920910774
0,31,kurtosis,ref,16.30116920910774
0,31,skewness,meas,2.830565403509437
0,31,skewness,ref,2.830565403509437
0,31,KL,NA,0
0,31,hellinger,NA,0
0,31,euclidean,NA,0
1,32,mean,meas,0.2515324494560227
1,32,mean,ref,0.2515324494560227
1,32,sd,meas,0.2108298623814837
1,32,sd,ref,0.2108298623814837
1,32,kurtosis,meas,16.82912669365032
1,32,kurtosis,ref,16.82912669365032
1,32,skewness,meas,3.5328731832665676
1,32,skewness,ref,3.5328731832665676
1,32,KL,NA,0
1,32,hellinger,NA,0
1,32,euclidean,NA,0
2,26,mean,meas,0.2711142403723936
2,26,mean,ref,0.2711142403723936
2,26,sd,meas,0.15658207588993595
2,26,sd,ref,0.15658207588993595
2,26,kurtosis,meas,13.891484077244742
2,26,kurtosis,ref,13.891484077244742
2,26,skewness,meas,2.9167952341385917
2,26,skewness,ref,2.9167952341385917
2,26,KL,NA,0
2,26,hellinger,NA,0
2,26,euclidean,NA,0
3,22,mean,meas,0.23156493359857633
3,22,mean,ref,0.23156493359857633
3,22,sd,meas,0.13034092417851803
3,22,sd,ref,0.13034092417851803
3,22,kurtosis,meas,16.485068847751776
3,22,kurtosis,ref,16.485068847751776
3,22,skewness,meas,3.1944268342073143
3,22,skewness,ref,3.1944268342073143
3,22,KL,NA,0
3,22,hellinger,NA,0
3,22,euclidean,NA,0
4,13,mean,meas,0.1932734909165787
4,13,mean,ref,0.1932734909165787
4,13,sd,meas,0.08745285933783088
4,13,sd,ref,0.08745285933783088
4,13,kurtosis,meas,15.072010885747329
4,13,kurtosis,ref,15.072010885747329
4,13,skewness,meas,3.123767798428095
4,13,skewness,ref,3.123767798428095
4,13,KL,NA,0
4,13,hellinger,NA,0
4,13,euclidean,NA,0
5,16,mean,meas,0.18751061773103522
5,16,mean,ref,0.18751061773103522
5,16,sd,meas,0.07112071971085748
5,16,sd,ref,0.07112071971085748
5,16,kurtosis,meas,20.001459067822967
5,16,kurtosis,ref,20.001459067822967
5,16,skewness,meas,3.1538907265717455
5,16,skewness,ref,3.1538907265717455
5,16,KL,NA,0
5,16,hellinger,NA,0
5,16,euclidean,NA,0
6,56,mean,meas,1.2095891852447425
6,56,mean,ref,1.2095891852447425
6,56,sd,meas,1.5667587956577336
6,56,sd,ref,1.5667587956577336
6,56,kurtosis,meas,1.5
6,56,kurtosis,ref,1.5
6,56,skewness,meas,0.7034863056078134
6,56,skewness,ref,0.7034863056078134
6,56,KL,NA,0
6,56,hellinger,NA,0
6,56,euclidean,NA,0
7,0,mean,meas,NA
7,0,mean,ref,NA
7,0,sd,meas,NA
7,0,sd,ref,NA
7,0,kurtosis,meas,NA
7,0,kurtosis,ref,NA
7,0,skewness,meas,NA
7,0,skewness,ref,NA
7,0,KL,NA,NA
7,0,hellinger,NA,NA
7,0,euclidean,NA,NA
8,0,mean,meas,NA
8,0,mean,ref,NA
8,0,sd,meas,NA
8,0,sd,ref,NA
8,0,kurtosis,meas,NA
8,0,kurtosis,ref,NA
8,0,skewness,meas,NA
8,0,skewness,ref,NA
8,0,KL,NA,NA
8,0,hellinger,NA,NA
8,0,euclidean,NA,NA
9,29,mean,meas,0.26576439772637744
9,29,mean,ref,0.26576439772637744
9,29,sd,meas,0.09720596154960359
9,29,sd,ref,0.09720596154960359
9,29,kurtosis,meas,108.56887761583698
9,29,kurtosis,ref,108.56887761583698
9,29,skewness,meas,8.102563838164947
9,29,skewness,ref,8.102563838164947
9,29,KL,NA,0
9,29,hellinger,NA,0
9,29,euclidean,NA,0
10,14,mean,meas,0.2544560128917198
