mos_into_deployment,pdf_resolution,statistic,plottype,value
0,31,mean,meas,0.24531806653239255
0,31,mean,ref,0.24531806653239255
0,31,sd,meas,0.14376587913918157
0,31,sd,ref,0.14376587913918157
0,31,kurtosis,meas,16.397085352858923
0,31,kurtosis,ref,16.397085352858923
0,31,skewness,meas,2.8287866205879024
0,31,skewness,ref,2.8287866205879024
0,31,KL,NA,0
0,31,hellinger,NA,0
0,31,euclidean,NA,0
1,32,mean,meas,0.25056840898952765
1,32,mean,ref,0.25056840898952765
1,32,sd,meas,0.21034002122651696
1,32,sd,ref,0.21034002122651696
1,32,kurtosis,meas,16.9258282541944
1,32,kurtosis,ref,16.9258282541944
1,32,skewness,meas,3.543131932383431
1,32,skewness,ref,3.543131932383431
1,32,KL,NA,0
1,32,hellinger,NA,0
1,32,euclidean,NA,0
2,26,mean,meas,0.27058447262652885
2,26,mean,ref,0.27058447262652885
2,26,sd,meas,0.1564872720099227
2,26,sd,ref,0.1564872720099227
2,26,kurtosis,meas,13.910296107774553
2,26,kurtosis,ref,13.910296107774553
2,26,skewness,meas,2.9180424545037944
2,26,skewness,ref,2.9180424545037944
2,26,KL,NA,0
2,26,hellinger,NA,0
2,26,euclidean,NA,0
3,22,mean,meas,0.23156493359857633
3,22,mean,ref,0.23156493359857633
3,22,sd,meas,0.13034092417851803
3,22,sd,ref,0.13034092417851803
3,22,kurtosis,meas,16.485068847751776
3,22,kurtosis,ref,16.485068847751776
3,22,skewness,meas,3.1944268342073143
3,22,skewness,ref,3.1944268342073143
3,22,KL,NA,0
3,22,hellinger,NA,0
3,22,euclidean,NA,0
4,13,mean,meas,0.19309168367492607
4,13,mean,ref,0.19309168367492607
4,13,sd,meas,0.0873859048455019
4,13,sd,ref,0.0873859048455019
4,13,kurtosis,meas,15.09985529923222
4,13,kurtosis,ref,15.09985529923222
4,13,skewness,meas,3.126841599625236
4,13,skewness,ref,3.126841599625236
4,13,KL,NA,0
4,13,hellinger,NA,0
4,13,euclidean,NA,0
5,16,mean,meas,0.18587887177005155
5,16,mean,ref,0.18587887177005155
5,16,sd,meas,0.07071113696073543
5,16,sd,ref,0.07071113696073543
5,16,kurtosis,meas,19.494835438382147
5,16,kurtosis,ref,19.494835438382147
5,16,skewness,meas,3.048465241563535
5,16,skewness,ref,3.048465241563535
5,16,KL,NA,0
5,16,hellinger,NA,0
5,16,euclidean,NA,0
6,56,mean,meas,1.6199337437724126
6,56,mean,ref,1.6199337437724126
6,56,sd,meas,1.5198747895907925
6,56,sd,ref,1.5198747895907925
6,56,kurtosis,meas,1.0112181669028968
6,56,kurtosis,ref,1.0112181669028968
6,56,skewness,meas,0.0035925732640993534
6,56,skewness,ref,0.0035925732640993534
6,56,KL,NA,0
6,56,hellinger,NA,0
6,56,euclidean,NA,0
7,0,mean,meas,NA
7,0,mean,ref,NA
7,0,sd,meas,NA
7,0,sd,ref,NA
7,0,kurtosis,meas,NA
7,0,kurtosis,ref,NA
7,0,skewness,meas,NA
7,0,skewness,ref,NA
7,0,KL,NA,NA
7,0,hellinger,NA,NA
7,0,euclidean,NA,NA
8,0,mean,meas,NA
8,0,mean,ref,NA
8,0,sd,meas,NA
8,0,sd,ref,NA
8,0,kurtosis,meas,NA
8,0,kurtosis,ref,NA
8,0,skewness,meas,NA
