mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,residual_kurtosis,residual_skewness
0,0.09734147261526778,0.23266168236301604,-0.11763525048984506,-0.10398135234822506,302.6527283330811,14.185553454323223
1,0.5296445354497318,0.41640501099958616,-0.3653186213418826,-0.3678562973741132,16.703250051773217,-1.4943205728677202
2,0.2574333909684213,0.31554106755156325,-0.2630086057035758,-0.265425691505548,2.4215692092380197,-0.23134381908858903
3,0.36604732169221554,0.18697295034495365,-0.13843090516685527,-0.11794495433751431,4.358863521449546,-0.6526468614348359
4,0.5513369900006463,0.2236510999298524,-0.1799039547353783,-0.16675719734322558,10.7689266210111,-1.4410713831561894
5,0.6134909962678394,0.25119369778337514,-0.21346181523526742,-0.2131160361570114,3.824991888429819,-0.6385298459908999
6,0.7405097610832211,0.3082819882436098,-0.269785167611042,-0.2664102981644494,3.5329482478462095,-0.5875803944624468
7,0.7215594656975393,0.25306981440829207,-0.22183306456975452,-0.21280364548094902,7.4544833321990724,-1.2876911369155917
8,0.43949696425583623,0.2522850436683916,-0.20414902040995958,-0.18771032121093745,34.697440275347226,3.297554269969836
9,0.5692569626250086,0.1983192803316402,-0.16549130999802988,-0.15014684760946395,12.469222882866989,-1.974479155027753
10,0.7066503929519689,0.18555706259079083,-0.15175789995513475,-0.13741461393935284,8.035557699579938,-1.5709771049640464
11,0.2793589522699126,0.15485533460402168,-0.10524119768924028,-0.0761207879833301,42.515313471109124,2.2912073640338093
12,0.22727473793064815,0.17520993864507944,-0.13857888533629356,-0.1353092325490431,2.9247853722539614,-0.4120605053082194
13,0.28854964512773273,0.1832073184168463,-0.14696622647844435,-0.1357086639673633,2.9576776091876713,-0.5389423806617344
14,0.3761986148247274,0.2099351667815319,-0.16793069216628723,-0.1651197220679384,3.2480685617361735,-0.6470727786290467
15,0.38935526707755796,0.1820793391942706,-0.12884766333070513,-0.10966726861975087,3.65681078902613,-0.6322654981741049
16,0.6008472915621117,0.2226354303326915,-0.1726858916969724,-0.16336746914215,3.8892026563299655,-0.6270781141871076
17,0.5246838393722743,0.24550230237635862,-0.20232669608446724,-0.18770700533061932,10.857081050286366,-1.8760704131158046
18,0.6600339731905135,0.28295564049312605,-0.2430525510577323,-0.22259791626495812,9.11280908161302,-1.8540920552543558
19,0.6819378250568192,0.2508842249208872,-0.19792999170390382,-0.18271623261513137,9.306940590435193,-1.9658123298601062
20,NA,NA,NA,NA,NA,NA
21,NA,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,NA,NA
23,NA,NA,NA,NA,NA,NA
24,NA,NA,NA,NA,NA,NA
