mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.2032223053960399,0.2032223053960399
1,1,0,0,0,0.137353142702643,0.137353142702643
2,1,0,0,0,0.08588764504216329,0.08588764504216329
3,1,0,0,0,0.09003015720268764,0.09003015720268764
4,1,0,0,0,0.11210650835098913,0.11210650835098913
5,1,0,0,0,0.14310600863355238,0.14310600863355238
6,1,0,0,0,0.1930653335864794,0.1930653335864794
7,1,0,0,0,0.12325873141492089,0.12325873141492089
8,1,0,0,0,0.15760884399795302,0.15760884399795302
9,1,0,0,0,0.07408004744982505,0.07408004744982505
10,1,0,0,0,0.088200279003002785,0.088200279003002785
11,1,0,0,0,0.0838867825986085,0.0838867825986085
12,0.04654074137588659,0.11006107181124655,-0.03497369970807301,-0.017884600975998505,0.060427760453086565,0.2032223053960399
13,5.428649954009667e-5,0.19202775376149708,-0.10129288173679114,-0.05576892662458151,0.06107979492650118,0.137353142702643
14,0.02577396172272624,0.1128788644865128,-0.01449533115375143,-0.01550354640962652,0.07752867508533291,0.08588764504216329
15,0.034126901560119376,0.11689280170753352,-0.04125785582222716,-0.034301106450452964,0.07260258899801696,0.09003015720268764
16,0.0013984550512380976,0.15980110572539097,-0.019819083682830037,-0.02497322016594919,0.11132752991679604,0.11210650835098913
17,0.003853859694949537,0.18023835882024267,-0.0704847266288814,-0.03829493674709421,0.0888593697645319,0.14310600863355238
18,0.02326015457945839,0.2272233860861473,-0.04726340274113898,-0.029200495047475017,0.13944740579488973,0.1930653335864794
19,3.8175815948047906e-4,0.1869045460021211,-0.017892682971882852,-0.016883550204695348,0.13898684133117997,0.12325873141492089
20,0.034530572876456334,0.19703118342187229,-0.09251835252931137,-0.04989332531758021,0.07703497660799556,0.15760884399795302
21,0.01642263199886816,0.11001785820234329,-0.012391588575015983,-0.005637643568212808,0.07232210421242176,0.07475089102778275
22,0.007073520805642785,0.1091844769399085,-0.024322107824434405,-0.008613217086766746,0.04959858570484852,0.088200279003002785
23,0.00574349294718308,0.10118484703906641,-0.008686151192025668,7.304745543545155e-4,0.052492225333666695,0.0838867825986085
24,0.00453082802655023,0.26414994748249754,-0.0593212810328842,-0.042625178769082,0.05587166875201344,0.23500163665549312
