mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.17304386198163693,0.17304386198163693
1,1,0,0,0,0.13176663167426675,0.13176663167426675
2,1,0,0,0,0.0804881690367158,0.0804881690367158
3,1,0,0,0,0.08669740275219813,0.08669740275219813
4,1,0,0,0,0.1137386200374986,0.1137386200374986
5,1,0,0,0,0.13949948642716,0.13949948642716
6,1,0,0,0,0.19202544823234335,0.19202544823234335
7,1,0,0,0,0.12288908947181117,0.12288908947181117
8,1,0,0,0,0.1565733546047136,0.1565733546047136
9,1,0,0,0,0.07482057118314261,0.07482057118314261
10,1,0,0,0,0.0883330460826884,0.0883330460826884
11,1,0,0,0,0.08201276960191746,0.08201276960191746
12,0.013389065302499368,0.18038359877010757,-0.03272475866616123,-0.0184420939968864,0.058789873128189715,0.17304386198163693
13,1.25260592868819e-4,0.16401921134727876,-0.07229067648634482,-0.03894023688038639,0.06440950650468101,0.13176663167426675
14,0.05219212995004472,0.09759929209887754,-0.012350770218682498,-0.014658141011766032,0.07535701849768199,0.0804881690367158
15,0.0777804988682437,0.09962048858507633,-0.02951899843197948,-0.020369156421730983,0.07036626542761087,0.08669740275219813
16,0.008870288429715382,0.15166432136183564,-0.027167652459087598,-0.03285852640787075,0.10804265741157952,0.1137386200374986
17,0.004187047248483303,0.17259886608686972,-0.06372339700601967,-0.03814523220682654,0.08893722615024774,0.13949948642716
18,0.020346405230649994,0.22450652624300058,-0.04367526557422593,-0.025888841132196194,0.13775442175582153,0.19202544823234335
19,2.7847274120315385e-4,0.18483269925750567,-0.009512506855847555,-0.014587265162772346,0.1386934314235751,0.12288908947181117
20,0.029780322452116002,0.19279216200371577,-0.08817240832263523,-0.04696900735098104,0.07870116567101225,0.1565733546047136
21,0.0046669233713621605,0.1095968280204592,-0.011315464952172056,-0.008847146819518925,0.07067848655812381,0.07551040595578647
22,0.0022727572871448594,0.1053909062137751,-0.02281232160664232,-0.008180043113239097,0.04885576577434421,0.0883330460826884
23,0.010777104310426618,0.09169171928132547,-0.010127759848806931,8.106825880551949e-4,0.04969993926228257,0.08201276960191746
24,0.01091116278616111,0.20717349177406627,-0.04137425037734934,-0.026189948334423008,0.057197952920926276,0.2010402744758526
