mos_into_deployment,pdf_resolution,statistic,plottype,value
0,87,mean,meas,0.23780238707575652
0,87,mean,ref,0.23780238707575652
0,87,sd,meas,0.2032223053960399
0,87,sd,ref,0.2032223053960399
0,87,kurtosis,meas,335.06973654913736
0,87,kurtosis,ref,335.06973654913736
0,87,skewness,meas,16.53204330962298
0,87,skewness,ref,16.53204330962298
0,87,KL,NA,0
0,87,hellinger,NA,0
0,87,euclidean,NA,0
1,13,mean,meas,0.28831020693645465
1,13,mean,ref,0.28831020693645465
1,13,sd,meas,0.137353142702643
1,13,sd,ref,0.137353142702643
1,13,kurtosis,meas,5.305197770113527
1,13,kurtosis,ref,5.305197770113527
1,13,skewness,meas,1.6723692009599684
1,13,skewness,ref,1.6723692009599684
1,13,KL,NA,0
1,13,hellinger,NA,0
1,13,euclidean,NA,0
2,16,mean,meas,0.2674795312433939
2,16,mean,ref,0.2674795312433939
2,16,sd,meas,0.08588764504216329
2,16,sd,ref,0.08588764504216329
2,16,kurtosis,meas,10.760584258468404
2,16,kurtosis,ref,10.760584258468404
2,16,skewness,meas,1.9587747043088888
2,16,skewness,ref,1.9587747043088888
2,16,KL,NA,0
2,16,hellinger,NA,0
2,16,euclidean,NA,0
3,13,mean,meas,0.2605000218275697
3,13,mean,ref,0.2605000218275697
3,13,sd,meas,0.09003015720268764
3,13,sd,ref,0.09003015720268764
3,13,kurtosis,meas,7.832447455342984
3,13,kurtosis,ref,7.832447455342984
3,13,skewness,meas,1.8089858088456179
3,13,skewness,ref,1.8089858088456179
3,13,KL,NA,0
3,13,hellinger,NA,0
3,13,euclidean,NA,0
4,16,mean,meas,0.25071022772268764
4,16,mean,ref,0.25071022772268764
4,16,sd,meas,0.11210650835098913
4,16,sd,ref,0.11210650835098913
4,16,kurtosis,meas,9.482451375565256
4,16,kurtosis,ref,9.482451375565256
4,16,skewness,meas,2.289652838563128
4,16,skewness,ref,2.289652838563128
4,16,KL,NA,0
4,16,hellinger,NA,0
4,16,euclidean,NA,0
5,28,mean,meas,0.25132731680971704
5,28,mean,ref,0.25132731680971704
5,28,sd,meas,0.14310600863355238
5,28,sd,ref,0.14310600863355238
5,28,kurtosis,meas,16.248539082277276
5,28,kurtosis,ref,16.248539082277276
5,28,skewness,meas,2.7824180309285595
5,28,skewness,ref,2.7824180309285595
5,28,KL,NA,0
5,28,hellinger,NA,0
5,28,euclidean,NA,0
6,29,mean,meas,0.25421074365645485
6,29,mean,ref,0.25421074365645485
6,29,sd,meas,0.1930653335864794
6,29,sd,ref,0.1930653335864794
6,29,kurtosis,meas,15.214200057354153
6,29,kurtosis,ref,15.214200057354153
6,29,skewness,meas,3.1969737954444186
6,29,skewness,ref,3.1969737954444186
6,29,KL,NA,0
6,29,hellinger,NA,0
6,29,euclidean,NA,0
7,20,mean,meas,0.21740665311424667
7,20,mean,ref,0.21740665311424667
7,20,sd,meas,0.12325873141492089
7,20,sd,ref,0.12325873141492089
7,20,kurtosis,meas,9.902088640603491
7,20,kurtosis,ref,9.902088640603491
7,20,skewness,meas,2.3216548016327074
7,20,skewness,ref,2.3216548016327074
7,20,KL,NA,0
7,20,hellinger,NA,0
7,20,euclidean,NA,0
8,29,mean,meas,0.223645771593749
8,29,mean,ref,0.223645771593749
8,29,sd,meas,0.15760884399795302
8,29,sd,ref,0.15760884399795302
8,29,kurtosis,meas,23.86068714077797
8,29,kurtosis,ref,23.86068714077797
8,29,skewness,meas,3.883322991419655
8,29,skewness,ref,3.883322991419655
8,29,KL,NA,0
8,29,hellinger,NA,0
8,29,euclidean,NA,0
9,12,mean,meas,0.16404219522806618
9,12,mean,ref,0.16404219522806618
9,12,sd,meas,0.07408004744982505
9,12,sd,ref,0.07408004744982505
9,12,kurtosis,meas,12.834575353295127
9,12,kurtosis,ref,12.834575353295127
9,12,skewness,meas,2.8273151312992657
