mos_into_deployment,pdf_resolution,statistic,plottype,value
0,87,mean,meas,0.2248956064978802
0,87,mean,ref,0.2248956064978802
0,87,sd,meas,0.17304386198163693
0,87,sd,ref,0.17304386198163693
0,87,kurtosis,meas,448.8465253873541
0,87,kurtosis,ref,448.8465253873541
0,87,skewness,meas,18.83249421275838
0,87,skewness,ref,18.83249421275838
0,87,KL,NA,0
0,87,hellinger,NA,0
0,87,euclidean,NA,0
1,14,mean,meas,0.2786178899605589
1,14,mean,ref,0.2786178899605589
1,14,sd,meas,0.13176663167426675
1,14,sd,ref,0.13176663167426675
1,14,kurtosis,meas,5.338391141707155
1,14,kurtosis,ref,5.338391141707155
1,14,skewness,meas,1.6384890604240334
1,14,skewness,ref,1.6384890604240334
1,14,KL,NA,0
1,14,hellinger,NA,0
1,14,euclidean,NA,0
2,17,mean,meas,0.2513304501434085
2,17,mean,ref,0.2513304501434085
2,17,sd,meas,0.0804881690367158
2,17,sd,ref,0.0804881690367158
2,17,kurtosis,meas,10.043271329760376
2,17,kurtosis,ref,10.043271329760376
2,17,skewness,meas,1.724967985085344
2,17,skewness,ref,1.724967985085344
2,17,KL,NA,0
2,17,hellinger,NA,0
2,17,euclidean,NA,0
3,14,mean,meas,0.24087084904364883
3,14,mean,ref,0.24087084904364883
3,14,sd,meas,0.08669740275219813
3,14,sd,ref,0.08669740275219813
3,14,kurtosis,meas,7.307307483004979
3,14,kurtosis,ref,7.307307483004979
3,14,skewness,meas,1.6810434265454621
3,14,skewness,ref,1.6810434265454621
3,14,KL,NA,0
3,14,hellinger,NA,0
3,14,euclidean,NA,0
4,16,mean,meas,0.25425301495822206
4,16,mean,ref,0.25425301495822206
4,16,sd,meas,0.1137386200374986
4,16,sd,ref,0.1137386200374986
4,16,kurtosis,meas,8.233474423933492
4,16,kurtosis,ref,8.233474423933492
4,16,skewness,meas,2.0675327830236676
4,16,skewness,ref,2.0675327830236676
4,16,KL,NA,0
4,16,hellinger,NA,0
4,16,euclidean,NA,0
5,28,mean,meas,0.24928907386989
5,28,mean,ref,0.24928907386989
5,28,sd,meas,0.13949948642716
5,28,sd,ref,0.13949948642716
5,28,kurtosis,meas,16.538254552102632
5,28,kurtosis,ref,16.538254552102632
5,28,skewness,meas,2.7824734398218762
5,28,skewness,ref,2.7824734398218762
5,28,KL,NA,0
5,28,hellinger,NA,0
5,28,euclidean,NA,0
6,29,mean,meas,0.25288308287001965
6,29,mean,ref,0.25288308287001965
6,29,sd,meas,0.19202544823234335
6,29,sd,ref,0.19202544823234335
6,29,kurtosis,meas,14.991462781195914
6,29,kurtosis,ref,14.991462781195914
6,29,skewness,meas,3.162259812345879
6,29,skewness,ref,3.162259812345879
6,29,KL,NA,0
6,29,hellinger,NA,0
6,29,euclidean,NA,0
7,20,mean,meas,0.2141294514624818
7,20,mean,ref,0.2141294514624818
7,20,sd,meas,0.12288908947181117
7,20,sd,ref,0.12288908947181117
7,20,kurtosis,meas,10.283866541468614
7,20,kurtosis,ref,10.283866541468614
7,20,skewness,meas,2.3855503931582964
7,20,skewness,ref,2.3855503931582964
7,20,KL,NA,0
7,20,hellinger,NA,0
7,20,euclidean,NA,0
8,29,mean,meas,0.22241642068626832
8,29,mean,ref,0.22241642068626832
8,29,sd,meas,0.1565733546047136
8,29,sd,ref,0.1565733546047136
8,29,kurtosis,meas,24.185305385752763
8,29,kurtosis,ref,24.185305385752763
8,29,skewness,meas,3.9109584679767533
8,29,skewness,ref,3.9109584679767533
8,29,KL,NA,0
8,29,hellinger,NA,0
8,29,euclidean,NA,0
9,12,mean,meas,0.16488052785746168
9,12,mean,ref,0.16488052785746168
9,12,sd,meas,0.07482057118314261
9,12,sd,ref,0.07482057118314261
9,12,kurtosis,meas,12.989771006427494
9,12,kurtosis,ref,12.989771006427494
9,12,skewness,meas,2.843763196631473
9,12,skewness,ref,2.843763196631473
9,12,KL,NA,0
9,12,hellinger,NA,0
9,12,euclidean,NA,0
10,18,mean,meas,0.16539232038016843
10,18,mean,ref,0.16539232038016843
10,18,sd,meas,0.0883330460826884
10,18,sd,ref,0.0883330460826884
10,18,kurtosis,meas,21.137996106083214
10,18,kurtosis,ref,21.137996106083214
10,18,skewness,meas,3.6212055119351088
10,18,skewness,ref,3.6212055119351088
10,18,KL,NA,0
10,18,hellinger,NA,0
10,18,euclidean,NA,0
11,32,mean,meas,0.1608588611545996
11,32,mean,ref,0.1608588611545996
11,32,sd,meas,0.08201276960191746
11,32,sd,ref,0.08201276960191746
11,32,kurtosis,meas,158.20312404562787
11,32,kurtosis,ref,158.20312404562787
11,32,skewness,meas,9.596515217355327
11,32,skewness,ref,9.596515217355327
11,32,KL,NA,0
11,32,hellinger,NA,0
11,32,euclidean,NA,0
12,87,mean,meas,0.19264120811479762
12,87,mean,ref,0.2248956064978802
12,87,sd,meas,0.058789873128189715
12,87,sd,ref,0.17304386198163693
12,87,kurtosis,meas,5.085443348578338
12,87,kurtosis,ref,448.8465253873541
12,87,skewness,meas,1.0979343036057638
12,87,skewness,ref,18.83249421275838
12,87,KL,NA,0.20270218831834652
12,87,hellinger,NA,0.1570499267246598
12,87,euclidean,NA,0.12521039394572855
13,14,mean,meas,0.2063494175926131
13,14,mean,ref,0.2786178899605589
13,14,sd,meas,0.06440950650468101
13,14,sd,ref,0.13176663167426675
13,14,kurtosis,meas,4.013371015970116
13,14,kurtosis,ref,5.338391141707155
13,14,skewness,meas,0.9606152105648588
13,14,skewness,ref,1.6384890604240334
13,14,KL,NA,0.9335672320263534
13,14,hellinger,NA,0.2859933587863265
13,14,euclidean,NA,0.1990784266252677
14,17,mean,meas,0.238979679924726
14,17,mean,ref,0.2513304501434085
14,17,sd,meas,0.07535701849768199
14,17,sd,ref,0.0804881690367158
14,17,kurtosis,meas,3.7953740543384042
14,17,kurtosis,ref,10.043271329760376
14,17,skewness,meas,0.9651206774756055
14,17,skewness,ref,1.724967985085344
14,17,KL,NA,0.061260601472899245
14,17,hellinger,NA,0.09911851421288495
14,17,euclidean,NA,0.09641885179817719
15,14,mean,meas,0.21135185061166936
15,14,mean,ref,0.24087084904364883
15,14,sd,meas,0.07036626542761087
15,14,sd,ref,0.08669740275219813
15,14,kurtosis,meas,3.998216344533256
15,14,kurtosis,ref,7.307307483004979
15,14,skewness,meas,0.9763346479354374
15,14,skewness,ref,1.6810434265454621
15,14,KL,NA,0.16417021782539137
15,14,hellinger,NA,0.16242648039421528
15,14,euclidean,NA,0.12305546127146882
16,17,mean,meas,0.22708536249913447
16,17,mean,ref,0.25425301495822206
16,17,sd,meas,0.10804265741157952
16,17,sd,ref,0.1137386200374986
16,17,kurtosis,meas,9.610924024079939
16,17,kurtosis,ref,8.233474423933492
16,17,skewness,meas,2.1544072422508767
16,17,skewness,ref,2.0675327830236676
16,17,KL,NA,0.15109778757488945
16,17,hellinger,NA,0.17546968126192183
16,17,euclidean,NA,0.15382218771067702
17,29,mean,meas,0.18556567686387032
17,29,mean,ref,0.24928907386989
17,29,sd,meas,0.08893722615024774
17,29,sd,ref,0.13949948642716
17,29,kurtosis,meas,11.912084239469799
17,29,kurtosis,ref,16.538254552102632
17,29,skewness,meas,2.4705660076987765
17,29,skewness,ref,2.7824734398218762
17,29,KL,NA,0.36561110259467
17,29,hellinger,NA,0.26141607546382806
17,29,euclidean,NA,0.2208967654106735
18,30,mean,meas,0.2126833942298795
18,30,mean,ref,0.25288308287001965
18,30,sd,meas,0.13775442175582153
18,30,sd,ref,0.19202544823234335
18,30,kurtosis,meas,12.192137670090759
18,30,kurtosis,ref,14.991462781195914
18,30,skewness,meas,2.6749702853865056
18,30,skewness,ref,3.162259812345879
18,30,KL,NA,0.33367866908393684
18,30,hellinger,NA,0.23939051631596103
18,30,euclidean,NA,0.15230667873919942
19,21,mean,meas,0.20486935859763644
19,21,mean,ref,0.2141294514624818
19,21,sd,meas,0.1386934314235751
19,21,sd,ref,0.12288908947181117
19,21,kurtosis,meas,10.55371658693894
19,21,kurtosis,ref,10.283866541468614
19,21,skewness,meas,2.4678290112060375
19,21,skewness,ref,2.3855503931582964
19,21,KL,NA,0.07469564818201851
19,21,hellinger,NA,0.14245370248499253
19,21,euclidean,NA,0.1496222232665023
20,30,mean,meas,0.16153139410168432
20,30,mean,ref,0.22241642068626832
20,30,sd,meas,0.07870116567101225
20,30,sd,ref,0.1565733546047136
20,30,kurtosis,meas,14.912399056504773
