mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,NA,NA,NA,NA,0.06406324282648386,NA
1,NA,NA,NA,NA,0.17113058842588624,NA
2,NA,NA,NA,NA,0.16708932163626733,NA
3,0.6129245445441726,0.27010784034865176,-0.2120184010364734,-0.18880296493820545,0.1544691410030265,0.26365240879449137
4,0.13343692555855144,0.6077119747032574,-0.31580768974044615,-0.22487776476572371,0.5774126885286729,0.26765142111652435
5,0.6951855895126736,0.26669489784595235,-0.24064632122008228,-0.2300466713733186,0.10586791521930569,0.18825831112854644
6,0.6407948888253371,0.23838468133853852,-0.21570440354019949,-0.20964394867321967,0.10190993086141438,0.1634946419983392
7,0.5735168363166395,0.2211408778719423,-0.18932599536427286,-0.18225704638480353,0.08836501909975948,0.1662329852560049
8,0.4169921435396212,0.18431625395313814,-0.15108159953841396,-0.12953313945228476,0.057807888625587264,0.13356924320527983
9,0.4962482892292652,0.19122745235815156,-0.15704022904474638,-0.15048345639668798,0.06868499374435202,0.14654882340684325
10,0.5818789154745855,0.3396542915730739,-0.2466800221344043,-0.1893805086686785,0.12182255633769652,0.3071902503082918
11,0.3691854343230048,0.43338087691059873,-0.4109333507480458,-0.4125621558238616,0.06352897205849856,0.16691748769325107
12,0.33093983344594524,0.22519487256765036,-0.18352364036976174,-0.1729416928141501,0.08022907518308217,0.15912961640712356
13,0.5127100499961884,0.20806461908909354,-0.16066868822082842,-0.12549332806305882,0.09619744826390958,0.18436788699924964
14,0.5848936297647721,0.27284205761238517,-0.23637184486250878,-0.22225996853585966,0.12367247422590882,0.20380050767733884
15,0.6320175062517677,0.32053008971232766,-0.28670005995400843,-0.28225580894290586,0.1392409001215656,0.22585192173014151
16,0.6757851950292382,0.3418743049001659,-0.2959035101749699,-0.26084491677440713,0.1866052424464822,0.2844166196163567
17,0.6912016385564168,0.2820978412595044,-0.2577749469260694,-0.2438812058359956,0.12616303881524182,0.19603456609246744
18,0.6074520517061256,0.26831180319916953,-0.2381499317642105,-0.2186078466826298,0.11334764295929711,0.186788034743721
19,0.6583045935601443,0.24759776952846196,-0.2196466485722323,-0.20725505361598168,0.0776514776366744,0.16769778190776663
20,0.6491348788572149,0.18686457953342475,-0.15514527790469596,-0.124932462707271,0.0645703912778738,0.14968411770120396
21,0.3992030222770298,0.17032048866230873,-0.13754690447181167,-0.10303467859260582,0.050861248757825564,0.12657960014970188
22,0.3069667803876453,0.19572500434104237,-0.165071418792602,-0.16265091124964864,0.04858842238427104,0.12370918265319748
23,0.3442871789320434,0.21457212087804348,-0.18083374968575794,-0.18024440230365052,0.05858592776687342,0.13986562922698048
24,0.45933009012491083,0.2248075231987631,-0.18676587216574841,-0.18876929688335634,0.07916538075274868,0.16455819476553338
25,0.4984508301675263,0.18441002964832076,-0.1349482624112612,-0.10378134040349843,0.07244821106095749,0.1657780883545124
26,0.4970466744282577,0.2936617044278512,-0.2513705262152177,-0.23831990033626277,0.10027494565967102,0.20544613438978926
27,0.6784131339196005,0.29490355079767716,-0.26220372810920817,-0.2436558762483187,0.11802694263405501,0.21188822257881912
28,0.4405269705493199,0.30748818881716594,-0.2556435012759738,-0.25208143170638664,0.1335144959132183,0.24267555106619154
29,NA,NA,NA,NA,0.11921117311506464,NA
30,NA,NA,NA,NA,0.20270385888461798,NA
31,NA,NA,NA,NA,0.06680177295248789,NA
32,NA,NA,NA,NA,0.06354623514725673,NA
33,NA,NA,NA,NA,0.07109975937305808,NA
34,NA,NA,NA,NA,0.05962559322197172,NA
