mos_into_deployment,pdf_resolution,statistic,plottype,value
0,0,mean,meas,0.1933420198661203
0,0,mean,ref,NA
0,0,sd,meas,0.06406324282648386
0,0,sd,ref,NA
0,0,kurtosis,meas,11.13871540015758
0,0,kurtosis,ref,NA
0,0,skewness,meas,1.6797666753783025
0,0,skewness,ref,NA
0,0,KL,NA,NA
0,0,hellinger,NA,NA
0,0,euclidean,NA,NA
1,0,mean,meas,0.17529073641204673
1,0,mean,ref,NA
1,0,sd,meas,0.17113058842588624
1,0,sd,ref,NA
1,0,kurtosis,meas,48.7596486203591
1,0,kurtosis,ref,NA
1,0,skewness,meas,-5.645648164413216
1,0,skewness,ref,NA
1,0,KL,NA,NA
1,0,hellinger,NA,NA
1,0,euclidean,NA,NA
2,0,mean,meas,0.2530413673794665
2,0,mean,ref,NA
2,0,sd,meas,0.16708932163626733
2,0,sd,ref,NA
2,0,kurtosis,meas,7.348129253992502
2,0,kurtosis,ref,NA
2,0,skewness,meas,2.030840767939167
2,0,skewness,ref,NA
2,0,KL,NA,NA
2,0,hellinger,NA,NA
2,0,euclidean,NA,NA
3,38,mean,meas,0.20623342431153682
3,38,mean,ref,0.42284787018255576
3,38,sd,meas,0.1544691410030265
3,38,sd,ref,0.26365240879449137
3,38,kurtosis,meas,21.320134777087226
3,38,kurtosis,ref,9.57729018238571
3,38,skewness,meas,3.5999829950880473
3,38,skewness,ref,2.219673566677758
3,38,KL,NA,1.1165854183559372
3,38,hellinger,NA,0.5072139746328719
3,38,euclidean,NA,0.4018155289361731
4,38,mean,meas,0.11054378674836629
4,38,mean,ref,0.43251146131805157
4,38,sd,meas,0.5774126885286729
4,38,sd,ref,0.26765142111652435
4,38,kurtosis,meas,44.639502191812525
4,38,kurtosis,ref,10.23959945904356
4,38,skewness,meas,-6.195551696832656
4,38,skewness,ref,2.3668641937477943
4,38,KL,NA,1.4412771592383689
4,38,hellinger,NA,0.6092822864969116
4,38,euclidean,NA,0.44466686480419265
5,35,mean,meas,0.15732366052679223
5,35,mean,ref,0.3994554455445545
5,35,sd,meas,0.10586791521930569
