mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.06140454718094528,0.06140454718094528
1,1,0,0,0,0.18663691624731035,0.18663691624731035
2,1,0,0,0,0.17177114695742796,0.17177114695742796
3,1,0,0,0,0.15469804759226308,0.15469804759226308
4,1,0,0,0,0.5774126885286729,0.5774126885286729
5,1,0,0,0,0.10586791521930569,0.10586791521930569
6,1,0,0,0,0.10190993086141438,0.10190993086141438
7,1,0,0,0,0.08841968457313522,0.08841968457313522
8,1,0,0,0,0.057485807235065446,0.057485807235065446
9,1,0,0,0,0.07202590475238417,0.07202590475238417
10,1,0,0,0,0.12861620552091946,0.12861620552091946
11,1,0,0,0,0.06448824505129175,0.06448824505129175
12,5.963215039215738e-4,0.11571346016056294,0.046701622285712056,0.0405682281283746,0.08440813292098238,0.06140454718094528
13,0.03707507852263116,0.16108200503265852,0.026906078192270446,0.0127610649008848,0.10164949589287603,0.18663691624731035
14,0.022719307488892535,0.20390510404571738,-0.04050351370265545,-0.015636122321311813,0.12499718598602139,0.17177114695742796
15,1.2388214326721595e-4,0.20804527933420522,-0.01277531510177655,-0.007194453918442145,0.1392409001215656,0.15469804759226308
16,0.07759782128973695,0.661854825963867,0.0969983559162892,0.0030407228897443572,0.1866052424464822,0.5774126885286729
17,0.04336756426151154,0.1470821750432938,-0.010000956615960998,-0.013004198503133696,0.12616303881524182,0.10586791521930569
18,0.009969442445096864,0.14605545669470812,-8.270057174236139e-5,-0.006028575698167803,0.11334764295929711,0.10190993086141438
19,0.009079605647203759,0.12543111675218013,-0.021943751653768388,-0.01718805624391559,0.07794924750189572,0.08841968457313522
20,0.002165430596960574,0.09373002807872378,-0.022751593901411536,-0.021387996140500548,0.06555705075569344,0.057485807235065446
21,0.003798445018436007,0.09532987892058728,-0.035944231417548246,-0.027632314840959148,0.05435027584876816,0.07202590475238417
22,0.013125599958119929,0.17100378555854204,-0.08801749824342625,-0.03814925548629394,0.050605596515132543,0.12861620552091946
23,1.4015855570454703e-4,0.09438560214444525,-0.04461581305479875,-0.048808158822618686,0.05476292462707734,0.06448824505129175
24,0.15450325282082394,0.09202529021533512,0.03534903318079086,0.027945048201420686,0.08571821752932504,0.06140454718094528
25,0.02371052562569736,0.20337948101090733,0.017537130381278444,-0.006290047906516383,0.07684466690867134,0.18663691624731035
26,0.05348313088124848,0.20043485810267267,-0.08204274814154346,-0.03663064411573645,0.10310301700143921,0.17177114695742796
27,2.6418495357061797e-4,0.17339330980650694,-0.0380960521834636,-0.03673236030850449,0.1181815680610184,0.15469804759226308
28,8.25875068846115e-5,0.6642093143790332,0.05849016427398622,-0.0193483448741196,0.1335144959132183,0.5774126885286729
29,0.005039719345259229,0.14165961006240965,-0.018937447443266208,-0.030726357380046747,0.11921117311506464,0.10586791521930569
30,0.0035277792412878226,0.24299454687114752,-0.04237146133402061,-0.05237344187442999,0.20455695094263138,0.10190993086141438
31,0.010782536094849015,0.10785643007896224,-0.028524497546015194,-0.0259590002363249,0.06758120262979217,0.08841968457313522
32,4.0573909111792024e-5,0.0911109834054938,-0.02548172545668988,-0.020674715969807016,0.06591289594503845,0.057485807235065446
33,0.08786868336928305,0.09057294365673231,-0.016990649570920436,-0.014408216390050244,0.07362315922353925,0.07202590475238417
34,0.10223284723810597,0.11718687699709592,-0.037471372031073,-0.023554076783956643,0.06217465104872249,0.11305561550202893
