mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,1,0,0,0,0.06406324282648386,0.06406324282648386
1,1,0,0,0,0.17113058842588624,0.17113058842588624
2,1,0,0,0,0.16708932163626733,0.16708932163626733
3,1,0,0,0,0.1544691410030265,0.1544691410030265
4,1,0,0,0,0.5774126885286729,0.5774126885286729
5,1,0,0,0,0.10586791521930569,0.10586791521930569
6,1,0,0,0,0.10190993086141438,0.10190993086141438
7,1,0,0,0,0.08836501909975948,0.08836501909975948
8,1,0,0,0,0.057807888625587264,0.057807888625587264
9,1,0,0,0,0.06868499374435202,0.06868499374435202
10,1,0,0,0,0.12182255633769652,0.12182255633769652
11,1,0,0,0,0.06352897205849856,0.06352897205849856
12,0.03702140897971561,0.10248367067831014,0.04397964730030547,0.0372895116484267,0.08022907518308217,0.06406324282648386
13,0.0016562233389243663,0.20182192463632606,0.03987718780976175,0.014887391745420891,0.09619744826390958,0.17113058842588624
14,0.035689099728719344,0.19049882648902622,-0.03051729126279706,-0.0031785628262022414,0.12367247422590882,0.16708932163626733
15,1.6177603633446645e-4,0.20760931331857863,-0.012825096842398303,-0.007827379584115293,0.1392409001215656,0.1544691410030265
16,0.07759782128973695,0.661854825963867,0.0969983559162892,0.0030407228897443572,0.1866052424464822,0.5774126885286729
17,0.04336756426151154,0.1470821750432938,-0.010000956615960998,-0.013004198503133696,0.12616303881524182,0.10586791521930569
18,0.009969442445096864,0.14605545669470812,-8.270057174236139e-5,-0.006028575698167803,0.11334764295929711,0.10190993086141438
19,0.00925933581005234,0.12496628559523643,-0.02122721254277185,-0.01680458260662701,0.0776514776366744,0.08836501909975948
20,0.0017618519386437372,0.0909167965025556,-0.021267105147678357,-0.01891557760115864,0.0645703912778738,0.057807888625587264
21,0.0078271415164439,0.08636185925932324,-0.027575840217694596,-0.020593139665031505,0.050861248757825564,0.06868499374435202
22,0.007269802750212035,0.14547729542630836,-0.06948420787188161,-0.0321252850478867,0.04858842238427104,0.12182255633769652
23,0.0260264252062188,0.08179494717434835,-0.02057728416770606,-0.01966664254236794,0.05858592776687342,0.06352897205849856
24,0.19866273335162007,0.08068569839195937,0.025709298190463168,0.022164757059436296,0.07916538075274868,0.06406324282648386
25,0.030815655379274567,0.17418932849471955,0.01061503314520346,-0.004028037863527449,0.07244821106095749,0.17113058842588624
26,0.07019674653040474,0.18430539190165712,-0.06954216900156222,-0.030789135750205004,0.10027494565967102,0.16708932163626733
27,2.080926243084479e-4,0.1727534323746832,-0.03793664208191272,-0.03487928155391279,0.11802694263405501,0.1544691410030265
28,8.25875068846115e-5,0.6642093143790332,0.05849016427398622,-0.0193483448741196,0.1335144959132183,0.5774126885286729
29,0.005039719345259229,0.14165961006240965,-0.018937447443266208,-0.030726357380046747,0.11921117311506464,0.10586791521930569
30,0.0034136931906506938,0.24083812214572797,-0.042509119037224916,-0.0522944382253467,0.20270385888461798,0.10190993086141438
31,0.006490914288011815,0.11212748344152215,-0.03242552579995238,-0.026769765309045193,0.06680177295248789,0.08836501909975948
32,1.8401518661780405e-4,0.08966013769020302,-0.027622775679017553,-0.020218439312612246,0.06354623514725673,0.057807888625587264
33,0.09707948187933449,0.08389700629392254,-0.01783539271908087,-0.016960578702742063,0.07109975937305808,0.06868499374435202
34,0.08567814110854402,0.10484977864211366,-0.0264330099744217,-0.007275198439427005,0.05962559322197172,0.10170801798879273
