mos_into_deployment,pdf_resolution,statistic,plottype,value
0,14,mean,meas,0.1933420198661203
0,14,mean,ref,0.1933420198661203
0,14,sd,meas,0.06406324282648386
0,14,sd,ref,0.06406324282648386
0,14,kurtosis,meas,11.13871540015758
0,14,kurtosis,ref,11.13871540015758
0,14,skewness,meas,1.6797666753783025
0,14,skewness,ref,1.6797666753783025
0,14,KL,NA,0
0,14,hellinger,NA,0
0,14,euclidean,NA,0
1,14,mean,meas,0.17529073641204673
1,14,mean,ref,0.17529073641204673
1,14,sd,meas,0.17113058842588624
1,14,sd,ref,0.17113058842588624
1,14,kurtosis,meas,48.7596486203591
1,14,kurtosis,ref,48.7596486203591
1,14,skewness,meas,-5.645648164413216
1,14,skewness,ref,-5.645648164413216
1,14,KL,NA,0
1,14,hellinger,NA,0
1,14,euclidean,NA,0
2,24,mean,meas,0.2530413673794665
2,24,mean,ref,0.2530413673794665
2,24,sd,meas,0.16708932163626733
2,24,sd,ref,0.16708932163626733
2,24,kurtosis,meas,7.348129253992502
2,24,kurtosis,ref,7.348129253992502
2,24,skewness,meas,2.030840767939167
2,24,skewness,ref,2.030840767939167
2,24,KL,NA,0
2,24,hellinger,NA,0
2,24,euclidean,NA,0
3,29,mean,meas,0.20623342431153682
3,29,mean,ref,0.20623342431153682
3,29,sd,meas,0.1544691410030265
3,29,sd,ref,0.1544691410030265
3,29,kurtosis,meas,21.320134777087226
3,29,kurtosis,ref,21.320134777087226
3,29,skewness,meas,3.5999829950880473
3,29,skewness,ref,3.5999829950880473
3,29,KL,NA,0
3,29,hellinger,NA,0
3,29,euclidean,NA,0
4,24,mean,meas,0.11054378674836629
4,24,mean,ref,0.11054378674836629
4,24,sd,meas,0.5774126885286729
4,24,sd,ref,0.5774126885286729
4,24,kurtosis,meas,44.639502191812525
4,24,kurtosis,ref,44.639502191812525
4,24,skewness,meas,-6.195551696832656
4,24,skewness,ref,-6.195551696832656
4,24,KL,NA,0
4,24,hellinger,NA,0
4,24,euclidean,NA,0
5,17,mean,meas,0.15732366052679223
5,17,mean,ref,0.15732366052679223
