mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,0.04025514810449326,0.4909425385853245,0.05682366061398213,0.001923338644073444,0.4431323732568173,0.08697983784633555
1,0.6525312551273771,0.09181387352081882,0.004644210322055372,-0.012258003913921678,0.19044451678667104,0.09355136980980046
2,0.6334412277645056,0.08061391324893995,0.00938048552643699,-0.004559963922991517,0.13917327398620652,0.07222559820813328
3,0.6266269093521899,0.09114488655351116,0.011191149110298983,-0.012295829225379196,0.1417956409265005,0.07791595579887158
4,0.5429629286601007,0.07217806698289711,-0.0066958771005341325,-0.019228179833020748,0.11690435293261131,0.07530370328587611
5,0.6488916632847558,0.06484978989442755,0.017009083867889532,0.004002171166070698,0.08372478733767084,0.04779427982188566
6,0.46133107376142984,0.0662515634847151,0.029880912139176003,0.029389981469937307,0.07672152386200584,0.052450716953703166
7,0.9148504512042028,0.05242273130915794,-6.934703593786791e-4,0.004119731800893756,0.14450969653700174,0.19691864078079688
8,0.12150231928999464,0.09038156580815188,0.06357983604441357,0.05667929262049681,0.06459887387304071,0.060614364339545874
9,0.4087531700140384,0.07893182004599643,0.0503125964791113,0.05321117040036749,0.07685511051232927,0.053678378155023306
10,0.3099483023987571,0.0753235902441135,0.042745983901792614,0.02427723171287749,0.0915512896432042,0.06198848460928799
11,0.5205408871230887,0.09919502881930913,0.02952947055621381,0.012401489802668003,0.16222440996444357,0.0769395833785247
12,0.6402054452551939,0.12156089134185755,0.030795301891413787,-0.003114567813225305,0.19634827933720866,0.09828541193747718
13,0.5420477276427497,0.10167203251496355,0.0031854934208023853,-0.0099606096906735,0.19005464021073676,0.11369026797087883
14,0.4529401478801707,0.05875744560042273,-0.027225352916494142,-0.031814441308948754,0.14085993270937153,0.04255615535899227
15,0.5637895839642458,0.07361242632414697,-0.011511262108893893,-0.02922316745946421,0.14493874599778675,0.053496259292920484
16,0.46453682213030223,0.0689166956249083,-0.009294164234882364,-0.024570038248164283,0.09454055057886032,0.06516099909852933
17,0.6994834139436414,0.06684732772493554,-0.009223761072108557,-0.015953876348847887,0.07387122284507268,0.09496489712125959
18,NA,NA,NA,NA,0.0627900397871575,NA
19,NA,NA,NA,NA,0.049479385143784485,NA
20,NA,NA,NA,NA,NA,NA
21,NA,NA,NA,NA,0.06922827282327747,NA
22,NA,NA,NA,NA,0.07036394760292859,NA
23,NA,NA,NA,NA,0.13535283339534687,NA
24,NA,NA,NA,NA,0.14268542178999716,NA
25,NA,NA,NA,NA,0.18224665806866996,NA
26,NA,NA,NA,NA,0.170031481059378,NA
27,NA,NA,NA,NA,0.112617545116732,NA
28,NA,NA,NA,NA,0.10294138564969893,NA
29,NA,NA,NA,NA,0.06788777171112263,NA
30,NA,NA,NA,NA,0.06331130761004995,NA
31,NA,NA,NA,NA,0.060155460353781234,NA
