mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,0.10853410687640236,0.4232879339931978,0.05961058150411503,0.012555931631821282,0.426282186382449,0.13882501898206542
1,0.5148595425706217,0.14803041053098345,0.02733940163406666,-0.006608991970802586,0.20584927163783498,0.16449261508736046
2,0.6044249681243447,0.10858127525067277,0.02704496902101098,-0.00419864724086165,0.16018872663084768,0.0974323753769575
3,0.5903478687667171,0.0968974894514143,0.025470267532165334,2.9320609043528845e-4,0.14131086795001901,0.08865815577944541
4,0.5894750196315307,0.0768261245164201,0.004428246906111364,-0.005429250906912,0.11673719467039065,0.08110893468283534
5,0.4319139767750397,0.06562162524907655,0.019258575028248782,0.0109252198681552,0.08137949208190916,0.041726570272030104
6,0.3890512874083762,0.06120395323310218,0.022240979827918964,0.020855942707787137,0.0729709260073168,0.05000077337402036
7,0.8399559849387195,0.07159123396144686,0.0012929744935860309,0.013232457637228884,0.14244356587562204,0.17399189664072862
8,0.25551639646163843,0.06745176354958475,0.020080974115461503,0.02674077090788768,0.0669148960903195,0.06311808598937865
9,0.4186357314247466,0.06156547843831307,0.012371972844533079,0.011487957313191188,0.07673413637610912,0.06132814751176677
10,0.5271274343858919,0.07152079237497638,0.018141639938037347,0.01290213229538792,0.09699303343247247,0.08407142678867
11,0.59392061559792,0.11224124621684403,0.0436201969717738,0.023190137308879116,0.15851180633985815,0.1061634274656562
12,0.6492896773605381,0.13682114080962426,0.05058273278987699,0.008726259117870394,0.20056354470733173,0.1184485731497773
13,0.554038790869179,0.13240843481984882,0.009726755811356454,-0.005565153805141665,0.1869241409986517,0.181770297042138
14,0.5529844188305025,0.09358402366023084,0.002756060585361716,-0.02010016138484952,0.13853038581989785,0.0980725444757177
15,0.5054970566085673,0.10538185632345397,-0.004184751291818836,-0.019119375663975147,0.14333831661680357,0.13182373632172328
16,0.5555483628647113,0.06469351241543028,-0.007857406791942334,-0.02183105137149425,0.09362385447008764,0.07609661898966413
17,0.6696716855000963,0.060227918446162654,-0.0077669593744720605,-0.014324102596301486,0.07263326876643414,0.0830557572547562
18,NA,NA,NA,NA,0.0594159498498086,NA
19,NA,NA,NA,NA,0.05122430448320376,NA
20,NA,NA,NA,NA,NA,NA
21,NA,NA,NA,NA,0.07297916398879063,NA
22,NA,NA,NA,NA,0.0730945908164689,NA
23,NA,NA,NA,NA,0.13599902371889494,NA
24,NA,NA,NA,NA,0.14268542178999716,NA
25,NA,NA,NA,NA,0.18170427020650934,NA
26,NA,NA,NA,NA,0.170031481059378,NA
27,NA,NA,NA,NA,0.112617545116732,NA
28,NA,NA,NA,NA,0.10294138564969893,NA
29,NA,NA,NA,NA,0.06618754502598058,NA
30,NA,NA,NA,NA,0.06282029996932366,NA
31,NA,NA,NA,NA,0.059702097450637016,NA
